taxonomy,fact_name,unit,value,start,end,fy,fp,form,filed,frame,decimals
dei,EntityCommonStockSharesOutstanding,shares,105203000.0,,2010-06-30,2010,Q2,10-Q,2010-07-30,CY2010Q2I,
dei,EntityCommonStockSharesOutstanding,shares,106006000.0,,2010-09-30,2010,Q3,10-Q,2010-10-29,CY2010Q3I,
dei,EntityCommonStockSharesOutstanding,shares,108605000.0,,2011-01-31,2010,FY,10-K,2011-02-07,CY2010Q4I,
dei,EntityCommonStockSharesOutstanding,shares,110263000.0,,2011-03-31,2011,Q1,10-Q,2011-04-29,CY2011Q1I,
dei,EntityCommonStockSharesOutstanding,shares,112152000.0,,2011-06-30,2011,Q2,10-Q,2011-08-03,CY2011Q2I,
dei,EntityCommonStockSharesOutstanding,shares,112883000.0,,2011-09-30,2011,Q3,10-Q,2011-10-28,CY2011Q3I,
dei,EntityCommonStockSharesOutstanding,shares,115040000.0,,2012-01-31,2011,FY,10-K,2012-02-14,CY2011Q4I,
dei,EntityCommonStockSharesOutstanding,shares,118299000.0,,2012-03-31,2012,Q1,10-Q,2012-05-02,CY2012Q1I,
dei,EntityCommonStockSharesOutstanding,shares,120977000.0,,2012-06-30,2012,Q2,10-Q,2012-08-01,CY2012Q2I,
dei,EntityCommonStockSharesOutstanding,shares,124387000.0,,2012-09-30,2012,Q3,10-Q,2012-10-31,CY2012Q3I,
dei,EntityCommonStockSharesOutstanding,shares,125870000.0,,2013-01-31,2012,FY,10-K,2013-02-08,CY2012Q4I,
dei,EntityCommonStockSharesOutstanding,shares,126754000.0,,2013-03-31,2013,Q1,10-Q,2013-05-01,CY2013Q1I,
dei,EntityCommonStockSharesOutstanding,shares,127698000.0,,2013-06-30,2013,Q2,10-Q,2013-07-31,CY2013Q2I,
dei,EntityCommonStockSharesOutstanding,shares,131538000.0,,2013-09-30,2013,Q3,10-Q,2013-10-30,CY2013Q3I,
dei,EntityCommonStockSharesOutstanding,shares,133841000.0,,2014-01-31,2013,FY,10-K,2014-02-07,CY2013Q4I,
dei,EntityCommonStockSharesOutstanding,shares,157096000.0,,2014-04-17,2014,Q1,10-Q,2014-04-24,CY2014Q1I,
dei,EntityCommonStockSharesOutstanding,shares,158993000.0,,2014-06-30,2014,Q2,10-Q,2014-08-01,CY2014Q2I,
dei,EntityCommonStockSharesOutstanding,shares,161374000.0,,2014-09-30,2014,Q3,10-Q,2014-10-29,CY2014Q3I,
dei,EntityCommonStockSharesOutstanding,shares,164744000.0,,2015-01-31,2014,FY,10-K,2015-02-13,CY2014Q4I,
dei,EntityCommonStockSharesOutstanding,shares,166657000.0,,2015-03-31,2015,Q1,10-Q,2015-04-28,CY2015Q1I,
dei,EntityCommonStockSharesOutstanding,shares,174545000.0,,2015-06-30,2015,Q2,10-Q,2015-07-31,CY2015Q2I,
