fact_unit,2009-10-01,2010-01-29,2010-04-01,2010-07-01,2010-10-01,2011-01-31,2011-04-01,2011-07-01,2011-09-30,2012-01-30,2012-03-30,2012-07-02,2012-10-05,2013-01-29,2013-04-03,2013-07-02,2013-10-03,2014-01-29,2014-04-02,2014-07-02,2014-10-03,2015-01-29,2015-04-02,2015-07-01,2015-10-02,2016-01-29,2016-03-31,2016-07-01,2016-09-30,2017-01-30,2017-03-30,2017-06-30,2017-09-29,2018-01-29,2018-03-22,2018-06-25,2018-09-27,2019-01-28,2019-04-09,2019-06-24,2019-09-26,2020-01-28,2020-03-31,2020-04-03,2020-07-10,2020-10-08,2021-01-26,2021-04-07,2021-06-28,2021-09-30,2022-01-27,2022-03-28,2022-06-29,2022-09-30,2023-01-27,2023-03-29,2023-06-28,2023-09-29,2024-01-26,2024-03-27,2024-06-27,2024-09-30,2025-01-27,2025-03-25,2025-06-26,2025-09-29
AccountsPayableCurrent / USD,505000000.0,512000000.0,568000000.0,568000000.0,568000000.0,568000000.0,503000000.0,503000000.0,503000000.0,503000000.0,576000000.0,576000000.0,576000000.0,576000000.0,549000000.0,549000000.0,549000000.0,549000000.0,639000000.0,639000000.0,639000000.0,639000000.0,626000000.0,626000000.0,626000000.0,626000000.0,627000000.0,627000000.0,627000000.0,627000000.0,713000000.0,713000000.0,713000000.0,713000000.0,762000000.0,762000000.0,762000000.0,762000000.0,730000000.0,730000000.0,730000000.0,730000000.0,730000000.0,756000000.0,756000000.0,756000000.0,756000000.0,624000000.0,624000000.0,624000000.0,624000000.0,797000000.0,797000000.0,797000000.0,797000000.0,1050000000.0,1050000000.0,1050000000.0,1050000000.0,1168000000.0,1168000000.0,1168000000.0,1168000000.0,1133000000.0,1133000000.0,1133000000.0
AccruedLiabilitiesCurrent / USD,1224000000.0,1142000000.0,874000000.0,874000000.0,874000000.0,874000000.0,1094000000.0,1094000000.0,1094000000.0,1094000000.0,1026000000.0,1026000000.0,1026000000.0,832000000.0,845000000.0,845000000.0,845000000.0,845000000.0,1126000000.0,1126000000.0,1126000000.0,1126000000.0,1276000000.0,1276000000.0,1276000000.0,1538000000.0,1683000000.0,1683000000.0,1683000000.0,1683000000.0,1740000000.0,1740000000.0,1740000000.0,1740000000.0,1877000000.0,1877000000.0,1877000000.0,1877000000.0,1654000000.0,1654000000.0,1654000000.0,1654000000.0,1654000000.0,1809000000.0,1809000000.0,1809000000.0,1809000000.0,1144000000.0,1144000000.0,1144000000.0,1144000000.0,1641000000.0,1641000000.0,1641000000.0,1641000000.0,1942000000.0,1942000000.0,1942000000.0,1942000000.0,2003000000.0,2003000000.0,2003000000.0,2003000000.0,2358000000.0,2358000000.0,2358000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,,7864000000.0,,,,8869000000.0,,,,10150000000.0,,,,11064000000.0,,,,12219000000.0,,,,13082000000.0,,,,13878000000.0,,,,15095000000.0,,,,16435000000.0,,,,17286000000.0,17286000000.0,,,,18650000000.0,,,,17075000000.0,,,,17858000000.0,,,,18976000000.0,,,,20407000000.0,,,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax / USD,,,,,,99000000.0,,,,91000000.0,,,,96000000.0,,,,125000000.0,,,,97000000.0,,,,90000000.0,,,,82000000.0,,,,120000000.0,,,,94000000.0,,,,56000000.0,56000000.0,,,,88000000.0,,,,88000000.0,,,,95000000.0,,,,45000000.0,,,,31000000.0,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax / USD,,,,,,565000000.0,,,,-99000000.0,,,,-123000000.0,,,,-98000000.0,,,,234000000.0,,,,-512000000.0,,,,-1591000000.0,,,,-2266000000.0,,,,-1675000000.0,,,,-1875000000.0,-1875000000.0,,,,-1961000000.0,,,,-1961000000.0,,,,-1382000000.0,,,,-1501000000.0,,,,-2004000000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,666000000.0,-623000000.0,462000000.0,462000000.0,462000000.0,462000000.0,-254000000.0,-254000000.0,-254000000.0,-254000000.0,-209000000.0,-209000000.0,-209000000.0,-209000000.0,-207000000.0,-207000000.0,-207000000.0,-207000000.0,161000000.0,161000000.0,161000000.0,161000000.0,-616000000.0,-616000000.0,-616000000.0,-616000000.0,-1741000000.0,-1741000000.0,-1741000000.0,-1741000000.0,-2454000000.0,-2454000000.0,-2454000000.0,-2454000000.0,-1782000000.0,-1782000000.0,-1782000000.0,-1782000000.0,-1949000000.0,-1949000000.0,-1949000000.0,-1949000000.0,-1949000000.0,-2066000000.0,-2066000000.0,-2066000000.0,-2066000000.0,-1436000000.0,-1436000000.0,-1436000000.0,-2066000000.0,-1501000000.0,-1501000000.0,-1501000000.0,-1436000000.0,-1982000000.0,-1982000000.0,-1982000000.0,-1501000000.0,-1939000000.0,-1939000000.0,-1939000000.0,-1982000000.0,-1975000000.0,-1975000000.0,-1975000000.0
AdditionalPaidInCapital / USD,7666000000.0,7677000000.0,7920000000.0,7920000000.0,7920000000.0,7920000000.0,8094000000.0,8094000000.0,8094000000.0,8094000000.0,8180000000.0,8180000000.0,8180000000.0,8180000000.0,8252000000.0,8252000000.0,8252000000.0,8252000000.0,8325000000.0,8325000000.0,8325000000.0,8325000000.0,8384000000.0,8384000000.0,8384000000.0,8384000000.0,8562000000.0,8562000000.0,8562000000.0,8562000000.0,8632000000.0,8632000000.0,8632000000.0,8632000000.0,8690000000.0,8690000000.0,8690000000.0,8690000000.0,8756000000.0,8756000000.0,8756000000.0,8756000000.0,8756000000.0,8807000000.0,8807000000.0,8807000000.0,8807000000.0,13948000000.0,13948000000.0,13948000000.0,13948000000.0,15292000000.0,15292000000.0,15292000000.0,15292000000.0,16872000000.0,16872000000.0,16872000000.0,16872000000.0,16712000000.0,16712000000.0,16712000000.0,16712000000.0,17155000000.0,17155000000.0,17155000000.0
AdvertisingExpense / USD,,,,,,524000000.0,,,,508000000.0,,,,507000000.0,,,,527000000.0,,,,527000000.0,,,,588000000.0,,,,623000000.0,,,,627000000.0,,,,630000000.0,,,,645000000.0,645000000.0,,,,673000000.0,,,,728000000.0,,,,348000000.0,,,,340000000.0,,,,744000000.0,,,
AmortizationOfFinancingCostsAndDiscounts / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000000.0,33000000.0,78000000.0,22000000.0,42000000.0,83000000.0,131000000.0,119000000.0,46000000.0,87000000.0,131000000.0,172000000.0,44000000.0,85000000.0,126000000.0,171000000.0,36000000.0,72000000.0,107000000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,,,,,,,,,,,8000000.0,9000000.0,10000000.0,13000000.0,13000000.0,9000000.0,9000000.0,5000000.0,5000000.0,5000000.0,8000000.0,6000000.0,3000000.0,3000000.0,4000000.0,,,,1000000.0,,,,,,,,,,,,,,0.0,61000000.0,103000000.0,104000000.0,1000000.0,61000000.0,103000000.0,0.0,56000000.0,57000000.0,57000000.0,104000000.0,55000000.0,54000000.0,54000000.0,56000000.0,138000000.0,134000000.0,134000000.0,56000000.0,133000000.0,132000000.0,
AociLossCashFlowHedgeCumulativeGainLossAfterTax / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18000000.0,-18000000.0,,,,-18000000.0,,,,-18000000.0,,,,41000000.0,,,,44000000.0,,,,53000000.0,,,
AssetImpairmentCharges / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,392000000.0,0.0,,,16000000.0,392000000.0,392000000.0,0.0,2000000.0,26000000.0,16000000.0,1062000000.0,3015000000.0,3925000000.0,26000000.0,17000000.0,66000000.0,541000000.0,4063000000.0,8000000.0,8000000.0,8000000.0,834000000.0,,,19000000.0,470000000.0,,,2000000.0
