taxonomy,fact_name,unit,value,start,end,fy,fp,form,filed,frame,decimals
dei,EntityCommonStockSharesOutstanding,shares,162674119.0,,2010-07-26,2010,Q2,10-Q,2010-07-29,CY2010Q2I,
dei,EntityCommonStockSharesOutstanding,shares,162736024.0,,2010-10-25,2010,Q3,10-Q,2010-10-27,CY2010Q3I,
dei,EntityCommonStockSharesOutstanding,shares,163000007.0,,2011-02-21,2010,FY,10-K,2011-02-25,,
dei,EntityCommonStockSharesOutstanding,shares,163070453.0,,2011-04-25,2011,Q1,10-Q,2011-04-27,CY2011Q1I,
dei,EntityCommonStockSharesOutstanding,shares,163146137.0,,2011-07-22,2011,Q2,10-Q,2011-07-27,CY2011Q2I,
dei,EntityCommonStockSharesOutstanding,shares,162078694.0,,2011-10-24,2011,Q3,10-Q,2011-10-27,CY2011Q3I,
dei,EntityCommonStockSharesOutstanding,shares,162281098.0,,2012-02-24,2011,FY,10-K,2012-02-29,,
dei,EntityCommonStockSharesOutstanding,shares,162409106.0,,2012-04-23,2012,Q1,10-Q,2012-04-26,CY2012Q1I,
dei,EntityCommonStockSharesOutstanding,shares,162521638.0,,2012-07-23,2012,Q2,10-Q,2012-07-26,CY2012Q2I,
dei,EntityCommonStockSharesOutstanding,shares,162686191.0,,2012-10-22,2012,Q3,10-Q,2012-10-25,CY2012Q3I,
dei,EntityCommonStockSharesOutstanding,shares,163227008.0,,2013-02-21,2012,FY,10-K,2013-02-27,,
dei,EntityCommonStockSharesOutstanding,shares,163435801.0,,2013-04-22,2013,Q1,10-Q,2013-04-25,CY2013Q1I,
dei,EntityCommonStockSharesOutstanding,shares,163668282.0,,2013-07-22,2013,Q2,10-Q,2013-07-25,CY2013Q2I,
dei,EntityCommonStockSharesOutstanding,shares,163830717.0,,2013-10-21,2013,Q3,10-Q,2013-10-24,CY2013Q3I,
dei,EntityCommonStockSharesOutstanding,shares,163506115.0,,2014-02-21,2013,FY,10-K,2014-02-27,,
