taxonomy,fact_name,unit,value,start,end,fy,fp,form,filed,frame,decimals
dei,EntityCommonStockSharesOutstanding,shares,191832618.0,,2009-07-31,2009.0,Q2,10-Q,2009-08-05,CY2009Q2I,
dei,EntityCommonStockSharesOutstanding,shares,372478486.0,,2009-10-01,2009.0,Q3,10-Q,2009-11-05,CY2009Q3I,
dei,EntityCommonStockSharesOutstanding,shares,374923337.0,,2010-01-31,2009.0,FY,10-K,2010-02-26,CY2009Q4I,
dei,EntityCommonStockSharesOutstanding,shares,376587420.0,,2010-04-30,2010.0,Q1,10-Q,2010-05-05,CY2010Q1I,
dei,EntityCommonStockSharesOutstanding,shares,379383565.0,,2010-07-31,2010.0,Q2,10-Q,2010-08-04,CY2010Q2I,
dei,EntityCommonStockSharesOutstanding,shares,300960739.0,,2010-10-31,2010.0,Q3,10-Q,2010-11-05,CY2010Q3I,
dei,EntityCommonStockSharesOutstanding,shares,302549567.0,,2011-01-31,2010.0,FY,10-K,2011-02-25,CY2010Q4I,
dei,EntityCommonStockSharesOutstanding,shares,305789211.0,,2011-04-30,2011.0,Q1,10-Q,2011-05-06,CY2011Q1I,
dei,EntityCommonStockSharesOutstanding,shares,305998249.0,,2011-07-31,2011.0,Q2,10-Q,2011-08-04,CY2011Q2I,
dei,EntityCommonStockSharesOutstanding,shares,299471164.0,,2011-10-31,2011.0,Q3,10-Q,2011-11-04,CY2011Q3I,
dei,EntityCommonStockSharesOutstanding,shares,289527281.0,,2012-01-31,2011.0,FY,10-K,2012-02-24,CY2011Q4I,
dei,EntityCommonStockSharesOutstanding,shares,294803536.0,,2012-04-30,2012.0,Q1,10-Q,2012-05-04,CY2012Q1I,
dei,EntityCommonStockSharesOutstanding,shares,294611280.0,,2012-07-31,2012.0,Q2,10-Q,2012-08-06,CY2012Q2I,
dei,EntityCommonStockSharesOutstanding,shares,293198202.0,,2012-10-31,2012.0,Q3,10-Q,2012-11-07,CY2012Q3I,
dei,EntityCommonStockSharesOutstanding,shares,294489305.0,,2013-01-31,2012.0,FY,10-K,2013-02-26,CY2012Q4I,
dei,EntityCommonStockSharesOutstanding,shares,293111942.0,,2013-04-30,2013.0,Q1,10-Q,2013-05-02,CY2013Q1I,
dei,EntityCommonStockSharesOutstanding,shares,292107324.0,,2013-07-31,2013.0,Q2,10-Q,2013-08-02,CY2013Q2I,
dei,EntityCommonStockSharesOutstanding,shares,291132837.0,,2013-10-31,2013.0,Q3,10-Q,2013-11-01,CY2013Q3I,
dei,EntityCommonStockSharesOutstanding,shares,290668784.0,,2014-01-31,2013.0,FY,10-K,2014-02-28,CY2013Q4I,
dei,EntityCommonStockSharesOutstanding,shares,287797282.0,,2014-04-30,2014.0,Q1,10-Q,2014-05-07,CY2014Q1I,
dei,EntityCommonStockSharesOutstanding,shares,285418355.0,,2014-07-31,2014.0,Q2,10-Q,2014-08-07,CY2014Q2I,
dei,EntityCommonStockSharesOutstanding,shares,283751124.0,,2014-10-31,2014.0,Q3,10-Q,2014-11-07,CY2014Q3I,
dei,EntityCommonStockSharesOutstanding,shares,285066924.0,,2015-01-31,2014.0,FY,10-K,2015-02-27,CY2014Q4I,
dei,EntityCommonStockSharesOutstanding,shares,283463759.0,,2015-04-30,2015.0,Q1,10-Q,2015-05-08,CY2015Q1I,
dei,EntityCommonStockSharesOutstanding,shares,281582501.0,,2015-07-31,2015.0,Q2,10-Q,2015-08-06,CY2015Q2I,
dei,EntityCommonStockSharesOutstanding,shares,282153638.0,,2015-10-31,2015.0,Q3,10-Q,2015-11-05,CY2015Q3I,
dei,EntityCommonStockSharesOutstanding,shares,324815641.0,,2016-01-31,2015.0,FY,10-K,2016-02-26,CY2015Q4I,
dei,EntityCommonStockSharesOutstanding,shares,326453930.0,,2016-04-30,2016.0,Q1,10-Q,2016-05-04,CY2016Q1I,
