taxonomy,fact_name,unit,value,start,end,fy,fp,form,filed,frame,decimals
dei,EntityCommonStockSharesOutstanding,shares,67579525.0,,2011-08-08,2011,Q2,10-Q,2011-08-12,CY2011Q2I,
dei,EntityCommonStockSharesOutstanding,shares,67603255.0,,2011-11-07,2011,Q3,10-Q,2011-11-14,CY2011Q3I,
dei,EntityCommonStockSharesOutstanding,shares,67906706.0,,2012-03-05,2011,FY,10-K,2012-03-09,CY2012Q1I,
dei,EntityCommonStockSharesOutstanding,shares,67946135.0,,2012-05-01,2012,Q1,10-Q,2012-05-08,,
dei,EntityCommonStockSharesOutstanding,shares,68063675.0,,2012-08-01,2012,Q2,10-Q,2012-08-07,CY2012Q2I,
dei,EntityCommonStockSharesOutstanding,shares,68110374.0,,2012-10-29,2012,Q3,10-Q/A,2012-11-08,CY2012Q3I,
dei,EntityCommonStockSharesOutstanding,shares,68278598.0,,2013-03-01,2012,FY,10-K,2013-03-13,CY2013Q1I,
dei,EntityCommonStockSharesOutstanding,shares,68398269.0,,2013-05-01,2013,Q1,10-Q,2013-05-07,,
dei,EntityCommonStockSharesOutstanding,shares,68433085.0,,2013-08-01,2013,Q2,10-Q,2013-08-07,CY2013Q2I,
dei,EntityCommonStockSharesOutstanding,shares,68555903.0,,2013-10-31,2013,Q3,10-Q,2013-11-05,CY2013Q3I,
dei,EntityCommonStockSharesOutstanding,shares,68779944.0,,2014-02-24,2013,FY,10-K,2014-03-03,,
dei,EntityCommonStockSharesOutstanding,shares,68831374.0,,2014-05-01,2014,Q1,10-Q,2014-05-08,CY2014Q1I,
dei,EntityCommonStockSharesOutstanding,shares,68851521.0,,2014-08-01,2014,Q2,10-Q,2014-08-07,CY2014Q2I,
dei,EntityCommonStockSharesOutstanding,shares,68868851.0,,2014-11-01,2014,Q3,10-Q,2014-11-07,CY2014Q3I,
dei,EntityCommonStockSharesOutstanding,shares,69093775.0,,2015-02-20,2014,FY,10-K,2015-02-27,,
dei,EntityCommonStockSharesOutstanding,shares,69151180.0,,2015-05-01,2015,Q1,10-Q,2015-05-08,CY2015Q1I,
dei,EntityCommonStockSharesOutstanding,shares,69247223.0,,2015-08-03,2015,Q2,10-Q,2015-08-07,CY2015Q2I,
dei,EntityCommonStockSharesOutstanding,shares,67163204.0,,2015-11-02,2015,Q3,10-Q,2015-11-06,CY2015Q3I,
dei,EntityCommonStockSharesOutstanding,shares,66366949.0,,2016-02-19,2015,FY,10-K,2016-02-26,,
dei,EntityCommonStockSharesOutstanding,shares,66542357.0,,2016-05-02,2016,Q1,10-Q,2016-05-06,CY2016Q1I,
dei,EntityCommonStockSharesOutstanding,shares,65864979.0,,2016-08-01,2016,Q2,10-Q,2016-08-05,CY2016Q2I,
dei,EntityCommonStockSharesOutstanding,shares,63837342.0,,2016-10-31,2016,Q3,10-Q,2016-11-04,CY2016Q3I,
dei,EntityCommonStockSharesOutstanding,shares,62735597.0,,2017-02-17,2016,FY,10-K,2017-02-24,,
dei,EntityCommonStockSharesOutstanding,shares,62834653.0,,2017-04-28,2017,Q1,10-Q,2017-05-05,CY2017Q1I,
