taxonomy,fact_name,unit,value,start,end,fy,fp,form,filed,frame,decimals
dei,EntityCommonStockSharesOutstanding,shares,326583297.0,,2009-08-30,2010,Q1,10-Q,2009-09-24,CY2009Q3I,
dei,EntityCommonStockSharesOutstanding,shares,329537281.0,,2009-11-29,2010,Q2,10-Q,2009-12-18,CY2009Q4I,
dei,EntityCommonStockSharesOutstanding,shares,331776678.0,,2010-02-28,2010,Q3,10-Q,2010-03-24,CY2010Q1I,
dei,EntityCommonStockSharesOutstanding,shares,651216065.0,,2010-06-18,2010,FY,10-K,2010-07-09,CY2010Q2I,
dei,EntityCommonStockSharesOutstanding,shares,640299621.0,,2010-09-13,2011,Q1,10-Q,2010-09-22,CY2010Q3I,
dei,EntityCommonStockSharesOutstanding,shares,635811716.0,,2010-12-10,2011,Q2,10-Q,2010-12-17,CY2010Q4I,
dei,EntityCommonStockSharesOutstanding,shares,638405347.0,,2011-02-27,2011,Q3,10-Q,2011-03-23,,
dei,EntityCommonStockSharesOutstanding,shares,651216065.0,,2011-02-27,2010,FY,8-K,2011-05-11,,
dei,EntityCommonStockSharesOutstanding,shares,651216065.0,,2011-02-27,2011,FY,10-K,2011-07-08,,
dei,EntityCommonStockSharesOutstanding,shares,643457394.0,,2011-02-27,2012,Q1,10-Q,2011-09-21,CY2011Q1I,
dei,EntityCommonStockSharesOutstanding,shares,644651180.0,,2011-11-27,2012,Q2,10-Q,2011-12-20,CY2011Q4I,
dei,EntityCommonStockSharesOutstanding,shares,647308942.0,,2012-02-26,2012,Q3,10-Q,2012-03-21,CY2012Q1I,
dei,EntityCommonStockSharesOutstanding,shares,648588155.0,,2012-06-15,2012,FY,10-K,2012-07-03,CY2012Q2I,
dei,EntityCommonStockSharesOutstanding,shares,645224306.0,,2012-08-30,2013,Q1,10-Q,2012-09-19,CY2012Q3I,
dei,EntityCommonStockSharesOutstanding,shares,646595998.0,,2012-12-07,2013,Q2,10-Q,2012-12-19,CY2012Q4I,
dei,EntityCommonStockSharesOutstanding,shares,644657589.0,,2013-03-08,2013,Q3,10-Q,2013-03-20,CY2013Q1I,
dei,EntityCommonStockSharesOutstanding,shares,640860417.0,,2013-06-14,2013,FY,10-K,2013-07-03,CY2013Q2I,
dei,EntityCommonStockSharesOutstanding,shares,634262701.0,,2013-09-07,2014,Q1,10-Q,2013-09-18,CY2013Q3I,
dei,EntityCommonStockSharesOutstanding,shares,624536334.0,,2013-12-06,2014,Q2,10-Q,2013-12-18,CY2013Q4I,
dei,EntityCommonStockSharesOutstanding,shares,614492206.0,,2014-03-07,2014,Q3,10-Q,2014-03-19,CY2014Q1I,
dei,EntityCommonStockSharesOutstanding,shares,612508457.0,,2014-06-13,2014,FY,10-K,2014-07-03,CY2014Q2I,
dei,EntityCommonStockSharesOutstanding,shares,603747687.0,,2014-09-05,2015,Q1,10-Q,2014-09-18,CY2014Q3I,
dei,EntityCommonStockSharesOutstanding,shares,603747687.0,,2014-12-05,2015,Q2,10-Q,2014-12-17,CY2014Q4I,
dei,EntityCommonStockSharesOutstanding,shares,596089958.0,,2015-03-06,2015,Q3,10-Q,2015-03-18,CY2015Q1I,
dei,EntityCommonStockSharesOutstanding,shares,598737719.0,,2015-06-12,2015,FY,10-K,2015-07-06,CY2015Q2I,
dei,EntityCommonStockSharesOutstanding,shares,597687535.0,,2015-09-11,2016,Q1,10-Q,2015-09-23,CY2015Q3I,
dei,EntityCommonStockSharesOutstanding,shares,593345187.0,,2015-12-09,2016,Q2,10-Q,2015-12-17,CY2015Q4I,
dei,EntityCommonStockSharesOutstanding,shares,594401538.0,,2016-03-11,2016,Q3,10-Q,2016-03-23,CY2016Q1I,
dei,EntityCommonStockSharesOutstanding,shares,597020906.0,,2016-06-13,2016,FY,10-K,2016-06-30,CY2016Q2I,
dei,EntityCommonStockSharesOutstanding,shares,591383342.0,,2016-09-09,2017,Q1,10-Q,2016-09-21,CY2016Q3I,
dei,EntityCommonStockSharesOutstanding,shares,580011272.0,,2016-12-13,2017,Q2,10-Q,2016-12-20,CY2016Q4I,
dei,EntityCommonStockSharesOutstanding,shares,576135402.0,,2017-03-14,2017,Q3,10-Q,2017-03-21,CY2017Q1I,
dei,EntityCommonStockSharesOutstanding,shares,577099679.0,,2017-06-09,2017,FY,10-K,2017-06-29,CY2017Q2I,
dei,EntityCommonStockSharesOutstanding,shares,568338468.0,,2017-09-13,2018,Q1,10-Q,2017-09-20,CY2017Q3I,
dei,EntityCommonStockSharesOutstanding,shares,569043789.0,,2017-12-11,2018,Q2,10-Q,2017-12-20,CY2017Q4I,
dei,EntityCommonStockSharesOutstanding,shares,570162724.0,,2018-03-12,2018,Q3,10-Q,2018-03-21,CY2018Q1I,
dei,EntityCommonStockSharesOutstanding,shares,593367848.0,,2018-06-07,2018,FY,10-K,2018-06-29,CY2018Q2I,
dei,EntityCommonStockSharesOutstanding,shares,596229932.0,,2018-09-10,2019,Q1,10-Q,2018-09-18,CY2018Q3I,
dei,EntityCommonStockSharesOutstanding,shares,596748917.0,,2018-12-07,2019,Q2,10-Q,2018-12-19,CY2018Q4I,
dei,EntityCommonStockSharesOutstanding,shares,598790681.0,,2019-03-11,2019,Q3,10-Q,2019-03-20,CY2019Q1I,
dei,EntityCommonStockSharesOutstanding,shares,601959611.0,,2019-06-10,2019,FY,10-K,2019-06-28,CY2019Q2I,
dei,EntityCommonStockSharesOutstanding,shares,604393769.0,,2019-09-10,2020,Q1,10-Q,2019-09-18,CY2019Q3I,
dei,EntityCommonStockSharesOutstanding,shares,604816813.0,,2019-12-10,2020,Q2,10-Q,2019-12-18,CY2019Q4I,
dei,EntityCommonStockSharesOutstanding,shares,606138918.0,,2020-03-10,2020,Q3,10-Q,2020-03-18,CY2020Q1I,
dei,EntityCommonStockSharesOutstanding,shares,609869264.0,,2020-06-15,2020,FY,10-K,2020-07-02,CY2020Q2I,
dei,EntityCommonStockSharesOutstanding,shares,611333854.0,,2020-09-15,2021,Q1,10-Q,2020-09-23,CY2020Q3I,
dei,EntityCommonStockSharesOutstanding,shares,611436598.0,,2020-12-10,2021,Q2,10-Q,2020-12-17,CY2020Q4I,
dei,EntityCommonStockSharesOutstanding,shares,609971269.0,,2021-03-15,2021,Q3,10-Q,2021-03-24,CY2021Q1I,
dei,EntityCommonStockSharesOutstanding,shares,607210408.0,,2021-06-15,2021,FY,10-K,2021-06-30,CY2021Q2I,
dei,EntityCommonStockSharesOutstanding,shares,605692452.0,,2021-09-14,2022,Q1,10-Q,2021-09-22,CY2021Q3I,
dei,EntityCommonStockSharesOutstanding,shares,603206700.0,,2021-12-14,2022,Q2,10-Q,2021-12-21,CY2021Q4I,
dei,EntityCommonStockSharesOutstanding,shares,602212031.0,,2022-03-14,2022,Q3,10-Q,2022-03-23,CY2022Q1I,
dei,EntityCommonStockSharesOutstanding,shares,597158440.0,,2022-06-15,2022,FY,10-K,2022-06-30,CY2022Q2I,
dei,EntityCommonStockSharesOutstanding,shares,593535650.0,,2022-09-14,2023,Q1,10-Q,2022-09-21,CY2022Q3I,
dei,EntityCommonStockSharesOutstanding,shares,589610717.0,,2022-12-13,2023,Q2,10-Q,2022-12-20,CY2022Q4I,
dei,EntityCommonStockSharesOutstanding,shares,587354488.0,,2023-03-13,2023,Q3,10-Q,2023-03-23,CY2023Q1I,
dei,EntityCommonStockSharesOutstanding,shares,585182745.0,,2023-06-14,2023,FY,10-K,2023-06-28,CY2023Q2I,
dei,EntityCommonStockSharesOutstanding,shares,581279229.0,,2023-09-13,2024,Q1,10-Q,2023-09-20,CY2023Q3I,
dei,EntityCommonStockSharesOutstanding,shares,567890100.0,,2023-12-13,2024,Q2,10-Q,2023-12-20,CY2023Q4I,
dei,EntityCommonStockSharesOutstanding,shares,564548763.0,,2024-03-13,2024,Q3,10-Q,2024-03-20,CY2024Q1I,
dei,EntityCommonStockSharesOutstanding,shares,558145667.0,,2024-06-10,2024,FY,10-K,2024-06-26,CY2024Q2I,
dei,EntityCommonStockSharesOutstanding,shares,555158898.0,,2024-09-11,2025,Q1,10-Q,2024-09-18,CY2024Q3I,
dei,EntityCommonStockSharesOutstanding,shares,551231250.0,,2024-12-11,2025,Q2,10-Q,2024-12-18,CY2024Q4I,
dei,EntityCommonStockSharesOutstanding,shares,547600534.0,,2025-03-12,2025,Q3,10-Q,2025-03-19,CY2025Q1I,
dei,EntityCommonStockSharesOutstanding,shares,542427490.0,,2025-06-09,2025,FY,10-K,2025-06-26,CY2025Q2I,
dei,EntityCommonStockSharesOutstanding,shares,533416422.0,,2025-09-10,2026,Q1,10-Q,2025-09-17,CY2025Q3I,
dei,EntityPublicFloat,USD,21166000000.0,,2008-11-21,2010,Q1,10-Q,2009-09-24,,
dei,EntityPublicFloat,USD,21166000000.0,,2008-11-21,2010,Q2,10-Q,2009-12-18,,
dei,EntityPublicFloat,USD,21166000000.0,,2008-11-21,2010,Q3,10-Q,2010-03-24,CY2008Q4I,
dei,EntityPublicFloat,USD,22384100000.0,,2009-11-27,2010,FY,10-K,2010-07-09,,
dei,EntityPublicFloat,USD,22384100000.0,,2009-11-27,2011,Q1,10-Q,2010-09-22,,
dei,EntityPublicFloat,USD,22384100000.0,,2009-11-27,2011,Q2,10-Q,2010-12-17,CY2009Q4I,
dei,EntityPublicFloat,USD,22384100000.0,,2011-02-27,2011,Q3,10-Q,2011-03-23,,
dei,EntityPublicFloat,USD,22384100000.0,,2011-02-27,2010,FY,8-K,2011-05-11,,
dei,EntityPublicFloat,USD,22384100000.0,,2011-02-27,2011,FY,10-K,2011-07-08,CY2011Q1I,
dei,EntityPublicFloat,USD,22432900000.0,,2011-08-28,2012,Q1,10-Q,2011-09-21,CY2011Q3I,
dei,EntityPublicFloat,USD,24593000000.0,,2011-11-25,2012,FY,10-K,2012-07-03,,
dei,EntityPublicFloat,USD,22432900000.0,,2011-11-25,2013,Q1,10-Q,2012-09-19,,
dei,EntityPublicFloat,USD,22432900000.0,,2011-11-27,2012,Q2,10-Q,2011-12-20,CY2011Q4I,
dei,EntityPublicFloat,USD,22432900000.0,,2012-02-26,2012,Q3,10-Q,2012-03-21,CY2012Q1I,
dei,EntityPublicFloat,USD,26330200000.0,,2012-11-23,2013,FY,10-K,2013-07-03,,
dei,EntityPublicFloat,USD,26330200000.0,,2012-11-25,2013,Q2,10-Q,2012-12-19,CY2012Q4I,
dei,EntityPublicFloat,USD,31396800000.0,,2013-11-22,2014,FY,10-K,2014-07-03,CY2013Q4I,
dei,EntityPublicFloat,USD,30938300000.0,,2014-11-21,2015,FY,10-K,2015-07-06,CY2014Q4I,
dei,EntityPublicFloat,USD,34654200000.0,,2015-11-27,2016,FY,10-K,2016-06-30,CY2015Q4I,
dei,EntityPublicFloat,USD,36148900000.0,,2016-11-28,2017,FY,10-K,2017-06-29,CY2016Q4I,
dei,EntityPublicFloat,USD,30510600000.0,,2017-11-24,2018,FY,10-K,2018-06-29,CY2017Q4I,
dei,EntityPublicFloat,USD,25879800000.0,,2018-11-25,2019,FY,10-K,2019-06-28,CY2018Q4I,
dei,EntityPublicFloat,USD,31856100000.0,,2019-11-24,2020,FY,10-K,2020-07-02,CY2019Q4I,
dei,EntityPublicFloat,USD,36765200000.0,,2020-11-29,2021,FY,10-K,2021-06-30,CY2020Q4I,
dei,EntityPublicFloat,USD,37857200000.0,,2022-05-29,2022,FY,10-K,2022-06-30,CY2022Q2I,
dei,EntityPublicFloat,USD,48920000000.0,,2022-11-27,2023,FY,10-K,2023-06-28,CY2022Q4I,
dei,EntityPublicFloat,USD,37084000000.0,,2023-11-26,2024,FY,10-K,2024-06-26,CY2023Q4I,
dei,EntityPublicFloat,USD,35891000000.0,,2024-11-24,2025,FY,10-K,2025-06-26,CY2024Q4I,
us-gaap,AccountsPayableCurrent,USD,803400000.0,,2009-05-31,2010,Q1,10-Q,2009-09-24,,
us-gaap,AccountsPayableCurrent,USD,803400000.0,,2009-05-31,2010,Q2,10-Q,2009-12-18,,
us-gaap,AccountsPayableCurrent,USD,803400000.0,,2009-05-31,2010,Q3,10-Q,2010-03-24,,
us-gaap,AccountsPayableCurrent,USD,803400000.0,,2009-05-31,2010,FY,10-K,2010-07-09,,
us-gaap,AccountsPayableCurrent,USD,803400000.0,,2009-05-31,2010,FY,8-K,2011-05-11,CY2009Q2I,
us-gaap,AccountsPayableCurrent,USD,792100000.0,,2009-08-30,2010,Q1,10-Q,2009-09-24,CY2009Q3I,
us-gaap,AccountsPayableCurrent,USD,717600000.0,,2009-11-29,2010,Q2,10-Q,2009-12-18,CY2009Q4I,
us-gaap,AccountsPayableCurrent,USD,690500000.0,,2010-02-28,2010,Q3,10-Q,2010-03-24,CY2010Q1I,
us-gaap,AccountsPayableCurrent,USD,849500000.0,,2010-05-30,2010,FY,10-K,2010-07-09,,
us-gaap,AccountsPayableCurrent,USD,849500000.0,,2010-05-30,2011,Q1,10-Q,2010-09-22,,
us-gaap,AccountsPayableCurrent,USD,849500000.0,,2010-05-30,2011,Q2,10-Q,2010-12-17,,
us-gaap,AccountsPayableCurrent,USD,849500000.0,,2010-05-30,2011,Q3,10-Q,2011-03-23,,
us-gaap,AccountsPayableCurrent,USD,849500000.0,,2010-05-30,2010,FY,8-K,2011-05-11,,
us-gaap,AccountsPayableCurrent,USD,849500000.0,,2010-05-30,2011,FY,10-K,2011-07-08,CY2010Q2I,
us-gaap,AccountsPayableCurrent,USD,888000000.0,,2010-08-29,2011,Q1,10-Q,2010-09-22,CY2010Q3I,
us-gaap,AccountsPayableCurrent,USD,826700000.0,,2010-11-28,2011,Q2,10-Q,2010-12-17,CY2010Q4I,
us-gaap,AccountsPayableCurrent,USD,830100000.0,,2011-02-27,2011,Q3,10-Q,2011-03-23,CY2011Q1I,
us-gaap,AccountsPayableCurrent,USD,995100000.0,,2011-05-29,2011,FY,10-K,2011-07-08,,
us-gaap,AccountsPayableCurrent,USD,995100000.0,,2011-05-29,2012,Q1,10-Q,2011-09-21,,
us-gaap,AccountsPayableCurrent,USD,995100000.0,,2011-05-29,2012,Q2,10-Q,2011-12-20,,
us-gaap,AccountsPayableCurrent,USD,995100000.0,,2011-05-29,2012,Q3,10-Q,2012-03-21,,
us-gaap,AccountsPayableCurrent,USD,995100000.0,,2011-05-29,2012,FY,10-K,2012-07-03,CY2011Q2I,
us-gaap,AccountsPayableCurrent,USD,1181900000.0,,2011-08-28,2012,Q1,10-Q,2011-09-21,CY2011Q3I,
us-gaap,AccountsPayableCurrent,USD,1096500000.0,,2011-11-27,2012,Q2,10-Q,2011-12-20,CY2011Q4I,
