fact_unit,2022-03-31,2022-06-13,2022-08-19,2022-11-22,2023-04-14,2023-05-18,2023-08-09,2023-11-07,2024-04-29,2024-11-05,2025-03-20,2025-05-06,2025-08-05,2025-11-12
AccountingProfit / USD,-1147125000.0,,,,-1365000000.0,,,,-176000000.0,,1532000000.0,,,
AccrualsAndDeferredIncomeIncludingContractLiabilities / USD,48363000.0,,,,48000000.0,,,,522000000.0,,476000000.0,18000000.0,18000000.0,18000000.0
AccrualsClassifiedAsCurrent / USD,470800000.0,,,,603000000.0,,,,573000000.0,,496000000.0,522000000.0,522000000.0,522000000.0
AccumulatedOtherComprehensiveIncome / USD,-3319000.0,-54000000.0,-54000000.0,-54000000.0,-54000000.0,92000000.0,92000000.0,92000000.0,92000000.0,67000000.0,67000000.0,17000000.0,17000000.0,17000000.0
AdditionalPaidinCapital / USD,11707515000.0,23487000000.0,23487000000.0,23487000000.0,23487000000.0,23831000000.0,23831000000.0,23831000000.0,23831000000.0,24027000000.0,24027000000.0,24014000000.0,24014000000.0,24014000000.0
AdditionsToRightofuseAssets / USD,994000.0,,,,94000000.0,,,,59000000.0,62000000.0,117000000.0,15000000.0,211000000.0,214000000.0
AdjustedWeightedAverageShares / shares,504003126.0,500000000.0,500000000.0,500000000.0,500000000.0,549000000.0,550000000.0,551000000.0,506000000.0,556000000.0,552000000.0,558000000.0,557000000.0,557000000.0
AdjustmentsForAmortisationExpense / USD,242325000.0,52000000.0,104000000.0,157000000.0,,52000000.0,100000000.0,137000000.0,,97000000.0,,,,
AdjustmentsForCurrentTaxOfPriorPeriod / USD,-103000.0,,,,0.0,,,,1000000.0,,5000000.0,,,
AdjustmentsForDecreaseIncreaseInInventories / USD,-42325000.0,-31000000.0,-86000000.0,-158000000.0,-560000000.0,-64000000.0,-141000000.0,-221000000.0,-202000000.0,-170000000.0,-261000000.0,-180000000.0,-299000000.0,-316000000.0
AdjustmentsForDecreaseIncreaseInTradeAndOtherReceivables / USD,-143710000.0,-27000000.0,-246000000.0,-119000000.0,753000000.0,16000000.0,-34000000.0,37000000.0,-387000000.0,-140000000.0,35000000.0,158000000.0,224000000.0,83000000.0
AdjustmentsForDeferredTaxExpense / USD,214272000.0,15000000.0,33000000.0,53000000.0,-38000000.0,19000000.0,41000000.0,52000000.0,93000000.0,42000000.0,82000000.0,23000000.0,29000000.0,66000000.0
AdjustmentsForDeferredTaxOfPriorPeriods / USD,216582000.0,,,,-35000000.0,,,,78000000.0,,44000000.0,,,
AdjustmentsForDepreciationAndAmortisationExpense / USD,,,,,2522000000.0,,,,1618000000.0,,1623000000.0,,,
AdjustmentsForDepreciationExpense / USD,2435899000.0,325000000.0,680000000.0,1043000000.0,,356000000.0,719000000.0,1077000000.0,,952000000.0,,392000000.0,794000000.0,1190000000.0
AdjustmentsForFinanceCosts / USD,230176000.0,28000000.0,55000000.0,82000000.0,154000000.0,,,,114000000.0,101000000.0,111000000.0,37000000.0,74000000.0,111000000.0
AdjustmentsForFinanceIncome / USD,11379000.0,,,,3000000.0,,,,6000000.0,105000000.0,51000000.0,47000000.0,100000000.0,152000000.0
AdjustmentsForGainLossOnDisposalsPropertyPlantAndEquipment / USD,88319000.0,4000000.0,24000000.0,23000000.0,140000000.0,4000000.0,24000000.0,81000000.0,39000000.0,27000000.0,103000000.0,3000000.0,10000000.0,63000000.0
AdjustmentsForIncreaseDecreaseInTradeAndOtherPayables / USD,-96868000.0,-37000000.0,293000000.0,882000000.0,-134000000.0,237000000.0,263000000.0,235000000.0,1819000000.0,-173000000.0,60000000.0,-75000000.0,-190000000.0,-295000000.0
AdjustmentsForSharebasedPayments / USD,0.0,0.0,144000000.0,169000000.0,1000000.0,53000000.0,104000000.0,137000000.0,223000000.0,120000000.0,181000000.0,42000000.0,93000000.0,143000000.0
AmortisationIntangibleAssetsOtherThanGoodwill / USD,242325000.0,,,,284000000.0,,,,207000000.0,,176000000.0,,,
AmountIncurredByEntityForProvisionOfKeyManagementPersonnelServicesProvidedBySeparateManagementEntity / USD,12060000.0,,,,12000000.0,,,,53000000.0,,29000000.0,,,
AmountsPayableRelatedPartyTransactions / USD,10793000.0,9000000.0,9000000.0,9000000.0,9000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,20000000.0,20000000.0,20000000.0
AmountsReceivableRelatedPartyTransactions / USD,8734000.0,8000000.0,8000000.0,8000000.0,8000000.0,11000000.0,11000000.0,11000000.0,11000000.0,12000000.0,12000000.0,9000000.0,9000000.0,9000000.0
ApplicableTaxRate / pure,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
Assets / USD,12321633000.0,15028000000.0,15028000000.0,15028000000.0,15028000000.0,17841000000.0,17841000000.0,17841000000.0,17841000000.0,18044000000.0,18044000000.0,16799000000.0,16799000000.0,16799000000.0
BalancesWithBanks / USD,347879000.0,,,,764000000.0,,,,990000000.0,,490000000.0,,,
BasicEarningsLossPerShare / USD/shares,-2.72,-0.25,-0.6,-0.59,-2.7,0.34,0.83,1.45,-0.49,1.35,2.69,0.24,0.52,0.84
Borrowings / USD,2729167000.0,2013000000.0,2013000000.0,2013000000.0,2338000000.0,2511000000.0,2511000000.0,2511000000.0,2013000000.0,2372000000.0,2511000000.0,1806000000.0,1806000000.0,1806000000.0
CashAndCashEquivalents / USD,843978000.0,908000000.0,908000000.0,908000000.0,997000000.0,2939000000.0,2939000000.0,2939000000.0,908000000.0,2352000000.0,2939000000.0,2387000000.0,2387000000.0,2387000000.0
CashFlowsFromUsedInFinancingActivities / USD,-683832000.0,-162000000.0,-224000000.0,-749000000.0,-733000000.0,118000000.0,325000000.0,482000000.0,650000000.0,-125000000.0,842000000.0,-27000000.0,-321000000.0,-333000000.0
CashFlowsFromUsedInInvestingActivities / USD,343749000.0,-257000000.0,-462000000.0,-824000000.0,-366000000.0,-639000000.0,-2243000000.0,-3007000000.0,-1450000000.0,-1787000000.0,-4058000000.0,-600000000.0,-770000000.0,-1033000000.0
CashFlowsFromUsedInOperatingActivities / USD,496819000.0,148000000.0,582000000.0,1692000000.0,1004000000.0,845000000.0,1454000000.0,2133000000.0,2839000000.0,1441000000.0,2624000000.0,488000000.0,890000000.0,1265000000.0
CashFlowsUsedInObtainingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities / USD,,,,,,,,,,0.0,0.0,0.0,0.0,69000000.0
CashOutflowForLeases / USD,,,,,,,,,106000000.0,57000000.0,78000000.0,13000000.0,24000000.0,42000000.0
CashReceiptsFromFutureContractsForwardContractsOptionContractsAndSwapContractsClassifiedAsInvestingActivities / USD,,,,,,,,,20000000000.0,,14000000000.0,,,
ComprehensiveIncome / USD,-1360482000.0,-155000000.0,-324000000.0,-340000000.0,-1357000000.0,253000000.0,439000000.0,769000000.0,-308000000.0,702000000.0,1583000000.0,106000000.0,261000000.0,487000000.0
ComprehensiveIncomeAttributableToNoncontrollingInterests / USD,0.0,-1000000.0,-3000000.0,-6000000.0,2000000.0,-1000000.0,-7000000.0,-17000000.0,-8000000.0,-3000000.0,-11000000.0,-1000000.0,0.0,2000000.0
ComprehensiveIncomeAttributableToOwnersOfParent / USD,-1360482000.0,-154000000.0,-321000000.0,-334000000.0,-1359000000.0,254000000.0,446000000.0,786000000.0,-300000000.0,705000000.0,1594000000.0,107000000.0,261000000.0,485000000.0
ContractLiabilities / USD,144562000.0,,,,135000000.0,,,,1901000000.0,,1918000000.0,1983000000.0,1983000000.0,1983000000.0
ContractualCapitalCommitments / USD,952604000.0,2995000000.0,2995000000.0,2995000000.0,2995000000.0,2774000000.0,2774000000.0,2774000000.0,2774000000.0,,1136000000.0,,,
CostOfSales / USD,6345032000.0,1319000000.0,2708000000.0,4108000000.0,5563000000.0,1471000000.0,2926000000.0,4390000000.0,5572000000.0,3962000000.0,5869000000.0,1156000000.0,2393000000.0,3718000000.0
CurrentAssets / USD,2986724000.0,5291000000.0,5291000000.0,5291000000.0,5291000000.0,5800000000.0,5800000000.0,5800000000.0,5800000000.0,6327000000.0,6327000000.0,6416000000.0,6416000000.0,6416000000.0
CurrentContractLiabilities / USD,104466000.0,,,,533000000.0,,,,592000000.0,,895000000.0,840000000.0,840000000.0,840000000.0
CurrentFinancialAssetsAtFairValueThroughOtherComprehensiveIncome / USD,,,,,,,,,,1033000000.0,1033000000.0,1194000000.0,1194000000.0,1194000000.0
CurrentGovernmentGrants / USD,40505000.0,29000000.0,29000000.0,29000000.0,29000000.0,110000000.0,110000000.0,110000000.0,110000000.0,93000000.0,93000000.0,92000000.0,92000000.0,92000000.0
CurrentLeaseLiabilities / USD,131270000.0,135000000.0,135000000.0,135000000.0,135000000.0,75000000.0,75000000.0,75000000.0,75000000.0,32000000.0,32000000.0,90000000.0,90000000.0,90000000.0
CurrentLiabilities / USD,1896070000.0,3163000000.0,3163000000.0,3163000000.0,3163000000.0,3359000000.0,3359000000.0,3359000000.0,3359000000.0,3099000000.0,3099000000.0,3044000000.0,3044000000.0,3044000000.0
CurrentPortionOfLongtermBorrowings / USD,381807000.0,297000000.0,297000000.0,297000000.0,297000000.0,223000000.0,223000000.0,223000000.0,223000000.0,571000000.0,571000000.0,753000000.0,753000000.0,753000000.0
CurrentPrepaymentsAndOtherCurrentAssets / USD,1056934000.0,1208000000.0,1208000000.0,1231000000.0,1231000000.0,1487000000.0,1487000000.0,1487000000.0,1487000000.0,1420000000.0,1420000000.0,1406000000.0,1406000000.0,1406000000.0
CurrentProvisions / USD,0.0,116000000.0,116000000.0,116000000.0,116000000.0,102000000.0,102000000.0,102000000.0,102000000.0,,54000000.0,17000000.0,17000000.0,17000000.0
CurrentTaxAssetsCurrent / USD,113000.0,,,,1000000.0,,,,1000000.0,,0.0,,,
CurrentTaxExpenseIncome / USD,6205000.0,,,,29000000.0,,,,-2000000.0,,14000000.0,,,
CurrentTaxLiabilities / USD,30609000.0,,,,14000000.0,,,,14000000.0,,19000000.0,,,
CurrentTradeReceivables / USD,767257000.0,872000000.0,872000000.0,872000000.0,872000000.0,824000000.0,824000000.0,824000000.0,824000000.0,1002000000.0,1002000000.0,906000000.0,906000000.0,906000000.0
DeferredTaxAssets / USD,443566000.0,353000000.0,353000000.0,353000000.0,353000000.0,292000000.0,292000000.0,292000000.0,292000000.0,241000000.0,241000000.0,188000000.0,188000000.0,188000000.0
DeferredTaxExpenseIncome / USD,,,,,,,,,,,-19000000.0,,,
DeferredTaxExpenseIncomeRecognisedInProfitOrLoss / USD,-40882000.0,,,,79000000.0,,,,67000000.0,,50000000.0,,,
DeferredTaxLiabilities / USD,8422000.0,,,,2000000.0,,,,26000000.0,,6000000.0,,,
DeferredTaxLiabilityAsset / USD,-407459000.0,,,,-435000000.0,,,,-351000000.0,,-266000000.0,,,
DepositsFromCustomers / USD,100000.0,,,,118000000.0,,,,73000000.0,,22000000.0,36000000.0,36000000.0,
DepreciationAndAmortisationExpense / USD,2382199000.0,,,,2187000000.0,,,,1422000000.0,,1468000000.0,,,
DepreciationExpense / USD,2435899000.0,,,,1447000000.0,,719000000.0,1000000000.0,1411000000.0,907000000.0,1365000000.0,346000000.0,696000000.0,1038000000.0
DepreciationRightofuseAssets / USD,56964000.0,,,,81000000.0,,,,82000000.0,45000000.0,57000000.0,15000000.0,35000000.0,56000000.0
DilutedEarningsLossPerShare / USD/shares,-2.72,-0.25,-0.6,-0.59,-2.7,0.33,0.81,1.42,-0.49,1.34,2.62,0.24,0.52,0.83
DilutiveEffectOfRestrictedShareUnitsOnWeightedAverageNumberOfOrdinaryShares / shares,,,,,,,,,,,13000000.0,3000000.0,3000000.0,3000000.0
EffectOfExchangeRateChangesOnCashAndCashEquivalents / USD,-3399000.0,-2000000.0,1000000.0,-8000000.0,6000000.0,1000000.0,-1000000.0,-6000000.0,-8000000.0,-1000000.0,5000000.0,-1000000.0,-2000000.0,0.0
EntityCommonStockSharesOutstanding / shares,531845744.0,,,,547754986.0,,,,553548190.0,,552912823.0,,,
Equity / USD,10779612000.0,7242000000.0,7242000000.0,7242000000.0,9020000000.0,8033000000.0,8033000000.0,8033000000.0,7241000000.0,9960000000.0,8033000000.0,11151000000.0,11151000000.0,11151000000.0
EquityAndLiabilities / USD,12321633000.0,15028000000.0,15028000000.0,15028000000.0,15028000000.0,17841000000.0,17841000000.0,17841000000.0,17841000000.0,18044000000.0,18044000000.0,16799000000.0,16799000000.0,16799000000.0
EquityAttributableToOwnersOfParent / USD,7176374000.0,7975000000.0,7975000000.0,7975000000.0,7975000000.0,9913000000.0,9913000000.0,9913000000.0,9913000000.0,11104000000.0,11104000000.0,10776000000.0,10776000000.0,10776000000.0
ExpenseFromSharebasedPaymentTransactionsInWhichGoodsOrServicesReceivedDidNotQualifyForRecognitionAsAssets / USD,200591000.0,,,,251000000.0,,,,63000000.0,,7000000.0,,,
ExpenseFromSharebasedPaymentTransactionsWithEmployees / USD,0.0,,,,1000000.0,,,,152000000.0,,92000000.0,,,
ExpenseOfRestructuringActivities / USD,,,,,0.0,0.0,0.0,0.0,0.0,41000000.0,94000000.0,,5000000.0,6000000.0
FeeAndCommissionExpense / USD,23457000.0,,,,18000000.0,,,,12000000.0,,13000000.0,,,
FinanceCosts / USD,230176000.0,28000000.0,55000000.0,82000000.0,154000000.0,,,,114000000.0,,111000000.0,,,
FinanceIncome / USD,11379000.0,,,,3000000.0,,,,6000000.0,,51000000.0,,,
FinanceIncomeCost / USD,,,,,,-28000000.0,-47000000.0,-58000000.0,,4000000.0,,10000000.0,26000000.0,41000000.0
FinancialAssets / USD,2337955000.0,2013000000.0,2013000000.0,2013000000.0,2013000000.0,2511000000.0,2511000000.0,2511000000.0,2511000000.0,2372000000.0,2372000000.0,,,
