fact_unit,2009-08-03,2009-11-02,2010-02-22,2010-05-03,2010-07-30,2010-11-02,2011-02-18,2011-05-09,2011-08-08,2011-11-04,2012-02-23,2012-05-04,2012-08-01,2012-10-31,2013-02-19,2013-04-29,2013-07-29,2013-10-28,2014-02-14,2014-04-25,2014-07-25,2014-10-29,2015-02-13,2015-04-27,2015-06-05,2015-07-27,2015-10-28,2016-02-12,2016-05-02,2016-08-01,2016-10-31,2017-02-17,2017-04-27,2017-07-27,2017-10-26,2018-02-16,2018-04-27,2018-07-27,2018-10-26,2019-02-01,2019-04-26,2019-07-26,2019-10-25,2020-01-24,2020-04-24,2020-07-24,2020-10-23,2021-01-22,2021-04-23,2021-07-23,2021-10-22,2022-01-27,2022-04-29,2022-07-29,2022-10-28,2023-01-27,2023-04-28,2023-07-28,2023-10-27,2024-01-26,2024-04-26,2024-08-02,2024-11-01,2025-01-31,2025-04-25,2025-07-24,2025-11-06
AccountsPayableCurrent / USD,2390000000.0,2390000000.0,2390000000.0,1883000000.0,1883000000.0,1883000000.0,1883000000.0,2290000000.0,2290000000.0,2290000000.0,2290000000.0,2956000000.0,2956000000.0,2956000000.0,2956000000.0,3023000000.0,3023000000.0,3023000000.0,3023000000.0,2969000000.0,2969000000.0,2969000000.0,2969000000.0,2748000000.0,2969000000.0,2748000000.0,2748000000.0,2748000000.0,2063000000.0,2063000000.0,2063000000.0,2063000000.0,2475000000.0,2475000000.0,2475000000.0,2475000000.0,2928000000.0,2928000000.0,2928000000.0,2928000000.0,3824000000.0,3824000000.0,3824000000.0,3824000000.0,4128000000.0,4128000000.0,4128000000.0,4128000000.0,5581000000.0,5581000000.0,5581000000.0,5581000000.0,5747000000.0,5747000000.0,5747000000.0,5747000000.0,9595000000.0,9595000000.0,9595000000.0,9595000000.0,8578000000.0,8578000000.0,8578000000.0,8578000000.0,12556000000.0,12556000000.0,12556000000.0
AccountsReceivableNetCurrent / USD,1712000000.0,1712000000.0,1712000000.0,2273000000.0,2273000000.0,2273000000.0,2273000000.0,2867000000.0,2867000000.0,2867000000.0,2867000000.0,3650000000.0,3650000000.0,3650000000.0,3650000000.0,3833000000.0,3833000000.0,3833000000.0,3833000000.0,3582000000.0,3582000000.0,3582000000.0,3582000000.0,4427000000.0,3582000000.0,4427000000.0,4427000000.0,4427000000.0,4787000000.0,4787000000.0,4787000000.0,4787000000.0,4690000000.0,4690000000.0,4690000000.0,4690000000.0,5607000000.0,5607000000.0,5607000000.0,5607000000.0,6722000000.0,6722000000.0,6722000000.0,6722000000.0,7659000000.0,7659000000.0,7659000000.0,7659000000.0,6782000000.0,6782000000.0,6782000000.0,6782000000.0,9457000000.0,9457000000.0,9457000000.0,9457000000.0,4133000000.0,4133000000.0,4133000000.0,4133000000.0,3402000000.0,3402000000.0,3402000000.0,3402000000.0,3478000000.0,3478000000.0,3478000000.0
AccountsReceivableSale / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,500000000.0,1000000000.0,1500000000.0,665000000.0,500000000.0,1000000000.0,1500000000.0,665000000.0,500000000.0,1000000000.0,1500000000.0
AccruedIncomeTaxesCurrent / USD,,,,86000000.0,86000000.0,86000000.0,,232000000.0,,,,,,,335000000.0,,,,711000000.0,,,,542000000.0,,542000000.0,,,443000000.0,,,,272000000.0,,,,329000000.0,,,,1400000000.0,,,,366000000.0,,,,575000000.0,,,,756000000.0,,,,1076000000.0,2251000000.0,2251000000.0,2251000000.0,2251000000.0,1107000000.0,1107000000.0,1107000000.0,1107000000.0,1756000000.0,1756000000.0,1756000000.0
AccruedIncomeTaxesNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,262000000.0,,,,114000000.0,,,,125000000.0,4069000000.0,4069000000.0,4069000000.0,4069000000.0,4897000000.0,4897000000.0,4897000000.0,4897000000.0,4919000000.0,4919000000.0,4919000000.0,4919000000.0,4578000000.0,4578000000.0,4578000000.0,4578000000.0,4305000000.0,4305000000.0,4305000000.0,4305000000.0,3796000000.0,,,3800000000.0,,,,2600000000.0,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,30544000000.0,30544000000.0,,30597000000.0,30597000000.0,30597000000.0,30597000000.0,32582000000.0,32582000000.0,32582000000.0,32582000000.0,34446000000.0,34446000000.0,34446000000.0,34446000000.0,38063000000.0,38063000000.0,38063000000.0,38063000000.0,41988000000.0,41988000000.0,41988000000.0,41988000000.0,46471000000.0,41988000000.0,46471000000.0,46471000000.0,46471000000.0,51538000000.0,51538000000.0,51538000000.0,51538000000.0,53934000000.0,53934000000.0,53934000000.0,53934000000.0,59286000000.0,59286000000.0,59286000000.0,59286000000.0,65342000000.0,65342000000.0,65342000000.0,65342000000.0,73321000000.0,73321000000.0,73321000000.0,73321000000.0,77645000000.0,77645000000.0,77645000000.0,77645000000.0,85294000000.0,85294000000.0,85294000000.0,85294000000.0,93386000000.0,93386000000.0,93386000000.0,,98010000000.0,98010000000.0,98010000000.0,,102193000000.0,102193000000.0,102193000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-393000000.0,-393000000.0,-393000000.0,393000000.0,393000000.0,393000000.0,393000000.0,333000000.0,333000000.0,333000000.0,333000000.0,-781000000.0,-781000000.0,-781000000.0,-781000000.0,-399000000.0,-399000000.0,-399000000.0,-781000000.0,1243000000.0,1243000000.0,1243000000.0,-399000000.0,666000000.0,-399000000.0,666000000.0,666000000.0,1243000000.0,60000000.0,60000000.0,60000000.0,60000000.0,106000000.0,106000000.0,106000000.0,106000000.0,862000000.0,862000000.0,862000000.0,862000000.0,-974000000.0,-974000000.0,-974000000.0,-974000000.0,-1280000000.0,-1280000000.0,-1280000000.0,-1280000000.0,-751000000.0,-751000000.0,-751000000.0,-751000000.0,-880000000.0,-880000000.0,-880000000.0,-880000000.0,-562000000.0,-562000000.0,-562000000.0,-562000000.0,-215000000.0,-215000000.0,-215000000.0,-215000000.0,-711000000.0,-711000000.0,-711000000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,,,,,,,,,,,,,,,,,,,,,345000000.0,,345000000.0,,,293000000.0,,,416000000.0,332000000.0,,,,442000000.0,,,,464000000.0,65000000.0,461000000.0,489000000.0,456000000.0,72000000.0,421000000.0,449000000.0,526000000.0,96000000.0,435000000.0,460000000.0,488000000.0,29000000.0,340000000.0,377000000.0,494000000.0,55000000.0,301000000.0,407000000.0,420000000.0,69000000.0,235000000.0,391000000.0,486000000.0,144000000.0,347000000.0,475000000.0
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationEmployeeStockPurchaseProgramRequisiteServicePeriodRecognition / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1091000000.0,,,,1322000000.0,,,,1171000000.0,,,,424000000.0,,,,892000000.0,,,,1018000000.0,589000000.0,601000000.0,1000000000.0,1022000000.0,659000000.0,665000000.0,1037000000.0,1009000000.0,626000000.0,631000000.0,986000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,952000000.0,,,,851000000.0,,,,889000000.0,,,,917000000.0,,,,1053000000.0,,,,1108000000.0,,1108000000.0,,,1117000000.0,,,,1140000000.0,,,,1314000000.0,,,,1438000000.0,453000000.0,825000000.0,1202000000.0,1296000000.0,389000000.0,860000000.0,1287000000.0,1548000000.0,449000000.0,941000000.0,1393000000.0,1705000000.0,425000000.0,1044000000.0,1587000000.0,1854000000.0,707000000.0,1599000000.0,2392000000.0,2036000000.0,739000000.0,1661000000.0,2433000000.0,3128000000.0,1179000000.0,1959000000.0,2759000000.0
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities / USD,1999000000.0,3272000000.0,5649000000.0,-251000000.0,3531000000.0,5678000000.0,5634000000.0,1637000000.0,2236000000.0,2858000000.0,6801000000.0,853000000.0,1870000000.0,4751000000.0,5228000000.0,234000000.0,2146000000.0,4321000000.0,8021000000.0,2240000000.0,4962000000.0,7743000000.0,7879000000.0,1571000000.0,7879000000.0,4228000000.0,6604000000.0,11156000000.0,2423000000.0,3157000000.0,5783000000.0,8714000000.0,2009000000.0,4524000000.0,6904000000.0,7598000000.0,934000000.0,2833000000.0,4581000000.0,11492000000.0,1830000000.0,4237000000.0,6674000000.0,12509000000.0,985000000.0,4393000000.0,9114000000.0,8379000000.0,497000000.0,6549000000.0,10452000000.0,12097000000.0,1987000000.0,5727000000.0,8808000000.0,14965000000.0,-2222000000.0,-959000000.0,-948000000.0,9588000000.0,983000000.0,2318000000.0,7832000000.0,7416000000.0,-786000000.0,3160000000.0,24203000000.0
AdvertisingExpense / USD,,,,,,,1900000000.0,,,,1400000000.0,,,,1800000000.0,,,,2100000000.0,,,,2000000000.0,,2000000000.0,,,1900000000.0,,,,1800000000.0,,,,1800000000.0,,,,1800000000.0,,,,1400000000.0,,,,1200000000.0,,,,832000000.0,,,,763000000.0,,,,1100000000.0,,,,1200000000.0,,,
AmortizationOfIntangibleAssets / USD,126000000.0,,,62000000.0,137000000.0,219000000.0,256000000.0,61000000.0,124000000.0,180000000.0,308000000.0,155000000.0,411000000.0,667000000.0,240000000.0,266000000.0,533000000.0,801000000.0,923000000.0,382000000.0,661000000.0,953000000.0,1165000000.0,287000000.0,1165000000.0,577000000.0,884000000.0,1242000000.0,251000000.0,465000000.0,680000000.0,1169000000.0,396000000.0,791000000.0,1176000000.0,890000000.0,321000000.0,634000000.0,999000000.0,1524000000.0,390000000.0,782000000.0,1172000000.0,1377000000.0,396000000.0,800000000.0,1211000000.0,1565000000.0,427000000.0,865000000.0,1311000000.0,1622000000.0,448000000.0,897000000.0,1361000000.0,1757000000.0,501000000.0,968000000.0,1439000000.0,1839000000.0,465000000.0,909000000.0,1336000000.0,1907000000.0,351000000.0,717000000.0,1081000000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,,,,,,,,,,,,,,,,,18000000.0,90000000.0,62000000.0,56000000.0,56000000.0,29000000.0,33000000.0,29000000.0,21000000.0,14000000.0,55000000.0,3000000.0,2000000.0,2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,70000000.0,,,,70000000.0,,,0.0,70000000.0,,158000000.0,
