fact_unit,2009-08-14,2009-11-05,2010-03-01,2010-05-07,2010-08-02,2010-11-02,2011-02-28,2011-05-04,2011-08-03,2011-11-03,2012-02-27,2012-05-02,2012-07-30,2012-11-06,2013-02-26,2013-05-03,2013-07-31,2013-10-31,2014-02-27,2014-05-01,2014-07-31,2014-10-29,2015-02-26,2015-05-04,2015-07-30,2015-11-04,2016-02-25,2016-05-04,2016-07-28,2016-10-24,2017-02-24,2017-05-09,2017-07-27,2017-11-09,2018-02-27,2018-05-01,2018-08-02,2018-10-31,2019-02-25,2019-05-02,2019-08-02,2019-11-01,2020-02-24,2020-05-01,2020-07-31,2020-10-30,2021-02-22,2021-04-29,2021-07-30,2021-10-29,2022-02-22,2022-05-02,2022-07-27,2022-10-26,2023-02-15,2023-04-26,2023-07-26,2023-10-26,2024-02-14,2024-05-02,2024-07-24,2024-10-23,2025-02-14,2025-04-23,2025-07-24,2025-10-23
AccountsPayableAndAccruedLiabilitiesCurrent / USD,240400000.0,240400000.0,240400000.0,317200000.0,317200000.0,317200000.0,317200000.0,414400000.0,414400000.0,414400000.0,414400000.0,452300000.0,452300000.0,452300000.0,452300000.0,555300000.0,555300000.0,555300000.0,555300000.0,538900000.0,538900000.0,538900000.0,538900000.0,557600000.0,557600000.0,557600000.0,557600000.0,566600000.0,566600000.0,566600000.0,566600000.0,1444300000.0,1444300000.0,1444300000.0,1444300000.0,750300000.0,750300000.0,750300000.0,750300000.0,695200000.0,695200000.0,695200000.0,696000000.0,773000000.0,773000000.0,773000000.0,773000000.0,1039000000.0,1039000000.0,1039000000.0,1039000000.0,1142000000.0,1142000000.0,1142000000.0,1142000000.0,1011000000.0,1011000000.0,1011000000.0,1011000000.0,1076000000.0,1076000000.0,1076000000.0,1076000000.0,1344000000.0,1344000000.0,1344000000.0
AccountsPayableCurrent / USD,,,,,,,7100000.0,,14300000.0,14300000.0,14300000.0,16400000.0,16400000.0,16400000.0,16400000.0,14300000.0,14300000.0,14300000.0,14300000.0,16400000.0,16400000.0,16400000.0,16400000.0,19400000.0,19400000.0,19400000.0,19400000.0,22200000.0,22200000.0,22200000.0,22200000.0,28400000.0,28400000.0,28400000.0,28400000.0,21800000.0,21800000.0,21800000.0,21800000.0,30100000.0,30100000.0,30100000.0,30000000.0,38000000.0,38000000.0,38000000.0,38000000.0,39000000.0,39000000.0,39000000.0,39000000.0,47000000.0,47000000.0,47000000.0,47000000.0,52000000.0,52000000.0,52000000.0,52000000.0,23000000.0,23000000.0,23000000.0,23000000.0,53000000.0,53000000.0,53000000.0
AccountsReceivableNetCurrent / USD,421800000.0,421800000.0,421800000.0,444900000.0,444900000.0,444900000.0,444900000.0,497500000.0,497500000.0,497500000.0,497500000.0,489800000.0,489800000.0,489800000.0,489800000.0,621800000.0,621800000.0,621800000.0,621800000.0,694200000.0,694200000.0,694200000.0,694200000.0,792400000.0,792400000.0,792400000.0,792400000.0,802000000.0,802000000.0,802000000.0,802000000.0,887400000.0,887400000.0,887400000.0,887400000.0,1147200000.0,1147200000.0,1147200000.0,1147200000.0,1287100000.0,1287100000.0,1287100000.0,1287000000.0,1419000000.0,1419000000.0,1419000000.0,1419000000.0,1430000000.0,1430000000.0,1430000000.0,1430000000.0,1720000000.0,1720000000.0,1720000000.0,1720000000.0,1652000000.0,1652000000.0,1652000000.0,1652000000.0,1659000000.0,1659000000.0,1659000000.0,1659000000.0,1801000000.0,1801000000.0,1801000000.0
AccruedBonusesCurrent / USD,,,,,,,,,,,,,,,,162600000.0,162600000.0,162600000.0,,135900000.0,135900000.0,135900000.0,,155200000.0,155200000.0,155200000.0,155200000.0,137200000.0,137200000.0,137200000.0,137200000.0,151100000.0,151100000.0,151100000.0,151100000.0,246700000.0,246700000.0,246700000.0,246700000.0,154500000.0,154500000.0,154500000.0,155000000.0,208000000.0,208000000.0,208000000.0,208000000.0,226000000.0,226000000.0,226000000.0,226000000.0,324000000.0,324000000.0,324000000.0,390000000.0,276000000.0,276000000.0,276000000.0,276000000.0,345000000.0,345000000.0,345000000.0,345000000.0,452000000.0,452000000.0,452000000.0
AccruedIncomeTaxesCurrent / USD,,,,,,,20300000.0,,26900000.0,26900000.0,26900000.0,23400000.0,23400000.0,23400000.0,23400000.0,56100000.0,56100000.0,56100000.0,56100000.0,47500000.0,47500000.0,47500000.0,47500000.0,16100000.0,16100000.0,16100000.0,16100000.0,11500000.0,11500000.0,11500000.0,11500000.0,16800000.0,16800000.0,16800000.0,16800000.0,79200000.0,79200000.0,79200000.0,79200000.0,71400000.0,71400000.0,71400000.0,71000000.0,73000000.0,73000000.0,73000000.0,73000000.0,128000000.0,128000000.0,128000000.0,128000000.0,115000000.0,115000000.0,115000000.0,115000000.0,86000000.0,86000000.0,86000000.0,86000000.0,108000000.0,108000000.0,108000000.0,108000000.0,144000000.0,144000000.0,144000000.0
AccruedProfessionalFeesCurrent / USD,,,,,,,35500000.0,,50600000.0,50600000.0,50600000.0,50500000.0,50500000.0,50500000.0,29700000.0,30200000.0,30200000.0,30200000.0,30200000.0,32900000.0,32900000.0,32900000.0,32900000.0,47000000.0,47000000.0,47000000.0,47000000.0,54500000.0,54500000.0,54500000.0,54500000.0,40400000.0,40400000.0,40400000.0,40400000.0,47100000.0,47100000.0,47100000.0,47100000.0,47700000.0,47700000.0,47700000.0,48000000.0,43000000.0,43000000.0,43000000.0,43000000.0,53000000.0,53000000.0,53000000.0,53000000.0,75000000.0,75000000.0,75000000.0,75000000.0,49000000.0,49000000.0,49000000.0,49000000.0,46000000.0,46000000.0,46000000.0,46000000.0,38000000.0,38000000.0,38000000.0
AccruedRoyaltiesCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800000.0,1800000.0,26400000.0,26400000.0,26400000.0,26400000.0,25100000.0,25100000.0,25100000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,19000000.0,19000000.0,19000000.0,19000000.0,36000000.0,36000000.0,36000000.0,36000000.0,23000000.0,23000000.0,23000000.0,23000000.0,24000000.0,24000000.0,24000000.0,24000000.0,25000000.0,25000000.0,25000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,130400000.0,130400000.0,,164800000.0,164800000.0,164800000.0,164800000.0,200800000.0,200800000.0,200800000.0,200800000.0,258200000.0,258200000.0,258200000.0,258200000.0,314300000.0,314300000.0,314300000.0,314300000.0,375700000.0,375700000.0,375700000.0,375700000.0,451500000.0,451500000.0,451500000.0,451500000.0,518900000.0,518900000.0,518900000.0,518900000.0,595500000.0,595500000.0,595500000.0,595500000.0,706000000.0,706000000.0,706000000.0,706000000.0,790200000.0,790200000.0,790200000.0,790000000.0,839000000.0,839000000.0,839000000.0,839000000.0,928000000.0,928000000.0,928000000.0,928000000.0,1010000000.0,1010000000.0,1010000000.0,1010000000.0,1123000000.0,1123000000.0,1123000000.0,1123000000.0,1272000000.0,1272000000.0,1272000000.0,1272000000.0,1453000000.0,1453000000.0,1453000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-52100000.0,-52100000.0,-52100000.0,-41200000.0,-41200000.0,-41200000.0,-41200000.0,-33400000.0,-33400000.0,-33400000.0,-33400000.0,-107500000.0,-107500000.0,-107500000.0,-107500000.0,-82100000.0,-82100000.0,-82100000.0,-82100000.0,-54600000.0,-82100000.0,-82100000.0,-82100000.0,-54600000.0,-54600000.0,-54600000.0,-82100000.0,-235200000.0,-235200000.0,-235200000.0,-54600000.0,-339500000.0,-339500000.0,-339500000.0,-235200000.0,-364900000.0,-364900000.0,-364900000.0,-339500000.0,-172200000.0,-172200000.0,-426300000.0,-426000000.0,-439000000.0,-439000000.0,-439000000.0,-439000000.0,-432000000.0,-432000000.0,-432000000.0,-432000000.0,-410000000.0,-410000000.0,-410000000.0,-410000000.0,-643000000.0,-643000000.0,-643000000.0,-643000000.0,-567000000.0,-567000000.0,-567000000.0,-567000000.0,-638000000.0,-638000000.0,-638000000.0
AdditionalPaidInCapitalCommonStock / USD,,,,,,391100000.0,391100000.0,391500000.0,391500000.0,391500000.0,391500000.0,394500000.0,394500000.0,394500000.0,394500000.0,365100000.0,365100000.0,365100000.0,365100000.0,405800000.0,405800000.0,405800000.0,405800000.0,383900000.0,383900000.0,383900000.0,383900000.0,451300000.0,451300000.0,451300000.0,451300000.0,477200000.0,477200000.0,477200000.0,477200000.0,528600000.0,528600000.0,528600000.0,528600000.0,600900000.0,600900000.0,600900000.0,601000000.0,642000000.0,642000000.0,642000000.0,642000000.0,735000000.0,735000000.0,735000000.0,735000000.0,885000000.0,885000000.0,885000000.0,885000000.0,1054000000.0,1054000000.0,1054000000.0,1054000000.0,1228000000.0,1228000000.0,1228000000.0,1228000000.0,1451000000.0,1451000000.0,1451000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,94500000.0,,,,63500000.0,,,,57900000.0,,,,56900000.0,,,,56900000.0,,,,64600000.0,,,,67200000.0,,,,80600000.0,,,,87500000.0,,,,98400000.0,35200000.0,69500000.0,100200000.0,123000000.0,36000000.0,70000000.0,103000000.0,131000000.0,37000000.0,72000000.0,110000000.0,136000000.0,45000000.0,86000000.0,127000000.0,154000000.0,46000000.0,84000000.0,130000000.0,175000000.0,47000000.0,97000000.0,143000000.0,169000000.0,54000000.0,111000000.0,169000000.0
AllocatedShareBasedCompensationExpense / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97000000.0,143000000.0,169000000.0,53000000.0,109000000.0,166000000.0
AllowanceForDoubtfulAccountsReceivableCurrent / USD,23900000.0,23900000.0,23900000.0,24600000.0,24600000.0,24600000.0,24600000.0,33000000.0,33000000.0,33000000.0,33000000.0,28000000.0,28000000.0,28000000.0,28000000.0,29100000.0,29100000.0,29100000.0,-33000000.0,28900000.0,28900000.0,28900000.0,-28000000.0,29400000.0,29400000.0,29400000.0,-29100000.0,27500000.0,27500000.0,27500000.0,28900000.0,25700000.0,25700000.0,25700000.0,29400000.0,36600000.0,36600000.0,36600000.0,27500000.0,43500000.0,43500000.0,43500000.0,26000000.0,20000000.0,20000000.0,20000000.0,14000000.0,34000000.0,34000000.0,34000000.0,20000000.0,32000000.0,32000000.0,32000000.0,20000000.0,40000000.0,40000000.0,40000000.0,34000000.0,35000000.0,35000000.0,35000000.0,32000000.0,32000000.0,32000000.0,32000000.0
AllowanceForDoubtfulAccountsReceivableWriteOffs / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,8200000.0,,,,8400000.0,,,,10900000.0,,,,8000000.0,,,,9000000.0,,,,9000000.0,,,,10000000.0,,,,14000000.0,,,,15000000.0,,,,17000000.0,,,
AmortizationOfIntangibleAssets / USD,,,,,8200000.0,12400000.0,28200000.0,4000000.0,7900000.0,12100000.0,16400000.0,4800000.0,9600000.0,14600000.0,16400000.0,7300000.0,14400000.0,22500000.0,20500000.0,7100000.0,14000000.0,21000000.0,30100000.0,7300000.0,13600000.0,20500000.0,28000000.0,8500000.0,16500000.0,24100000.0,28400000.0,7900000.0,16600000.0,25500000.0,31900000.0,8500000.0,17100000.0,35900000.0,34200000.0,25700000.0,50800000.0,75400000.0,61000000.0,26000000.0,53000000.0,77000000.0,102000000.0,28000000.0,59000000.0,90000000.0,103000000.0,35000000.0,71000000.0,108000000.0,124000000.0,51000000.0,102000000.0,150000000.0,158000000.0,51000000.0,101000000.0,150000000.0,200000000.0,49000000.0,97000000.0,148000000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,,,,16700000.0,16000000.0,11300000.0,16400000.0,16500000.0,16300000.0,15600000.0,13700000.0,11600000.0,10800000.0,15500000.0,7000000.0,7100000.0,6600000.0,10600000.0,4900000.0,4700000.0,4300000.0,7500000.0,1000000.0,700000.0,700000.0,4000000.0,1000000.0,800000.0,800000.0,700000.0,1500000.0,1500000.0,900000.0,700000.0,1000000.0,1000000.0,600000.0,600000.0,700000.0,700000.0,400000.0,600000.0,400000.0,300000.0,300000.0,400000.0,300000.0,300000.0,300000.0,200000.0,300000.0,300000.0,200000.0,200000.0,300000.0,400000.0,400000.0,200000.0,700000.0,500000.0,500000.0,500000.0,400000.0,400000.0,400000.0
