taxonomy,fact_name,unit,value,start,end,fy,fp,form,filed,frame,decimals
us-gaap,AccountsAndOtherReceivablesNetCurrent,USD,6089000.0,,2015-12-31,2016,FY,40-F,2017-02-15,CY2015Q4I,
us-gaap,AccountsAndOtherReceivablesNetCurrent,USD,9599000.0,,2016-12-31,2016,FY,40-F,2017-02-15,,
us-gaap,AccountsAndOtherReceivablesNetCurrent,USD,9599000.0,,2016-12-31,2017,FY,40-F,2018-02-15,CY2016Q4I,
us-gaap,AccountsAndOtherReceivablesNetCurrent,USD,21939000.0,,2017-12-31,2017,FY,40-F,2018-02-15,,
us-gaap,AccountsAndOtherReceivablesNetCurrent,USD,21939000.0,,2017-12-31,2018,FY,40-F,2019-02-12,CY2017Q4I,
us-gaap,AccountsAndOtherReceivablesNetCurrent,USD,41347000.0,,2018-12-31,2018,FY,40-F,2019-02-12,,
us-gaap,AccountsAndOtherReceivablesNetCurrent,USD,41347000.0,,2018-12-31,2019,FY,40-F,2020-02-12,CY2018Q4I,
us-gaap,AccountsAndOtherReceivablesNetCurrent,USD,90529000.0,,2019-12-31,2019,FY,40-F,2020-02-12,,
us-gaap,AccountsAndOtherReceivablesNetCurrent,USD,90529000.0,,2019-12-31,2020,FY,40-F,2021-02-17,CY2019Q4I,
us-gaap,AccountsAndOtherReceivablesNetCurrent,USD,120752000.0,,2020-12-31,2020,FY,40-F,2021-02-17,,
us-gaap,AccountsAndOtherReceivablesNetCurrent,USD,120752000.0,,2020-12-31,2021,FY,40-F,2022-02-16,CY2020Q4I,
us-gaap,AccountsAndOtherReceivablesNetCurrent,USD,192209000.0,,2021-12-31,2021,FY,40-F,2022-02-16,,
us-gaap,AccountsAndOtherReceivablesNetCurrent,USD,192209000.0,,2021-12-31,2022,FY,40-F,2023-02-16,CY2021Q4I,
us-gaap,AccountsAndOtherReceivablesNetCurrent,USD,273055000.0,,2022-12-31,2022,FY,40-F,2023-02-16,,
us-gaap,AccountsAndOtherReceivablesNetCurrent,USD,273000000.0,,2022-12-31,2022,FY,40-F,2024-02-13,CY2022Q4I,
