fact_unit,2010-08-09,2010-11-05,2011-03-01,2011-05-06,2011-08-03,2011-11-01,2012-02-29,2012-04-26,2012-07-26,2012-10-30,2013-03-01,2013-04-25,2013-08-08,2013-11-07,2014-02-25,2014-05-01,2014-07-31,2014-10-28,2015-02-19,2015-04-28,2015-07-30,2015-10-27,2016-02-17,2016-04-26,2016-07-27,2016-10-24,2017-02-14,2017-04-24,2017-07-20,2017-10-23,2018-01-22,2018-02-08,2018-05-01,2018-06-18,2018-08-01,2018-10-30,2019-02-07,2019-04-25,2019-07-26,2019-10-28,2020-02-06,2020-05-06,2020-08-06,2020-08-10,2020-11-05,2021-02-23,2021-05-04,2021-08-03,2021-11-02,2022-02-11,2022-05-06,2022-07-29,2022-10-27,2023-02-14,2023-04-27,2023-07-27,2023-10-25,2024-02-02,2024-04-26,2024-07-31,2024-10-23,2025-01-31,2025-04-24,2025-07-23,2025-10-23
AccountsPayableAndAccruedLiabilitiesCurrent / USD,558366000.0,558366000.0,558366000.0,521788000.0,,,,,,,,,3475000000.0,3475000000.0,3475000000.0,4567000000.0,4567000000.0,4567000000.0,4567000000.0,7364000000.0,7364000000.0,7364000000.0,7364000000.0,8084000000.0,8084000000.0,8084000000.0,8084000000.0,7152000000.0,7152000000.0,7152000000.0,8084000000.0,7152000000.0,8528000000.0,7152000000.0,8528000000.0,8528000000.0,8528000000.0,7741000000.0,7741000000.0,7741000000.0,7741000000.0,6746000000.0,6746000000.0,,6746000000.0,6746000000.0,10196000000.0,10196000000.0,10196000000.0,10196000000.0,11405000000.0,11405000000.0,11405000000.0,11405000000.0,12275000000.0,12275000000.0,12275000000.0,12275000000.0,10373000000.0,10373000000.0,10373000000.0,10373000000.0,8463000000.0,8463000000.0,8463000000.0
AccountsPayableTradeCurrent / USD,,,,,,,174770000.0,,,,211890000.0,,,,2161000000.0,,,3026000000.0,3026000000.0,,,,5322000000.0,,,,6137000000.0,,,,6137000000.0,5163000000.0,,5163000000.0,,,6182000000.0,,,,5487000000.0,,4322000000.0,,4322000000.0,4322000000.0,5564000000.0,5564000000.0,5564000000.0,5564000000.0,6499000000.0,6499000000.0,6499000000.0,6499000000.0,7213000000.0,7213000000.0,7213000000.0,7213000000.0,5573000000.0,5573000000.0,5573000000.0,5573000000.0,4242000000.0,4242000000.0,4242000000.0
AccountsReceivableNetCurrent / USD,51536000.0,51536000.0,51536000.0,58056000.0,,,,,,,,,2678000000.0,2678000000.0,2678000000.0,3619000000.0,3619000000.0,3619000000.0,2148000000.0,1865000000.0,1865000000.0,1865000000.0,1865000000.0,1788000000.0,1788000000.0,1788000000.0,1788000000.0,1896000000.0,1896000000.0,1896000000.0,1788000000.0,1896000000.0,1915000000.0,1896000000.0,1915000000.0,1915000000.0,1915000000.0,1769000000.0,1769000000.0,1769000000.0,1769000000.0,1888000000.0,1888000000.0,,1888000000.0,1888000000.0,4254000000.0,4254000000.0,4254000000.0,4254000000.0,4194000000.0,4194000000.0,4194000000.0,4194000000.0,4445000000.0,4445000000.0,4445000000.0,4445000000.0,4692000000.0,4692000000.0,4692000000.0,4692000000.0,4276000000.0,4276000000.0,4276000000.0
AccrualForTaxesOtherThanIncomeTaxesCurrent / USD,,,,,,,65503000.0,,,,57795000.0,,,,464000000.0,,,534000000.0,534000000.0,,,,605000000.0,,,,521000000.0,,,,521000000.0,559000000.0,,559000000.0,,,614000000.0,,,,709000000.0,,802000000.0,,802000000.0,802000000.0,1163000000.0,1163000000.0,1163000000.0,1163000000.0,1343000000.0,1343000000.0,1343000000.0,1343000000.0,1236000000.0,1236000000.0,1236000000.0,1236000000.0,1142000000.0,1142000000.0,1142000000.0,1704000000.0,1524000000.0,1524000000.0,1524000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,,,1409611000.0,,,,1930876000.0,,17744000000.0,17744000000.0,17744000000.0,19649000000.0,19649000000.0,19649000000.0,19649000000.0,,,,21791000000.0,,,,23192000000.0,,,,23192000000.0,24779000000.0,,24779000000.0,,,27301000000.0,,,,31297000000.0,,33118000000.0,,33118000000.0,33118000000.0,,,,42395000000.0,,,,49818000000.0,,,,53102000000.0,,,,58481000000.0,,,56367000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-11340000.0,-11340000.0,-11340000.0,-1415000.0,-1415000.0,-1415000.0,-1415000.0,-9295000.0,-9295000.0,-9295000.0,-9295000.0,-9602000.0,41000000.0,41000000.0,41000000.0,3000000.0,3000000.0,3000000.0,3000000.0,1000000.0,1000000.0,1000000.0,1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,1000000.0,1000000.0,1000000.0,-1000000.0,1000000.0,8000000.0,1000000.0,8000000.0,8000000.0,8000000.0,-332000000.0,-332000000.0,-332000000.0,-332000000.0,-868000000.0,-868000000.0,,-868000000.0,-868000000.0,-1581000000.0,-1581000000.0,-1581000000.0,-1581000000.0,-1365000000.0,-1365000000.0,-1365000000.0,-1365000000.0,-1046000000.0,-1046000000.0,-1046000000.0,-1046000000.0,-964000000.0,-964000000.0,-964000000.0,-964000000.0,-857000000.0,-857000000.0,-857000000.0
AdditionalPaidInCapitalCommonStock / USD,,,,,,,,,,,,,29197000000.0,29197000000.0,29197000000.0,37330000000.0,37330000000.0,37330000000.0,37330000000.0,38503000000.0,38503000000.0,38503000000.0,38503000000.0,38666000000.0,38666000000.0,38666000000.0,38666000000.0,38846000000.0,38846000000.0,38846000000.0,38666000000.0,38846000000.0,38629000000.0,38846000000.0,38629000000.0,38629000000.0,38629000000.0,38010000000.0,38010000000.0,38010000000.0,38010000000.0,38498000000.0,38498000000.0,,38498000000.0,38498000000.0,72772000000.0,72772000000.0,72772000000.0,72772000000.0,73292000000.0,73292000000.0,73292000000.0,73292000000.0,73941000000.0,73941000000.0,73941000000.0,73941000000.0,67705000000.0,67705000000.0,67705000000.0,67705000000.0,68798000000.0,68798000000.0,68798000000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,,,,,,,,,,,,,,,,,73000000.0,,,,73000000.0,,,,73000000.0,,,,73000000.0,156000000.0,,156000000.0,,,122000000.0,74000000.0,84000000.0,89000000.0,166000000.0,100000000.0,104000000.0,,108000000.0,146000000.0,141000000.0,279000000.0,351000000.0,156000000.0,218000000.0,294000000.0,308000000.0,439000000.0,172000000.0,215000000.0,225000000.0,316000000.0,187000000.0,257000000.0,267000000.0,243000000.0,192000000.0,208000000.0,244000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,41454000.0,,,,47905000.0,,,,46537000.0,,6000000.0,54000000.0,100000000.0,,,,100000000.0,,,,100000000.0,,,,196000000.0,,,,196000000.0,227000000.0,,227000000.0,,,264000000.0,108000000.0,234000000.0,361000000.0,344000000.0,121000000.0,264000000.0,,404000000.0,473000000.0,152000000.0,424000000.0,601000000.0,517000000.0,154000000.0,304000000.0,451000000.0,750000000.0,157000000.0,325000000.0,490000000.0,606000000.0,155000000.0,340000000.0,509000000.0,656000000.0,152000000.0,306000000.0,457000000.0
AdvertisingExpense / USD,,,,,,,150800000.0,,,,187300000.0,,,,711000000.0,,,,900000000.0,,,,1000000000.0,,,,1400000000.0,,,,1400000000.0,1600000000.0,,1600000000.0,,,1700000000.0,,,,1800000000.0,,,,,1700000000.0,,,,1600000000.0,,,,1800000000.0,,,,2200000000.0,,,,2300000000.0,,,
