fact_unit,2009-08-06,2009-11-06,2010-02-26,2010-04-28,2010-08-03,2010-10-29,2011-02-24,2011-04-29,2011-07-29,2011-10-28,2012-02-24,2012-04-27,2012-07-27,2012-10-25,2013-02-28,2013-04-25,2013-07-25,2013-10-24,2014-02-21,2014-04-24,2014-07-24,2014-10-23,2015-02-13,2015-04-23,2015-07-23,2015-10-22,2016-02-19,2016-04-28,2016-07-28,2016-10-27,2017-02-17,2017-04-27,2017-07-27,2017-10-26,2018-02-16,2018-04-26,2018-07-26,2018-10-25,2019-02-15,2019-04-25,2019-07-25,2019-10-24,2020-02-14,2020-04-23,2020-07-23,2020-10-22,2021-02-19,2021-04-22,2021-07-22,2021-10-28,2022-02-18,2022-04-28,2022-07-28,2022-10-27,2023-02-17,2023-04-27,2023-07-27,2023-10-26,2024-02-15,2024-04-25,2024-07-25,2024-10-24,2025-02-13,2025-04-24,2025-07-24,2025-10-23
AccountsPayableAndAccruedLiabilitiesCurrent / USD,263535000.0,263535000.0,263535000.0,243967000.0,243967000.0,243967000.0,243967000.0,195235000.0,195235000.0,195235000.0,195235000.0,156385000.0,156385000.0,156385000.0,156385000.0,130391000.0,130391000.0,130391000.0,130391000.0,149276000.0,149276000.0,149276000.0,149276000.0,190278000.0,190278000.0,190278000.0,190278000.0,188171000.0,188171000.0,188171000.0,188171000.0,203920000.0,203920000.0,203920000.0,203920000.0,219603000.0,219603000.0,219603000.0,219603000.0,215208000.0,215208000.0,215208000.0,215208000.0,209988000.0,209988000.0,209988000.0,209988000.0,208642000.0,208642000.0,208642000.0,208642000.0,226600000.0,226600000.0,226600000.0,226600000.0,226500000.0,226500000.0,226500000.0,226500000.0,257400000.0,257400000.0,257400000.0,257400000.0,257800000.0,257800000.0,257800000.0
AccountsPayableTradeCurrent / USD,,,,,,,,,16727000.0,16727000.0,,19283000.0,19283000.0,19283000.0,19283000.0,23519000.0,23519000.0,23519000.0,23519000.0,24843000.0,24843000.0,24843000.0,24843000.0,29335000.0,29335000.0,29335000.0,29335000.0,23298000.0,23298000.0,23298000.0,23298000.0,19455000.0,19455000.0,19455000.0,19455000.0,20923000.0,10519000.0,10519000.0,10519000.0,10445000.0,10445000.0,10445000.0,17263000.0,17177000.0,17177000.0,17177000.0,15907000.0,12340000.0,12340000.0,12340000.0,12340000.0,9000000.0,9000000.0,9000000.0,9000000.0,9800000.0,9800000.0,9800000.0,9800000.0,12500000.0,12500000.0,12500000.0,12500000.0,10600000.0,10600000.0,10600000.0
AccountsReceivableNetCurrent / USD,83749000.0,83749000.0,83749000.0,63133000.0,63133000.0,63133000.0,63133000.0,14874000.0,14874000.0,14874000.0,14874000.0,14974000.0,14974000.0,14974000.0,14974000.0,11477000.0,11477000.0,11477000.0,11477000.0,13631000.0,13631000.0,13631000.0,13631000.0,13448000.0,13448000.0,13448000.0,13448000.0,12638000.0,12638000.0,12638000.0,12638000.0,13051000.0,13051000.0,13051000.0,13051000.0,5111000.0,5111000.0,5111000.0,5111000.0,6029000.0,6029000.0,6029000.0,6029000.0,1524000.0,1524000.0,1524000.0,1524000.0,4642000.0,4642000.0,4642000.0,4642000.0,5300000.0,5300000.0,5300000.0,5300000.0,,6200000.0,6200000.0,6200000.0,6300000.0,6300000.0,6300000.0,6300000.0,,5600000.0,5600000.0
AccruedEmployeeBenefitsCurrent / USD,,,,,,,,,52628000.0,52628000.0,52628000.0,40251000.0,40251000.0,40251000.0,40251000.0,38778000.0,38778000.0,38778000.0,38778000.0,49974000.0,49974000.0,49974000.0,49974000.0,49470000.0,49470000.0,49470000.0,49470000.0,51851000.0,51851000.0,51851000.0,51851000.0,61426000.0,61426000.0,61426000.0,61426000.0,51481000.0,51481000.0,51481000.0,51481000.0,54746000.0,54746000.0,54746000.0,54746000.0,49869000.0,49869000.0,49869000.0,49869000.0,54596000.0,54596000.0,54596000.0,54596000.0,58500000.0,58500000.0,58500000.0,58500000.0,37400000.0,59000000.0,59000000.0,59000000.0,61200000.0,61200000.0,61200000.0,61200000.0,66900000.0,66900000.0,66900000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,,,,,,,232291000.0,,,,267096000.0,,,,269141000.0,,,,316098000.0,,,,375077000.0,,,,425753000.0,,,,464784000.0,,,,488650000.0,,,,497263000.0,,,,516654000.0,,,,466054000.0,,,,449700000.0,,,474800000.0,474800000.0,,,,503700000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,17006000.0,17111000.0,17006000.0,7659000.0,7659000.0,7659000.0,7659000.0,-1334000.0,-1334000.0,-1334000.0,7659000.0,-3084000.0,-3084000.0,-3084000.0,-1334000.0,-388000.0,-388000.0,-388000.0,-3084000.0,-3085000.0,-3085000.0,-3085000.0,-388000.0,-2998000.0,-2998000.0,-2998000.0,-3085000.0,-3993000.0,-3993000.0,-3993000.0,-2998000.0,-3453000.0,-3453000.0,-3453000.0,-3993000.0,-2941000.0,-2941000.0,-2941000.0,-3453000.0,-2811000.0,-2811000.0,-2811000.0,-2941000.0,-2621000.0,-2621000.0,-2621000.0,-2811000.0,-2756000.0,-2756000.0,-2756000.0,-2621000.0,-2800000.0,-2800000.0,-2800000.0,-2800000.0,-2700000.0,-2700000.0,-2700000.0,-2700000.0,-2600000.0,-2600000.0,-2600000.0,-2600000.0,-2500000.0,-2500000.0,-2500000.0
Assets / USD,2366872000.0,2366872000.0,2366872000.0,2470144000.0,2470144000.0,2470144000.0,2470144000.0,2444006000.0,2444006000.0,2444006000.0,2444006000.0,1856179000.0,1856179000.0,1856179000.0,1856179000.0,2062476000.0,2062476000.0,2062476000.0,2062476000.0,2660767000.0,2660767000.0,2660767000.0,2660767000.0,2154859000.0,2134464000.0,2134464000.0,1901150000.0,2357737000.0,2357737000.0,2357737000.0,2357737000.0,2334572000.0,2334572000.0,2334572000.0,2334572000.0,2941188000.0,2941188000.0,2941188000.0,2941188000.0,1914504000.0,1914504000.0,1914504000.0,1914504000.0,1854009000.0,1854009000.0,1854009000.0,1854009000.0,1766910000.0,1766910000.0,1766910000.0,1766910000.0,1983800000.0,1983800000.0,1983800000.0,1983800000.0,1733400000.0,1733400000.0,1733400000.0,1733400000.0,1749000000.0,1749000000.0,1749000000.0,1749000000.0,1406500000.0,1406500000.0,1406500000.0
AssetsCurrent / USD,1624835000.0,1624835000.0,1624835000.0,1709058000.0,1709058000.0,1709058000.0,1709058000.0,2177957000.0,2177957000.0,2177957000.0,2177957000.0,1447781000.0,1447781000.0,1447781000.0,1447781000.0,1643464000.0,1643464000.0,1643464000.0,1643464000.0,1803199000.0,1803199000.0,1803199000.0,1803199000.0,1490607000.0,1480037000.0,1480037000.0,1479790000.0,1967924000.0,1967924000.0,1967924000.0,1967924000.0,1842342000.0,1842342000.0,1842342000.0,1842342000.0,2446153000.0,2446153000.0,2446153000.0,2446153000.0,1317034000.0,1317034000.0,1317034000.0,1317034000.0,1278589000.0,1278589000.0,1278589000.0,1278589000.0,1217940000.0,1217940000.0,1217940000.0,1217940000.0,1268700000.0,1268700000.0,1268700000.0,1268700000.0,1038700000.0,1038700000.0,1038700000.0,1038700000.0,988300000.0,988300000.0,988300000.0,988300000.0,663800000.0,663800000.0,663800000.0
AssetsNoncurrent / USD,742037000.0,742037000.0,742037000.0,761086000.0,761086000.0,761086000.0,761086000.0,266049000.0,266049000.0,266049000.0,266049000.0,408398000.0,408398000.0,408398000.0,408398000.0,419012000.0,419012000.0,419012000.0,419012000.0,857568000.0,857568000.0,857568000.0,857568000.0,664252000.0,654427000.0,654427000.0,421360000.0,389813000.0,389813000.0,389813000.0,389813000.0,492230000.0,492230000.0,492230000.0,492230000.0,495035000.0,495035000.0,495035000.0,495035000.0,597470000.0,597470000.0,597470000.0,597470000.0,575420000.0,575420000.0,575420000.0,575420000.0,548970000.0,548970000.0,548970000.0,548970000.0,715100000.0,715100000.0,715100000.0,715100000.0,694700000.0,694700000.0,694700000.0,694700000.0,760700000.0,760700000.0,760700000.0,760700000.0,742700000.0,742700000.0,742700000.0
BuildingsAndImprovementsGross / USD,,,,,,,,,,,131266000.0,,,,239280000.0,,,,236171000.0,,,,240572000.0,,,,243300000.0,,,,244760000.0,,,,246237000.0,,,,246654000.0,,,,247870000.0,,,,248885000.0,,,,250431000.0,,,,254500000.0,,,257500000.0,257500000.0,,,,261300000.0,,,
