taxonomy,fact_name,unit,value,start,end,fy,fp,form,filed,frame,decimals
dei,EntityCommonStockSharesOutstanding,shares,2840613457.0,,2009-06-30,2009.0,Q2,10-Q,2009-07-30,CY2009Q2I,
dei,EntityCommonStockSharesOutstanding,shares,2840648086.0,,2009-09-30,2009.0,Q3,10-Q,2009-10-29,CY2009Q3I,
dei,EntityCommonStockSharesOutstanding,shares,2835726911.0,,2010-01-29,2009.0,FY,10-K,2010-02-26,CY2009Q4I,
dei,EntityCommonStockSharesOutstanding,shares,2826732438.0,,2010-03-31,2010.0,Q1,10-Q,2010-04-28,CY2010Q1I,
dei,EntityCommonStockSharesOutstanding,shares,2826741689.0,,2010-06-30,2010.0,Q2,10-Q,2010-07-29,CY2010Q2I,
dei,EntityCommonStockSharesOutstanding,shares,2826782631.0,,2010-09-30,2010.0,Q3,10-Q,2010-10-28,CY2010Q3I,
dei,EntityCommonStockSharesOutstanding,shares,2828072313.0,,2011-01-31,2010.0,FY,10-K,2011-02-28,CY2010Q4I,
dei,EntityCommonStockSharesOutstanding,shares,2829078226.0,,2011-03-31,2011.0,Q1,10-Q,2011-04-28,CY2011Q1I,
dei,EntityCommonStockSharesOutstanding,shares,2830580870.0,,2011-06-30,2011.0,Q2,10-Q,2011-07-28,CY2011Q2I,
dei,EntityCommonStockSharesOutstanding,shares,2831090656.0,,2011-09-30,2011.0,Q3,10-Q,2011-10-25,CY2011Q3I,
dei,EntityCommonStockSharesOutstanding,shares,2835524157.0,,2012-01-31,2011.0,FY,10-K,2012-02-24,CY2011Q4I,
dei,EntityCommonStockSharesOutstanding,shares,2841032606.0,,2012-03-30,2012.0,Q1,10-Q,2012-04-26,CY2012Q1I,
dei,EntityCommonStockSharesOutstanding,shares,2848876875.0,,2012-06-29,2012.0,Q2,10-Q,2012-07-30,CY2012Q2I,
dei,EntityCommonStockSharesOutstanding,shares,2853919743.0,,2012-09-28,2012.0,Q3,10-Q,2012-10-25,CY2012Q3I,
dei,EntityCommonStockSharesOutstanding,shares,2858275417.0,,2013-01-31,2012.0,FY,10-K,2013-02-26,CY2012Q4I,
dei,EntityCommonStockSharesOutstanding,shares,2861117414.0,,2013-03-28,2013.0,Q1,10-Q,2013-04-25,CY2013Q1I,
dei,EntityCommonStockSharesOutstanding,shares,2861646254.0,,2013-06-28,2013.0,Q2,10-Q,2013-07-25,CY2013Q2I,
dei,EntityCommonStockSharesOutstanding,shares,2861750762.0,,2013-09-30,2013.0,Q3,10-Q,2013-10-24,CY2013Q3I,
dei,EntityCommonStockSharesOutstanding,shares,4141140749.0,,2014-02-24,2013.0,FY,10-K,2014-02-27,,
dei,EntityCommonStockSharesOutstanding,shares,4141148976.0,,2014-03-31,2014.0,Q1,10-Q,2014-04-29,CY2014Q1I,
dei,EntityCommonStockSharesOutstanding,shares,4145232133.0,,2014-06-30,2014.0,Q2,10-Q,2014-07-29,CY2014Q2I,
dei,EntityCommonStockSharesOutstanding,shares,4149723706.0,,2014-09-30,2014.0,Q3,10-Q,2014-10-28,CY2014Q3I,
dei,EntityCommonStockSharesOutstanding,shares,4155408208.0,,2015-01-30,2014.0,FY,10-K,2015-02-23,CY2014Q4I,
dei,EntityCommonStockSharesOutstanding,shares,4078487075.0,,2015-03-31,2015.0,Q1,10-Q,2015-04-28,CY2015Q1I,
dei,EntityCommonStockSharesOutstanding,shares,4065691468.0,,2015-06-30,2015.0,Q2,10-Q,2015-07-28,CY2015Q2I,
dei,EntityCommonStockSharesOutstanding,shares,4068873137.0,,2015-09-30,2015.0,Q3,10-Q,2015-10-27,CY2015Q3I,
dei,EntityCommonStockSharesOutstanding,shares,4073840949.0,,2016-01-29,2015.0,FY,10-K,2016-02-23,CY2015Q4I,
dei,EntityCommonStockSharesOutstanding,shares,4076288055.0,,2016-03-31,2016.0,Q1,10-Q,2016-04-28,CY2016Q1I,
dei,EntityCommonStockSharesOutstanding,shares,4076301833.0,,2016-06-30,2016.0,Q2,10-Q,2016-07-29,CY2016Q2I,
dei,EntityCommonStockSharesOutstanding,shares,4076633952.0,,2016-09-30,2016.0,Q3,10-Q,2016-10-26,CY2016Q3I,
dei,EntityCommonStockSharesOutstanding,shares,4076731752.0,,2017-01-31,2016.0,FY,10-K,2017-02-21,CY2016Q4I,
dei,EntityCommonStockSharesOutstanding,shares,4079369367.0,,2017-03-31,2017.0,Q1,10-Q,2017-04-27,CY2017Q1I,
dei,EntityCommonStockSharesOutstanding,shares,4079407956.0,,2017-06-30,2017.0,Q2,10-Q,2017-08-03,CY2017Q2I,
dei,EntityCommonStockSharesOutstanding,shares,4079440836.0,,2017-09-30,2017.0,Q3,10-Q,2017-10-26,CY2017Q3I,
dei,EntityCommonStockSharesOutstanding,shares,4079486153.0,,2018-01-31,2017.0,FY,10-K,2018-02-23,CY2017Q4I,
dei,EntityCommonStockSharesOutstanding,shares,4131896508.0,,2018-03-31,2018.0,Q1,10-Q,2018-05-01,CY2018Q1I,
dei,EntityCommonStockSharesOutstanding,shares,4131935606.0,,2018-06-30,2018.0,Q2,10-Q,2018-07-31,CY2018Q2I,
dei,EntityCommonStockSharesOutstanding,shares,4132015101.0,,2018-09-30,2018.0,Q3,10-Q,2018-10-30,CY2018Q3I,
dei,EntityCommonStockSharesOutstanding,shares,4132045883.0,,2019-01-31,2018.0,FY,10-K,2019-02-15,CY2018Q4I,
dei,EntityCommonStockSharesOutstanding,shares,4135706646.0,,2019-03-31,2019.0,Q1,10-Q,2019-04-26,CY2019Q1I,
dei,EntityCommonStockSharesOutstanding,shares,4135764809.0,,2019-06-30,2019.0,Q2,10-Q,2019-08-08,CY2019Q2I,
dei,EntityCommonStockSharesOutstanding,shares,4135784209.0,,2019-09-30,2019.0,Q3,10-Q,2019-10-30,CY2019Q3I,
dei,EntityCommonStockSharesOutstanding,shares,4135863778.0,,2020-01-31,2019.0,FY,10-K,2020-02-21,CY2019Q4I,
dei,EntityCommonStockSharesOutstanding,shares,4137995405.0,,2020-03-31,2020.0,Q1,10-Q,2020-04-27,CY2020Q1I,
dei,EntityCommonStockSharesOutstanding,shares,4138053870.0,,2020-06-30,2020.0,Q2,10-Q,2020-07-28,CY2020Q2I,
dei,EntityCommonStockSharesOutstanding,shares,4138094367.0,,2020-09-30,2020.0,Q3,10-Q,2020-10-27,CY2020Q3I,
dei,EntityCommonStockSharesOutstanding,shares,4138148588.0,,2021-01-29,2020.0,FY,10-K,2021-02-25,CY2020Q4I,
dei,EntityCommonStockSharesOutstanding,shares,4140067633.0,,2021-03-31,2021.0,Q1,10-Q,2021-04-27,CY2021Q1I,
dei,EntityCommonStockSharesOutstanding,shares,4140116007.0,,2021-06-30,2021.0,Q2,10-Q,2021-07-28,CY2021Q2I,
dei,EntityCommonStockSharesOutstanding,shares,4140163896.0,,2021-09-30,2021.0,Q3,10-Q,2021-10-26,CY2021Q3I,
dei,EntityCommonStockSharesOutstanding,shares,4197823662.0,,2022-01-31,2021.0,FY,10-K,2022-02-11,CY2021Q4I,
dei,EntityCommonStockSharesOutstanding,shares,4199643701.0,,2022-03-31,2022.0,Q1,10-Q,2022-04-27,CY2022Q1I,
dei,EntityCommonStockSharesOutstanding,shares,4199714676.0,,2022-06-30,2022.0,Q2,10-Q,2022-07-28,CY2022Q2I,
dei,EntityCommonStockSharesOutstanding,shares,4199817447.0,,2022-09-30,2022.0,Q3,10-Q,2022-10-25,CY2022Q3I,
dei,EntityCommonStockSharesOutstanding,shares,4199882937.0,,2023-01-31,2022.0,FY,10-K,2023-02-10,CY2022Q4I,
dei,EntityCommonStockSharesOutstanding,shares,4203991483.0,,2023-03-31,2023.0,Q1,10-Q,2023-04-27,CY2023Q1I,
dei,EntityCommonStockSharesOutstanding,shares,4204039985.0,,2023-06-30,2023.0,Q2,10-Q,2023-07-28,CY2023Q2I,
dei,EntityCommonStockSharesOutstanding,shares,4204101659.0,,2023-09-30,2023.0,Q3,10-Q,2023-10-26,CY2023Q3I,
dei,EntityCommonStockSharesOutstanding,shares,4204272443.0,,2024-01-31,2023.0,FY,10-K,2024-02-09,CY2023Q4I,
dei,EntityCommonStockSharesOutstanding,shares,4209254894.0,,2024-03-31,2024.0,Q1,10-Q,2024-04-25,CY2024Q1I,
dei,EntityCommonStockSharesOutstanding,shares,4209519996.0,,2024-06-30,2024.0,Q2,10-Q,2024-07-25,CY2024Q2I,
dei,EntityCommonStockSharesOutstanding,shares,4209626270.0,,2024-09-30,2024.0,Q3,10-Q,2024-10-25,CY2024Q3I,
dei,EntityCommonStockSharesOutstanding,shares,4209703958.0,,2025-01-31,2024.0,FY,10-K,2025-02-12,CY2024Q4I,
dei,EntityCommonStockSharesOutstanding,shares,4216254914.0,,2025-03-31,2025.0,Q1,10-Q,2025-04-25,CY2025Q1I,
dei,EntityCommonStockSharesOutstanding,shares,4216324808.0,,2025-06-30,2025.0,Q2,10-Q,2025-07-25,CY2025Q2I,
dei,EntityCommonStockSharesOutstanding,shares,4216425489.0,,2025-09-30,2025.0,Q3,10-Q,2025-10-29,CY2025Q3I,
dei,EntityPublicFloat,USD,103874980000.0,,2008-06-30,2009.0,Q2,10-Q,2009-07-30,CY2008Q2I,
dei,EntityPublicFloat,USD,85127332045.0,,2009-06-30,2009.0,FY,10-K,2010-02-26,CY2009Q2I,
dei,EntityPublicFloat,USD,74979453721.0,,2010-06-30,2010.0,FY,10-K,2011-02-28,CY2010Q2I,
dei,EntityPublicFloat,USD,101499660140.0,,2011-06-30,2011.0,FY,10-K,2012-02-24,CY2011Q2I,
dei,EntityPublicFloat,USD,126583478030.0,,2012-06-29,2012.0,FY,10-K,2013-02-26,CY2012Q2I,
dei,EntityPublicFloat,USD,144030746074.0,,2013-06-28,2013.0,FY,10-K,2014-02-27,CY2013Q2I,
dei,EntityPublicFloat,USD,202799662275.0,,2014-06-30,2014.0,FY,10-K,2015-02-23,CY2014Q2I,
dei,EntityPublicFloat,USD,189475659614.0,,2015-06-30,2015.0,FY,10-K,2016-02-23,CY2015Q2I,
dei,EntityPublicFloat,USD,227584340225.0,,2016-06-30,2016.0,FY,10-K,2017-02-21,CY2016Q2I,
