taxonomy,fact_name,unit,value,start,end,fy,fp,form,filed,frame,decimals
dei,EntityCommonStockSharesOutstanding,shares,1799698922.0,,2019-05-01,2019.0,Q2,10-Q,2019-05-08,CY2019Q1I,
dei,EntityCommonStockSharesOutstanding,shares,1801379029.0,,2019-07-31,2019.0,Q3,10-Q,2019-08-06,CY2019Q2I,
dei,EntityCommonStockSharesOutstanding,shares,1802398289.0,,2019-11-13,2019.0,FY,10-K,2019-11-20,CY2019Q3I,
dei,EntityCommonStockSharesOutstanding,shares,1805438643.0,,2020-01-29,2020.0,Q1,10-Q,2020-02-04,CY2019Q4I,
dei,EntityCommonStockSharesOutstanding,shares,1806266743.0,,2020-04-29,2020.0,Q2,10-Q,2020-05-05,CY2020Q1I,
dei,EntityCommonStockSharesOutstanding,shares,1807063365.0,,2020-07-29,2020.0,Q3,10-Q,2020-08-04,CY2020Q2I,
dei,EntityCommonStockSharesOutstanding,shares,1810485037.0,,2020-11-18,2020.0,FY,10-K,2020-11-25,,
dei,EntityCommonStockSharesOutstanding,shares,1815263899.0,,2021-02-03,2021.0,Q1,10-Q,2021-02-11,CY2020Q4I,
dei,EntityCommonStockSharesOutstanding,shares,1816932058.0,,2021-05-05,2021.0,Q2,10-Q,2021-05-13,CY2021Q1I,
dei,EntityCommonStockSharesOutstanding,shares,1817126595.0,,2021-08-04,2021.0,Q3,10-Q,2021-08-12,CY2021Q2I,
dei,EntityCommonStockSharesOutstanding,shares,1817655948.0,,2021-11-17,2021.0,FY,10-K,2021-11-24,,
dei,EntityCommonStockSharesOutstanding,shares,1820633408.0,,2022-02-02,2022.0,FY,10-Q,2022-02-09,CY2021Q4I,
dei,EntityCommonStockSharesOutstanding,shares,1821483742.0,,2022-05-04,2022.0,FY,10-Q,2022-05-11,CY2022Q1I,
dei,EntityCommonStockSharesOutstanding,shares,1823057777.0,,2022-08-03,2022.0,FY,10-Q,2022-08-10,CY2022Q2I,
dei,EntityCommonStockSharesOutstanding,shares,1823591988.0,,2022-11-23,2022.0,FY,10-K,2022-11-29,,
dei,EntityCommonStockSharesOutstanding,shares,1826784847.0,,2023-01-18,2022.0,FY,10-K/A,2023-01-24,CY2022Q4I,
dei,EntityCommonStockSharesOutstanding,shares,1826807227.0,,2023-02-01,2023.0,Q1,10-Q,2023-02-08,,
dei,EntityCommonStockSharesOutstanding,shares,1827304988.0,,2023-05-03,2023.0,Q2,10-Q,2023-05-10,CY2023Q1I,
dei,EntityCommonStockSharesOutstanding,shares,1829778789.0,,2023-08-02,2023.0,Q3,10-Q,2023-08-09,CY2023Q2I,
dei,EntityCommonStockSharesOutstanding,shares,1830315921.0,,2023-11-15,2023.0,FY,10-K,2023-11-21,,
dei,EntityCommonStockSharesOutstanding,shares,1834285760.0,,2024-01-17,2023.0,FY,10-K/A,2024-01-24,CY2023Q4I,
dei,EntityCommonStockSharesOutstanding,shares,1834302235.0,,2024-01-31,2024.0,Q1,10-Q,2024-02-07,,
dei,EntityCommonStockSharesOutstanding,shares,1823043026.0,,2024-05-01,2024.0,Q2,10-Q,2024-05-07,CY2024Q1I,
dei,EntityCommonStockSharesOutstanding,shares,1813587380.0,,2024-07-31,2024.0,Q3,10-Q,2024-08-07,CY2024Q2I,
dei,EntityCommonStockSharesOutstanding,shares,1810939306.0,,2024-11-06,2024.0,FY,10-K,2024-11-14,CY2024Q3I,
dei,EntityCommonStockSharesOutstanding,shares,1807788865.0,,2025-01-29,2025.0,Q1,10-Q,2025-02-05,CY2024Q4I,
dei,EntityCommonStockSharesOutstanding,shares,1797746311.0,,2025-04-30,2025.0,Q2,10-Q,2025-05-07,CY2025Q1I,
dei,EntityCommonStockSharesOutstanding,shares,1797933833.0,,2025-07-30,2025.0,Q3,10-Q,2025-08-06,CY2025Q2I,
dei,EntityCommonStockSharesOutstanding,shares,1785288846.0,,2025-11-05,2025.0,FY,10-K,2025-11-13,CY2025Q3I,
dei,EntityPublicFloat,USD,199500000000.0,,2018-03-31,2019.0,FY,10-K,2019-11-20,CY2018Q1I,
dei,EntityPublicFloat,USD,174000000000.0,,2020-03-28,2020.0,FY,10-K,2020-11-25,CY2020Q1I,
dei,EntityPublicFloat,USD,343000000000.0,,2021-04-03,2021.0,FY,10-K,2021-11-24,CY2021Q1I,
dei,EntityPublicFloat,USD,249500000000.0,,2022-04-02,2022.0,FY,10-K,2022-11-29,,
dei,EntityPublicFloat,USD,249500000000.0,,2022-04-02,2022.0,FY,10-K/A,2023-01-24,CY2022Q1I,
dei,EntityPublicFloat,USD,182900000000.0,,2023-04-01,2023.0,FY,10-K,2023-11-21,,
dei,EntityPublicFloat,USD,182900000000.0,,2023-04-01,2023.0,FY,10-K/A,2024-01-24,CY2023Q1I,
dei,EntityPublicFloat,USD,223400000000.0,,2024-03-30,2024.0,FY,10-K,2024-11-14,CY2024Q1I,
dei,EntityPublicFloat,USD,176600000000.0,,2025-03-29,2025.0,FY,10-K,2025-11-13,CY2025Q1I,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,8855000000.0,,2017-09-30,,,8-K,2019-08-14,CY2017Q3I,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,9479000000.0,,2018-09-29,2019.0,Q2,10-Q,2019-05-08,,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,9479000000.0,,2018-09-29,2019.0,Q3,10-Q,2019-08-06,,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,9479000000.0,,2018-09-29,,,8-K,2019-08-14,,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,9479000000.0,,2018-09-29,2019.0,FY,10-K,2019-11-20,,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,10518000000.0,,2018-09-30,2019.0,Q2,10-Q,2019-05-08,,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,10518000000.0,,2018-09-30,2019.0,Q3,10-Q,2019-08-06,,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,10518000000.0,,2018-09-30,,,8-K,2019-08-14,,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,10518000000.0,,2018-09-30,2019.0,FY,10-K,2019-11-20,CY2018Q3I,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,10696000000.0,,2018-12-29,,,8-K,2019-08-14,CY2018Q4I,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,20503000000.0,,2019-03-30,2019.0,Q2,10-Q,2019-05-08,CY2019Q1I,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,17647000000.0,,2019-06-29,2019.0,Q3,10-Q,2019-08-06,CY2019Q2I,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,17762000000.0,,2019-09-28,2019.0,FY,10-K,2019-11-20,,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,17762000000.0,,2019-09-28,2020.0,Q1,10-Q,2020-02-04,,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,17762000000.0,,2019-09-28,2020.0,Q2,10-Q,2020-05-05,,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,17762000000.0,,2019-09-28,2020.0,Q3,10-Q,2020-08-04,,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,17762000000.0,,2019-09-28,2020.0,FY,10-K,2020-11-25,,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,17762000000.0,,2019-09-28,,,8-K,2021-04-01,CY2019Q3I,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,19755000000.0,,2019-12-28,2020.0,Q1,10-Q,2020-02-04,CY2019Q4I,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,17906000000.0,,2020-03-28,2020.0,Q2,10-Q,2020-05-05,CY2020Q1I,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,16986000000.0,,2020-06-27,2020.0,Q3,10-Q,2020-08-04,CY2020Q2I,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,16801000000.0,,2020-10-03,2020.0,FY,10-K,2020-11-25,,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,16801000000.0,,2020-10-03,2021.0,Q1,10-Q,2021-02-11,,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,16801000000.0,,2020-10-03,,,8-K,2021-04-01,,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,16801000000.0,,2020-10-03,2021.0,Q2,10-Q,2021-05-13,,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,16801000000.0,,2020-10-03,2021.0,Q3,10-Q,2021-08-12,,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,16801000000.0,,2020-10-03,2021.0,FY,10-K,2021-11-24,CY2020Q3I,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,16846000000.0,,2021-01-02,2021.0,Q1,10-Q,2021-02-11,CY2020Q4I,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,17062000000.0,,2021-04-03,2021.0,Q2,10-Q,2021-05-13,CY2021Q1I,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,18317000000.0,,2021-07-03,2021.0,Q3,10-Q,2021-08-12,CY2021Q2I,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,20894000000.0,,2021-10-02,2021.0,FY,10-K,2021-11-24,,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,20894000000.0,,2021-10-02,2022.0,FY,10-Q,2022-02-09,,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,20894000000.0,,2021-10-02,2022.0,FY,10-Q,2022-05-11,,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,20894000000.0,,2021-10-02,2022.0,FY,10-Q,2022-08-10,,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,20894000000.0,,2021-10-02,2022.0,FY,10-K,2022-11-29,CY2021Q3I,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,18709000000.0,,2022-01-01,2022.0,FY,10-Q,2022-02-09,CY2021Q4I,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,19669000000.0,,2022-04-02,2022.0,FY,10-Q,2022-05-11,CY2022Q1I,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,20858000000.0,,2022-07-02,2022.0,FY,10-Q,2022-08-10,CY2022Q2I,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,20213000000.0,,2022-10-01,2022.0,FY,10-K,2022-11-29,,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,20213000000.0,,2022-10-01,2023.0,Q1,10-Q,2023-02-08,,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,20213000000.0,,2022-10-01,2023.0,Q2,10-Q,2023-05-10,,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,20213000000.0,,2022-10-01,2023.0,Q3,10-Q,2023-08-09,,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,20213000000.0,,2022-10-01,2023.0,FY,10-K,2023-11-21,CY2022Q3I,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,18149000000.0,,2022-12-31,2023.0,Q1,10-Q,2023-02-08,CY2022Q4I,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,18591000000.0,,2023-04-01,2023.0,Q2,10-Q,2023-05-10,CY2023Q1I,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,19115000000.0,,2023-07-01,2023.0,Q3,10-Q,2023-08-09,CY2023Q2I,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,20671000000.0,,2023-09-30,2023.0,FY,10-K,2023-11-21,,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,20671000000.0,,2023-09-30,2024.0,Q1,10-Q,2024-02-07,,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,20671000000.0,,2023-09-30,2024.0,Q2,10-Q,2024-05-07,,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,20671000000.0,,2023-09-30,2024.0,Q3,10-Q,2024-08-07,,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,20671000000.0,,2023-09-30,2024.0,FY,10-K,2024-11-14,CY2023Q3I,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,18676000000.0,,2023-12-30,2024.0,Q1,10-Q,2024-02-07,CY2023Q4I,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,18798000000.0,,2024-03-30,2024.0,Q2,10-Q,2024-05-07,CY2024Q1I,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,20216000000.0,,2024-06-29,2024.0,Q3,10-Q,2024-08-07,CY2024Q2I,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,21070000000.0,,2024-09-28,2024.0,FY,10-K,2024-11-14,,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,21070000000.0,,2024-09-28,2025.0,Q1,10-Q,2025-02-05,,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,21070000000.0,,2024-09-28,2025.0,Q2,10-Q,2025-05-07,,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,21070000000.0,,2024-09-28,2025.0,Q3,10-Q,2025-08-06,,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,21070000000.0,,2024-09-28,2025.0,FY,10-K,2025-11-13,CY2024Q3I,
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,21635000000.0,,2024-12-28,2025.0,Q1,10-Q,2025-02-05,CY2024Q4I,
