taxonomy,fact_name,unit,value,start,end,fy,fp,form,filed,frame,decimals
dei,EntityCommonStockSharesOutstanding,shares,166000000.0,,2012-11-30,2012,Q3,10-Q,2012-12-07,CY2012Q4I,
dei,EntityCommonStockSharesOutstanding,shares,166000000.0,,2013-02-28,2012,FY,10-K,2013-03-22,CY2013Q1I,
dei,EntityCommonStockSharesOutstanding,shares,173000000.0,,2013-05-31,2013,Q1,10-Q,2013-06-05,CY2013Q2I,
dei,EntityCommonStockSharesOutstanding,shares,174000000.0,,2013-08-31,2013,Q2,10-Q,2013-09-06,CY2013Q3I,
dei,EntityCommonStockSharesOutstanding,shares,175000000.0,,2013-10-31,2013,Q3,10-Q,2013-12-02,,
dei,EntityCommonStockSharesOutstanding,shares,184000000.0,,2014-02-28,2013,FY,10-K,2014-03-31,CY2014Q1I,
dei,EntityCommonStockSharesOutstanding,shares,185000000.0,,2014-05-31,2014,Q1,10-Q,2014-06-06,CY2014Q2I,
dei,EntityCommonStockSharesOutstanding,shares,186000000.0,,2014-08-15,2014,Q2,10-Q,2014-09-02,CY2014Q3I,
dei,EntityCommonStockSharesOutstanding,shares,187000000.0,,2014-11-30,2014,Q3,10-Q,2014-12-05,CY2014Q4I,
dei,EntityCommonStockSharesOutstanding,shares,189000000.0,,2015-02-28,2015,FY,10-K,2015-03-25,CY2015Q1I,
dei,EntityCommonStockSharesOutstanding,shares,191000000.0,,2015-05-31,2016,Q1,10-Q,2015-06-05,CY2015Q2I,
dei,EntityCommonStockSharesOutstanding,shares,192000000.0,,2015-08-31,2016,Q2,10-Q,2015-09-04,CY2015Q3I,
dei,EntityCommonStockSharesOutstanding,shares,194000000.0,,2015-11-30,2016,Q3,10-Q,2015-12-04,CY2015Q4I,
dei,EntityCommonStockSharesOutstanding,shares,195000000.0,,2016-02-29,2016,FY,10-K,2016-03-22,CY2016Q1I,
dei,EntityCommonStockSharesOutstanding,shares,197000000.0,,2016-05-31,2017,Q1,10-Q,2016-06-01,CY2016Q2I,
dei,EntityCommonStockSharesOutstanding,shares,200000000.0,,2016-08-31,2017,Q2,10-Q,2016-09-02,CY2016Q3I,
dei,EntityCommonStockSharesOutstanding,shares,201000000.0,,2016-11-30,2017,Q3,10-Q,2016-12-02,CY2016Q4I,
dei,EntityCommonStockSharesOutstanding,shares,203000000.0,,2017-02-28,2017,FY,10-K,2017-03-20,CY2017Q1I,
dei,EntityCommonStockSharesOutstanding,shares,207000000.0,,2017-05-31,2018,Q1,10-Q,2017-06-02,CY2017Q2I,
dei,EntityCommonStockSharesOutstanding,shares,208000000.0,,2017-07-31,2018,Q2,10-Q,2017-08-31,,
dei,EntityCommonStockSharesOutstanding,shares,210000000.0,,2017-10-31,2018,Q3,10-Q,2017-11-30,CY2017Q3I,
dei,EntityCommonStockSharesOutstanding,shares,212000000.0,,2018-02-28,2018,FY,10-K,2018-03-14,CY2018Q1I,
dei,EntityCommonStockSharesOutstanding,shares,216000000.0,,2018-05-31,2019,Q1,10-Q,2018-06-01,CY2018Q2I,
dei,EntityCommonStockSharesOutstanding,shares,217000000.0,,2018-08-31,2019,Q2,10-Q,2018-09-05,CY2018Q3I,
dei,EntityCommonStockSharesOutstanding,shares,220000000.0,,2018-11-30,2019,Q3,10-Q,2018-12-03,CY2018Q4I,
dei,EntityPublicFloat,USD,2300000000.0,,2012-10-12,2012,FY,10-K,2013-03-22,CY2012Q3I,
dei,EntityPublicFloat,USD,4500000000.0,,2013-07-31,2013,FY,10-K,2014-03-31,CY2013Q2I,
dei,EntityPublicFloat,USD,9000000000.0,,2014-07-31,2015,FY,10-K,2015-03-25,CY2014Q2I,
dei,EntityPublicFloat,USD,9500000000.0,,2015-07-31,2016,FY,10-K,2016-03-22,CY2015Q2I,
dei,EntityPublicFloat,USD,10200000000.0,,2016-07-29,2017,FY,10-K,2017-03-20,CY2016Q2I,
dei,EntityPublicFloat,USD,13800000000.0,,2017-07-31,2018,FY,10-K,2018-03-14,CY2017Q2I,
dei,EntityPublicFloat,USD,18600000000.0,,2018-07-31,2019,FY,10-K,2019-03-18,CY2018Q2I,
dei,EntityPublicFloat,USD,32900000000.0,,2019-07-31,2020,FY,10-K,2020-03-03,CY2019Q2I,
dei,EntityPublicFloat,USD,32100000000.0,,2020-07-31,2021,FY,10-K,2021-03-02,CY2020Q2I,
