Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-05-03 00:00:00-04:00,4.25,6.0,3.0,3.5,75200,0.0,0.0
1993-05-04 00:00:00-04:00,3.5,4.0,3.5,4.0,7900,0.0,0.0
1993-05-05 00:00:00-04:00,4.0,4.0,3.25,4.0,26100,0.0,0.0
1993-05-06 00:00:00-04:00,4.0,4.0,3.625,4.0,1900,0.0,0.0
1993-05-07 00:00:00-04:00,4.25,4.5,4.25,4.5,12100,0.0,0.0
1993-05-10 00:00:00-04:00,4.5,4.75,4.25,4.25,29000,0.0,0.0
1993-05-11 00:00:00-04:00,4.25,4.25,4.25,4.25,1100,0.0,0.0
1993-05-12 00:00:00-04:00,4.75,4.75,4.75,4.75,100,0.0,0.0
1993-05-13 00:00:00-04:00,4.375,4.375,4.25,4.375,1800,0.0,0.0
1993-05-14 00:00:00-04:00,4.375,4.375,4.375,4.375,0,0.0,0.0
1993-05-17 00:00:00-04:00,4.375,4.5,4.25,4.5,3600,0.0,0.0
1993-05-18 00:00:00-04:00,4.5,4.5,4.5,4.5,0,0.0,0.0
1993-05-19 00:00:00-04:00,4.5,4.625,4.25,4.625,5600,0.0,0.0
1993-05-20 00:00:00-04:00,4.625,4.75,4.25,4.75,5700,0.0,0.0
1993-05-21 00:00:00-04:00,4.625,4.625,4.0,4.0,18200,0.0,0.0
1993-05-24 00:00:00-04:00,4.0,4.25,3.75,4.125,35000,0.0,0.0
1993-05-25 00:00:00-04:00,3.75,4.125,3.5,3.75,92300,0.0,0.0
1993-05-26 00:00:00-04:00,3.5,3.75,3.125,3.25,117500,0.0,0.0
1993-05-27 00:00:00-04:00,3.25,3.5,3.125,3.25,111800,0.0,0.0
1993-05-28 00:00:00-04:00,3.0,3.5,2.75,3.25,43700,0.0,0.0
1993-06-01 00:00:00-04:00,3.25,3.25,2.75,3.25,4000,0.0,0.0
1993-06-02 00:00:00-04:00,2.75,3.25,2.625,3.25,461800,0.0,0.0
1993-06-03 00:00:00-04:00,3.375,3.5,3.25,3.25,56400,0.0,0.0
1993-06-04 00:00:00-04:00,3.25,3.625,3.25,3.625,99500,0.0,0.0
1993-06-07 00:00:00-04:00,3.25,3.75,3.25,3.75,6700,0.0,0.0
1993-06-08 00:00:00-04:00,3.375,3.625,3.25,3.375,50200,0.0,0.0
1993-06-09 00:00:00-04:00,3.375,3.625,3.25,3.625,33600,0.0,0.0
1993-06-10 00:00:00-04:00,3.625,3.625,3.375,3.5,64800,0.0,0.0
1993-06-11 00:00:00-04:00,3.5,3.875,3.5,3.875,6200,0.0,0.0
1993-06-14 00:00:00-04:00,3.5,3.6875,3.5,3.5,4400,0.0,0.0
1993-06-15 00:00:00-04:00,3.5,3.875,3.5,3.75,108600,0.0,0.0
1993-06-16 00:00:00-04:00,3.5625,3.8125,3.5,3.5,7000,0.0,0.0
1993-06-17 00:00:00-04:00,3.6875,3.75,3.5,3.5,20500,0.0,0.0
1993-06-18 00:00:00-04:00,3.5,3.625,3.5,3.625,9800,0.0,0.0
1993-06-21 00:00:00-04:00,3.625,3.625,3.5,3.5,53800,0.0,0.0
1993-06-22 00:00:00-04:00,3.5,3.625,3.5,3.5,9700,0.0,0.0
1993-06-23 00:00:00-04:00,3.5625,3.625,3.25,3.625,15800,0.0,0.0
1993-06-24 00:00:00-04:00,3.25,3.5,3.25,3.5,7900,0.0,0.0
1993-06-25 00:00:00-04:00,3.25,3.375,3.125,3.375,25100,0.0,0.0
1993-06-28 00:00:00-04:00,3.5,3.5,3.125,3.125,7700,0.0,0.0
1993-06-29 00:00:00-04:00,3.125,3.5,3.125,3.125,5900,0.0,0.0
1993-06-30 00:00:00-04:00,3.125,3.375,3.0,3.0,40600,0.0,0.0
1993-07-01 00:00:00-04:00,3.0,3.0,2.75,2.875,147300,0.0,0.0
1993-07-02 00:00:00-04:00,2.875,3.0,2.75,3.0,15000,0.0,0.0
1993-07-06 00:00:00-04:00,2.75,2.75,2.375,2.375,23300,0.0,0.0
1993-07-07 00:00:00-04:00,2.75,2.75,2.0,2.0,24900,0.0,0.0
1993-07-08 00:00:00-04:00,2.0,2.375,2.0,2.375,2800,0.0,0.0
1993-07-09 00:00:00-04:00,2.375,2.75,2.125,2.75,27100,0.0,0.0
1993-07-12 00:00:00-04:00,2.5,2.75,2.5,2.75,20400,0.0,0.0
1993-07-13 00:00:00-04:00,2.625,3.0,2.625,3.0,17200,0.0,0.0
1993-07-14 00:00:00-04:00,2.75,3.0,2.75,3.0,57000,0.0,0.0
1993-07-15 00:00:00-04:00,2.75,3.0,2.75,3.0,29100,0.0,0.0
1993-07-16 00:00:00-04:00,3.0,3.0,3.0,3.0,1700,0.0,0.0
1993-07-19 00:00:00-04:00,2.875,3.0,2.75,2.75,38500,0.0,0.0
1993-07-20 00:00:00-04:00,3.0,3.0,2.75,3.0,1400,0.0,0.0
1993-07-21 00:00:00-04:00,3.0,3.0,2.75,3.0,124700,0.0,0.0
1993-07-22 00:00:00-04:00,3.0,3.0,2.75,2.75,400,0.0,0.0
1993-07-23 00:00:00-04:00,3.0,3.0,2.75,3.0,11800,0.0,0.0
1993-07-26 00:00:00-04:00,2.75,3.0,2.75,2.75,6900,0.0,0.0
1993-07-27 00:00:00-04:00,2.75,2.875,2.75,2.75,2800,0.0,0.0
1993-07-28 00:00:00-04:00,2.75,3.125,2.75,2.75,5500,0.0,0.0
1993-07-29 00:00:00-04:00,3.0,3.0,2.75,2.75,1400,0.0,0.0
1993-07-30 00:00:00-04:00,2.75,2.875,2.75,2.75,83400,0.0,0.0
1993-08-02 00:00:00-04:00,2.75,3.125,2.75,2.75,3500,0.0,0.0
1993-08-03 00:00:00-04:00,2.75,2.9375,2.75,2.75,11700,0.0,0.0
1993-08-04 00:00:00-04:00,2.75,2.875,2.75,2.875,1600,0.0,0.0
1993-08-05 00:00:00-04:00,2.75,3.0,2.75,2.875,27100,0.0,0.0
1993-08-06 00:00:00-04:00,2.75,3.25,2.75,2.875,17500,0.0,0.0
1993-08-09 00:00:00-04:00,3.0,3.375,2.875,2.875,16300,0.0,0.0
1993-08-10 00:00:00-04:00,2.875,3.5,2.875,3.5,36200,0.0,0.0
1993-08-11 00:00:00-04:00,3.125,3.375,3.125,3.25,11400,0.0,0.0
1993-08-12 00:00:00-04:00,3.125,3.125,3.125,3.125,2500,0.0,0.0
1993-08-13 00:00:00-04:00,3.0,3.0,3.0,3.0,2000,0.0,0.0
1993-08-16 00:00:00-04:00,3.1875,3.375,3.0,3.375,10800,0.0,0.0
1993-08-17 00:00:00-04:00,3.0,3.375,3.0,3.375,13900,0.0,0.0
1993-08-18 00:00:00-04:00,3.375,3.375,3.0,3.375,7400,0.0,0.0
1993-08-19 00:00:00-04:00,3.375,3.375,3.0,3.0,23000,0.0,0.0
1993-08-20 00:00:00-04:00,3.375,3.375,3.375,3.375,3000,0.0,0.0
1993-08-23 00:00:00-04:00,3.0,3.0625,3.0,3.0,2100,0.0,0.0
1993-08-24 00:00:00-04:00,2.875,2.875,2.875,2.875,100,0.0,0.0
1993-08-25 00:00:00-04:00,2.875,2.875,2.875,2.875,400,0.0,0.0
1993-08-26 00:00:00-04:00,2.875,3.0,2.875,2.875,13400,0.0,0.0
1993-08-27 00:00:00-04:00,2.875,3.125,2.875,2.875,5200,0.0,0.0
1993-08-30 00:00:00-04:00,3.0,3.0,3.0,3.0,7700,0.0,0.0
1993-08-31 00:00:00-04:00,2.875,3.125,2.875,3.125,47600,0.0,0.0
1993-09-01 00:00:00-04:00,3.0,3.125,3.0,3.125,4300,0.0,0.0
1993-09-02 00:00:00-04:00,2.875,2.875,2.875,2.875,200,0.0,0.0
1993-09-03 00:00:00-04:00,2.875,3.25,2.875,3.25,3900,0.0,0.0
1993-09-07 00:00:00-04:00,3.25,3.25,2.875,2.875,14400,0.0,0.0
1993-09-08 00:00:00-04:00,2.875,3.125,2.875,2.875,24400,0.0,0.0
1993-09-09 00:00:00-04:00,2.875,3.25,2.875,3.25,1000,0.0,0.0
1993-09-10 00:00:00-04:00,3.125,3.125,2.875,2.875,1100,0.0,0.0
1993-09-13 00:00:00-04:00,2.875,2.875,2.875,2.875,600,0.0,0.0
1993-09-14 00:00:00-04:00,2.875,3.0,2.875,3.0,40900,0.0,0.0
1993-09-15 00:00:00-04:00,2.875,3.0,2.875,2.875,30100,0.0,0.0
1993-09-16 00:00:00-04:00,2.875,2.875,2.875,2.875,0,0.0,0.0
1993-09-17 00:00:00-04:00,2.875,2.875,2.875,2.875,7400,0.0,0.0
1993-09-20 00:00:00-04:00,3.25,3.25,2.875,2.875,3300,0.0,0.0
1993-09-21 00:00:00-04:00,2.875,3.25,2.75,2.875,14500,0.0,0.0
1993-09-22 00:00:00-04:00,2.75,3.0,2.75,2.75,19400,0.0,0.0
1993-09-23 00:00:00-04:00,3.0,3.0,2.625,2.625,2600,0.0,0.0
1993-09-24 00:00:00-04:00,2.625,2.625,2.625,2.625,5400,0.0,0.0
1993-09-27 00:00:00-04:00,2.625,2.75,2.5,2.5,23600,0.0,0.0
1993-09-28 00:00:00-04:00,2.5,2.5,2.5,2.5,6500,0.0,0.0
1993-09-29 00:00:00-04:00,2.375,2.5,2.375,2.5,7600,0.0,0.0
1993-09-30 00:00:00-04:00,2.375,2.375,2.375,2.375,11300,0.0,0.0
1993-10-01 00:00:00-04:00,2.375,2.375,2.375,2.375,3400,0.0,0.0
1993-10-04 00:00:00-04:00,2.375,2.375,2.375,2.375,100,0.0,0.0
1993-10-05 00:00:00-04:00,2.5,2.625,2.375,2.625,36400,0.0,0.0
1993-10-06 00:00:00-04:00,2.5,2.625,2.5,2.5,21900,0.0,0.0
1993-10-07 00:00:00-04:00,2.5,2.5,2.5,2.5,2400,0.0,0.0
1993-10-08 00:00:00-04:00,2.5,2.625,2.5,2.53125,33000,0.0,0.0
1993-10-11 00:00:00-04:00,2.625,2.625,2.5,2.625,16400,0.0,0.0
1993-10-12 00:00:00-04:00,2.5,2.625,2.5,2.625,1600,0.0,0.0
1993-10-13 00:00:00-04:00,2.5,2.5,2.5,2.5,7300,0.0,0.0
1993-10-14 00:00:00-04:00,2.625,2.625,2.375,2.375,5300,0.0,0.0
1993-10-15 00:00:00-04:00,2.375,2.75,2.375,2.75,18200,0.0,0.0
1993-10-18 00:00:00-04:00,2.75,2.75,2.5,2.5,1600,0.0,0.0
1993-10-19 00:00:00-04:00,2.625,2.625,2.5,2.5,6500,0.0,0.0
1993-10-20 00:00:00-04:00,2.625,2.625,2.5,2.5,12600,0.0,0.0
1993-10-21 00:00:00-04:00,2.5,2.625,2.5,2.625,1400,0.0,0.0
1993-10-22 00:00:00-04:00,2.625,2.75,2.5,2.625,25800,0.0,0.0
1993-10-25 00:00:00-04:00,2.5,2.625,2.5,2.5625,11500,0.0,0.0
