Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-07-25 00:00:00-04:00,18.7,25.0,18.5,25.0,13709500,0.0,0.0
2018-07-26 00:00:00-04:00,24.745,24.85,20.3,21.01,3628300,0.0,0.0
2018-07-27 00:00:00-04:00,21.2,23.0,21.2,22.6,1320700,0.0,0.0
2018-07-30 00:00:00-04:00,22.75,24.0,22.65,23.85,1236300,0.0,0.0
2018-07-31 00:00:00-04:00,24.03,26.43,22.75,23.05,2603400,0.0,0.0
2018-08-01 00:00:00-04:00,23.67,24.8,22.6,23.5,952900,0.0,0.0
2018-08-02 00:00:00-04:00,23.5,25.12,23.5,24.5,683500,0.0,0.0
2018-08-03 00:00:00-04:00,24.63,27.1,24.5,26.8,904200,0.0,0.0
2018-08-06 00:00:00-04:00,27.07,29.875,26.9,27.94,1523400,0.0,0.0
2018-08-07 00:00:00-04:00,28.66,28.749,27.13,27.45,907300,0.0,0.0
2018-08-08 00:00:00-04:00,27.89,28.25,26.5,28.15,1160200,0.0,0.0
2018-08-09 00:00:00-04:00,28.0,28.03,26.6,26.72,402900,0.0,0.0
2018-08-10 00:00:00-04:00,26.84,28.0,26.3,27.65,431500,0.0,0.0
2018-08-13 00:00:00-04:00,27.65,27.65,24.71,24.76,711300,0.0,0.0
2018-08-14 00:00:00-04:00,25.1,25.863,25.0,25.51,300800,0.0,0.0
2018-08-15 00:00:00-04:00,25.8,25.8,22.78,22.91,822300,0.0,0.0
2018-08-16 00:00:00-04:00,23.5,23.92,22.9,23.13,567400,0.0,0.0
2018-08-17 00:00:00-04:00,23.63,23.63,22.19,22.2,601900,0.0,0.0
2018-08-20 00:00:00-04:00,22.0,23.106,21.75,22.42,1187700,0.0,0.0
2018-08-21 00:00:00-04:00,22.85,25.8,22.61,25.27,1267400,0.0,0.0
2018-08-22 00:00:00-04:00,25.02,27.5,24.8,27.0,884000,0.0,0.0
2018-08-23 00:00:00-04:00,27.21,29.5,27.192,29.28,1313200,0.0,0.0
2018-08-24 00:00:00-04:00,29.25,33.25,29.241,30.91,1597600,0.0,0.0
