Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1992-09-18 00:00:00-04:00,2.61908,2.79537,2.61908,2.745,24816375,0.0,0.0
1992-09-21 00:00:00-04:00,2.66945,2.745,2.61908,2.66945,3912300,0.0,0.0
1992-09-22 00:00:00-04:00,2.66945,2.66945,2.49316,2.51835,2240156,0.0,0.0
1992-09-23 00:00:00-04:00,2.49317,2.54353,2.46798,2.48057,939347,0.0,0.0
1992-09-24 00:00:00-04:00,2.46798,2.56872,2.46798,2.54353,962888,0.0,0.0
1992-09-25 00:00:00-04:00,2.54353,2.56872,2.41762,2.46798,1215000,0.0,0.0
1992-09-28 00:00:00-04:00,2.46798,2.46798,2.39243,2.39243,473850,0.0,0.0
1992-09-29 00:00:00-04:00,2.39243,2.4428,2.39243,2.4428,1395731,0.0,0.0
1992-09-30 00:00:00-04:00,2.4428,2.51835,2.39243,2.51835,1030472,0.0,0.0
1992-10-01 00:00:00-04:00,2.51835,2.54353,2.46798,2.46798,910491,0.0,0.0
1992-10-02 00:00:00-04:00,2.51835,2.51835,2.31688,2.34206,1432941,0.0,0.0
1992-10-05 00:00:00-04:00,2.2917,2.31688,2.16578,2.24133,3342009,0.0,0.0
1992-10-06 00:00:00-04:00,2.26651,2.36725,2.24133,2.36725,615853,0.0,0.0
1992-10-07 00:00:00-04:00,2.36725,2.51835,2.36725,2.46798,780638,0.0,0.0
1992-10-08 00:00:00-04:00,2.51835,2.54353,2.4428,2.53094,820125,0.0,0.0
1992-10-09 00:00:00-04:00,2.50576,2.61908,2.46798,2.46798,1073756,0.0,0.0
1992-10-12 00:00:00-04:00,2.51835,2.51835,2.4428,2.46798,88088,0.0,0.0
1992-10-13 00:00:00-04:00,2.46798,2.51835,2.35466,2.36725,344756,0.0,0.0
1992-10-14 00:00:00-04:00,2.39243,2.46798,2.34206,2.46798,628763,0.0,0.0
1992-10-15 00:00:00-04:00,2.46798,2.56872,2.41762,2.56872,430566,0.0,0.0
1992-10-16 00:00:00-04:00,2.55612,2.66945,2.51835,2.61908,373613,0.0,0.0
1992-10-19 00:00:00-04:00,2.66945,2.77018,2.5939,2.71982,1201331,0.0,0.0
1992-10-20 00:00:00-04:00,2.71982,2.84573,2.71982,2.77018,1098816,0.0,0.0
1992-10-21 00:00:00-04:00,2.77018,2.84573,2.71982,2.79537,196678,0.0,0.0
1992-10-22 00:00:00-04:00,2.71982,2.77018,2.5939,2.66945,313622,0.0,0.0
1992-10-23 00:00:00-04:00,2.61908,2.71982,2.61908,2.71982,454866,0.0,0.0
1992-10-26 00:00:00-05:00,2.69463,2.69463,2.5939,2.69463,183769,0.0,0.0
1992-10-27 00:00:00-05:00,2.69463,2.69463,2.54353,2.61908,169341,0.0,0.0
1992-10-28 00:00:00-05:00,2.61908,2.745,2.5939,2.73241,540675,0.0,0.0
1992-10-29 00:00:00-05:00,2.71982,2.745,2.56872,2.64427,376650,0.0,0.0
1992-10-30 00:00:00-05:00,2.5939,2.64427,2.4428,2.48057,615094,0.0,0.0
1992-11-02 00:00:00-05:00,2.54353,2.64427,2.49316,2.50576,1007691,0.0,0.0
1992-11-03 00:00:00-05:00,2.54353,2.54353,2.46798,2.51835,810253,0.0,0.0
1992-11-04 00:00:00-05:00,2.41762,2.49317,2.41762,2.46798,66825,0.0,0.0
1992-11-05 00:00:00-05:00,2.51835,2.64427,2.4428,2.64427,334125,0.0,0.0
1992-11-06 00:00:00-05:00,2.5939,2.69463,2.5939,2.64427,201234,0.0,0.0
1992-11-09 00:00:00-05:00,2.61908,2.71982,2.61908,2.66945,226294,0.0,0.0
1992-11-10 00:00:00-05:00,2.71982,2.71982,2.56872,2.61908,570291,0.0,0.0
1992-11-11 00:00:00-05:00,2.61908,2.61908,2.54353,2.61908,208828,0.0,0.0
1992-11-12 00:00:00-05:00,2.61908,2.66945,2.5939,2.64427,558900,0.0,0.0
1992-11-13 00:00:00-05:00,2.69463,2.69463,2.64427,2.69463,366778,0.0,0.0
1992-11-16 00:00:00-05:00,2.71982,2.71982,2.66945,2.69463,256669,0.0,0.0
1992-11-17 00:00:00-05:00,2.71982,2.71982,2.66945,2.68204,217941,0.0,0.0
1992-11-18 00:00:00-05:00,2.71982,2.77018,2.66945,2.77018,238444,0.0,0.0
1992-11-19 00:00:00-05:00,2.77018,2.82055,2.71982,2.77018,606741,0.0,0.0
1992-11-20 00:00:00-05:00,2.77018,2.84573,2.77018,2.84573,782156,0.0,0.0
1992-11-23 00:00:00-05:00,2.84573,2.84573,2.77018,2.84573,343238,0.0,0.0
1992-11-24 00:00:00-05:00,2.84573,2.84573,2.79537,2.84573,185288,0.0,0.0
1992-11-25 00:00:00-05:00,2.84573,2.97165,2.79537,2.8961,1502044,0.0,0.0
1992-11-27 00:00:00-05:00,2.97165,3.12275,2.94647,3.03461,565734,0.0,0.0
1992-11-30 00:00:00-05:00,3.07239,3.14794,2.99683,3.09757,1202091,0.0,0.0
1992-12-01 00:00:00-05:00,3.09757,3.09757,2.97165,3.02202,444994,0.0,0.0
1992-12-02 00:00:00-05:00,3.02202,3.02202,2.8961,2.94647,375131,0.0,0.0
1992-12-03 00:00:00-05:00,2.8961,2.92128,2.77018,2.79537,649266,0.0,0.0
1992-12-04 00:00:00-05:00,2.77018,2.79537,2.69463,2.77018,382725,0.0,0.0
1992-12-07 00:00:00-05:00,2.79537,2.87092,2.71982,2.87092,286284,0.0,0.0
1992-12-08 00:00:00-05:00,2.87092,2.87092,2.79537,2.79537,129853,0.0,0.0
1992-12-09 00:00:00-05:00,2.77018,2.82055,2.64427,2.66945,272616,0.0,0.0
1992-12-10 00:00:00-05:00,2.69463,2.69463,2.61908,2.64427,143522,0.0,0.0
1992-12-11 00:00:00-05:00,2.64427,2.71982,2.64427,2.71982,31134,0.0,0.0
1992-12-14 00:00:00-05:00,2.71982,2.71982,2.61908,2.61908,378169,0.0,0.0
1992-12-15 00:00:00-05:00,2.61908,2.64427,2.49316,2.54353,587756,0.0,0.0
1992-12-16 00:00:00-05:00,2.54353,2.56872,2.46798,2.56872,575606,0.0,0.0
1992-12-17 00:00:00-05:00,2.61908,2.77018,2.61908,2.77018,580163,0.0,0.0
1992-12-18 00:00:00-05:00,2.77018,2.82055,2.71982,2.71982,214144,0.0,0.0
1992-12-21 00:00:00-05:00,2.71982,2.77018,2.71982,2.71982,31894,0.0,0.0
1992-12-22 00:00:00-05:00,2.71982,2.79537,2.64427,2.66945,195159,0.0,0.0
1992-12-23 00:00:00-05:00,2.64427,2.66945,2.56872,2.56872,392597,0.0,0.0
1992-12-24 00:00:00-05:00,2.61908,2.64427,2.56872,2.58131,62269,0.0,0.0
1992-12-28 00:00:00-05:00,2.46798,2.46798,2.16578,2.19096,4367166,0.0,0.0
1992-12-29 00:00:00-05:00,2.24133,2.34206,2.16578,2.26651,1435978,0.0,0.0
1992-12-30 00:00:00-05:00,2.26651,2.39243,2.26651,2.34206,614334,0.0,0.0
1992-12-31 00:00:00-05:00,2.41762,2.41762,2.34206,2.41762,173138,0.0,0.0
1993-01-04 00:00:00-05:00,2.41762,2.51835,2.34206,2.45539,1013766,0.0,0.0
1993-01-05 00:00:00-05:00,2.49316,2.49316,2.41761,2.4428,530044,0.0,0.0
1993-01-06 00:00:00-05:00,2.39243,2.4428,2.2917,2.2917,691031,0.0,0.0
1993-01-07 00:00:00-05:00,2.2917,2.31688,2.09023,2.16578,2140678,0.0,0.0
1993-01-08 00:00:00-05:00,2.16578,2.16578,2.128,2.1406,1298531,0.0,0.0
1993-01-11 00:00:00-05:00,2.16578,2.2917,2.11541,2.26651,2103469,0.0,0.0
1993-01-12 00:00:00-05:00,2.2917,2.2917,2.21615,2.21615,173138,0.0,0.0
1993-01-13 00:00:00-05:00,2.26651,2.2917,2.21615,2.24133,131372,0.0,0.0
1993-01-14 00:00:00-05:00,2.34206,2.54353,2.34206,2.49316,1150453,0.0,0.0
1993-01-15 00:00:00-05:00,2.51835,2.54353,2.46798,2.54353,285525,0.0,0.0
1993-01-18 00:00:00-05:00,2.54353,2.54353,2.41761,2.4428,506503,0.0,0.0
1993-01-19 00:00:00-05:00,2.49317,2.49317,2.41762,2.43021,258188,0.0,0.0
1993-01-20 00:00:00-05:00,2.46798,2.46798,2.39243,2.41762,115425,0.0,0.0
1993-01-21 00:00:00-05:00,2.34206,2.41761,2.34206,2.34206,937069,0.0,0.0
1993-01-22 00:00:00-05:00,2.41762,2.41762,2.34206,2.41762,75178,0.0,0.0
1993-01-25 00:00:00-05:00,2.41761,2.41761,2.31688,2.36725,91884,0.0,0.0
1993-01-26 00:00:00-05:00,2.36725,2.39243,2.24133,2.36725,1508878,0.0,0.0
