Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-01-25 00:00:00-05:00,29.0,40.9,28.55,37.17,8824800,0.0,0.0
2024-01-26 00:00:00-05:00,36.0,38.84,33.25,35.03,1718900,0.0,0.0
2024-01-29 00:00:00-05:00,36.32,37.99,35.5,37.0,1089800,0.0,0.0
2024-01-30 00:00:00-05:00,35.68,39.7,35.52,36.5,1192500,0.0,0.0
2024-01-31 00:00:00-05:00,35.0,39.245,35.0,37.26,2688900,0.0,0.0
2024-02-01 00:00:00-05:00,37.14,40.68,36.11,37.95,544600,0.0,0.0
2024-02-02 00:00:00-05:00,38.0,38.76,35.81,35.81,394200,0.0,0.0
2024-02-05 00:00:00-05:00,35.69,38.01,35.69,37.42,189900,0.0,0.0
2024-02-06 00:00:00-05:00,37.83,40.35,36.69,37.03,639500,0.0,0.0
2024-02-07 00:00:00-05:00,37.15,41.845,37.15,40.52,759700,0.0,0.0
2024-02-08 00:00:00-05:00,41.5,44.91,38.75,39.02,657300,0.0,0.0
2024-02-09 00:00:00-05:00,39.02,43.76,38.68,41.57,575700,0.0,0.0
2024-02-12 00:00:00-05:00,41.57,47.24,41.57,43.74,661100,0.0,0.0
2024-02-13 00:00:00-05:00,42.8,46.6,42.8,44.18,522300,0.0,0.0
2024-02-14 00:00:00-05:00,45.21,47.295,42.82,43.42,384300,0.0,0.0
2024-02-15 00:00:00-05:00,44.39,48.0,43.525,47.46,494800,0.0,0.0
2024-02-16 00:00:00-05:00,48.26,50.23,47.42,47.93,361300,0.0,0.0
2024-02-20 00:00:00-05:00,47.5,48.595,44.13,44.37,491200,0.0,0.0
2024-02-21 00:00:00-05:00,44.67,46.984,43.51,45.28,473900,0.0,0.0
2024-02-22 00:00:00-05:00,45.64,47.31,44.85,46.17,332100,0.0,0.0
2024-02-23 00:00:00-05:00,46.44,48.05,42.121,43.61,400000,0.0,0.0
2024-02-26 00:00:00-05:00,43.4,46.725,43.4,46.01,299900,0.0,0.0
2024-02-27 00:00:00-05:00,46.21,46.95,44.81,46.35,227800,0.0,0.0
2024-02-28 00:00:00-05:00,46.18,47.76,43.81,44.4,326700,0.0,0.0
2024-02-29 00:00:00-05:00,44.54,47.78,44.205,44.71,423600,0.0,0.0
2024-03-01 00:00:00-05:00,45.77,46.525,42.39,43.98,459100,0.0,0.0
2024-03-04 00:00:00-05:00,43.92,45.33,41.92,43.09,602400,0.0,0.0
2024-03-05 00:00:00-05:00,42.5,43.35,40.71,41.49,528900,0.0,0.0
2024-03-06 00:00:00-05:00,42.21,43.1,41.01,42.79,441100,0.0,0.0
2024-03-07 00:00:00-05:00,42.68,44.36,39.43,39.86,430300,0.0,0.0
2024-03-08 00:00:00-05:00,39.6,39.99,32.65,35.51,1416800,0.0,0.0
2024-03-11 00:00:00-04:00,35.04,37.4,33.91,35.0,915900,0.0,0.0
2024-03-12 00:00:00-04:00,35.01,35.67,34.475,35.67,828200,0.0,0.0
2024-03-13 00:00:00-04:00,35.69,39.86,35.46,39.79,622300,0.0,0.0
2024-03-14 00:00:00-04:00,39.9,39.9,36.74,37.2,729500,0.0,0.0
2024-03-15 00:00:00-04:00,37.7,39.57,37.065,38.52,4981400,0.0,0.0
2024-03-18 00:00:00-04:00,38.0,39.015,37.655,38.11,449300,0.0,0.0
2024-03-19 00:00:00-04:00,38.15,41.15,38.126,39.7,678000,0.0,0.0
2024-03-20 00:00:00-04:00,38.9,40.159,38.02,39.05,432800,0.0,0.0
2024-03-21 00:00:00-04:00,39.24,42.11,38.41,41.12,619700,0.0,0.0
2024-03-22 00:00:00-04:00,41.57,41.74,39.61,40.5,800200,0.0,0.0
2024-03-25 00:00:00-04:00,40.45,41.73,39.84,40.76,284200,0.0,0.0
2024-03-26 00:00:00-04:00,40.68,41.36,40.07,40.87,425500,0.0,0.0
2024-03-27 00:00:00-04:00,41.25,41.66,40.22,41.0,295000,0.0,0.0
2024-03-28 00:00:00-04:00,40.96,45.21,40.815,43.9,747500,0.0,0.0
2024-04-01 00:00:00-04:00,43.82,44.26,42.35,42.76,484000,0.0,0.0
2024-04-02 00:00:00-04:00,42.11,42.43,40.24,40.5,396000,0.0,0.0
2024-04-03 00:00:00-04:00,40.25,40.37,38.0,38.39,283500,0.0,0.0
2024-04-04 00:00:00-04:00,38.65,39.51,37.48,37.75,359000,0.0,0.0
2024-04-05 00:00:00-04:00,37.53,39.01,37.46,38.46,181200,0.0,0.0
2024-04-08 00:00:00-04:00,38.71,40.35,38.1,39.15,339100,0.0,0.0
2024-04-09 00:00:00-04:00,39.33,39.96,38.81,39.02,238400,0.0,0.0
2024-04-10 00:00:00-04:00,38.0,38.558,37.29,38.5,596600,0.0,0.0
