Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-08-01 00:00:00-04:00,25.5,26.37,23.65,23.85,29037100,0.0,0.0
2019-08-02 00:00:00-04:00,23.18,26.94,22.96,26.07,2785200,0.0,0.0
2019-08-05 00:00:00-04:00,25.2,25.29,22.32,23.74,2628500,0.0,0.0
2019-08-06 00:00:00-04:00,24.06,24.9,23.2,24.52,1614800,0.0,0.0
2019-08-07 00:00:00-04:00,23.75,26.62,23.5,26.15,5085200,0.0,0.0
2019-08-08 00:00:00-04:00,26.9,27.48,24.1,26.0,2222700,0.0,0.0
2019-08-09 00:00:00-04:00,26.5,26.5,24.467,25.25,991000,0.0,0.0
2019-08-12 00:00:00-04:00,25.3,25.3,23.0,23.27,1088700,0.0,0.0
2019-08-13 00:00:00-04:00,23.28,24.55,23.11,23.6,1037600,0.0,0.0
2019-08-14 00:00:00-04:00,23.03,23.315,21.22,21.43,1976900,0.0,0.0
2019-08-15 00:00:00-04:00,21.61,22.36,20.46,21.33,1218500,0.0,0.0
2019-08-16 00:00:00-04:00,21.59,22.64,21.4,22.39,1146400,0.0,0.0
2019-08-19 00:00:00-04:00,22.64,24.46,22.64,23.97,706800,0.0,0.0
2019-08-20 00:00:00-04:00,24.01,24.76,23.79,24.48,439600,0.0,0.0
2019-08-21 00:00:00-04:00,24.6,25.48,24.56,25.04,562900,0.0,0.0
2019-08-22 00:00:00-04:00,25.09,25.35,23.81,24.18,546300,0.0,0.0
2019-08-23 00:00:00-04:00,24.04,24.31,23.531,23.9,297200,0.0,0.0
2019-08-26 00:00:00-04:00,24.27,24.5,23.78,23.87,601800,0.0,0.0
2019-08-27 00:00:00-04:00,24.0,24.9,22.68,23.4,764300,0.0,0.0
2019-08-28 00:00:00-04:00,23.31,24.0,22.6,23.01,470500,0.0,0.0
2019-08-29 00:00:00-04:00,23.17,23.49,22.52,23.44,442700,0.0,0.0
2019-08-30 00:00:00-04:00,23.54,23.75,22.27,22.98,1191600,0.0,0.0
2019-09-03 00:00:00-04:00,22.5,23.28,22.3,23.1,1438900,0.0,0.0
2019-09-04 00:00:00-04:00,23.47,24.2,23.09,23.98,1103700,0.0,0.0
2019-09-05 00:00:00-04:00,22.31,24.96,21.67,24.73,1852700,0.0,0.0
2019-09-06 00:00:00-04:00,25.26,25.3,23.58,23.8,843400,0.0,0.0
2019-09-09 00:00:00-04:00,23.93,23.948,19.71,21.51,2368200,0.0,0.0
2019-09-10 00:00:00-04:00,21.32,21.75,19.82,20.11,1243300,0.0,0.0
2019-09-11 00:00:00-04:00,20.48,20.98,19.76,20.91,549200,0.0,0.0
2019-09-12 00:00:00-04:00,21.0,21.83,20.522,21.25,728700,0.0,0.0
2019-09-13 00:00:00-04:00,21.57,21.57,20.78,21.02,822700,0.0,0.0
2019-09-16 00:00:00-04:00,20.82,20.82,19.88,20.04,1764200,0.0,0.0
2019-09-17 00:00:00-04:00,20.31,20.625,20.05,20.13,779000,0.0,0.0
2019-09-18 00:00:00-04:00,20.35,20.97,20.0,20.79,561300,0.0,0.0
2019-09-19 00:00:00-04:00,20.79,21.97,20.79,21.36,978600,0.0,0.0
2019-09-20 00:00:00-04:00,21.73,21.73,21.28,21.53,4191100,0.0,0.0
2019-09-23 00:00:00-04:00,21.26,21.98,21.26,21.76,459700,0.0,0.0
