Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-04-04 00:00:00-04:00,8.53,9.38,7.01,7.55,673300,0.0,0.0
2023-04-05 00:00:00-04:00,7.34,7.4,6.85,7.0,262700,0.0,0.0
2023-04-06 00:00:00-04:00,7.0,7.11,7.0,7.08,36000,0.0,0.0
2023-04-10 00:00:00-04:00,7.04,7.05,6.95,6.996,37700,0.0,0.0
2023-04-11 00:00:00-04:00,7.05,7.4,6.95,7.36,77800,0.0,0.0
2023-04-12 00:00:00-04:00,7.29,7.52,7.131,7.52,53400,0.0,0.0
2023-04-13 00:00:00-04:00,7.52,8.18,7.52,7.68,180600,0.0,0.0
2023-04-14 00:00:00-04:00,7.76,7.76,7.39,7.48,13900,0.0,0.0
2023-04-17 00:00:00-04:00,7.36,7.6,7.23,7.6,17800,0.0,0.0
2023-04-18 00:00:00-04:00,7.6,7.8,7.501,7.61,60100,0.0,0.0
2023-04-19 00:00:00-04:00,7.59,8.2,7.5,7.91,77600,0.0,0.0
2023-04-20 00:00:00-04:00,7.84,8.29,7.62,8.2,55100,0.0,0.0
2023-04-21 00:00:00-04:00,8.3,8.5,8.19,8.4,27800,0.0,0.0
2023-04-24 00:00:00-04:00,8.39,8.54,8.11,8.42,25200,0.0,0.0
2023-04-25 00:00:00-04:00,8.0,8.145,7.75,7.89,19300,0.0,0.0
2023-04-26 00:00:00-04:00,7.714,8.33,7.7,8.2,62900,0.0,0.0
2023-04-27 00:00:00-04:00,8.29,8.39,8.09,8.34,52900,0.0,0.0
2023-04-28 00:00:00-04:00,8.34,9.795,8.17,8.96,70200,0.0,0.0
2023-05-01 00:00:00-04:00,8.92,8.96,8.44,8.69,33600,0.0,0.0
2023-05-02 00:00:00-04:00,8.62,8.82,8.585,8.82,18900,0.0,0.0
2023-05-03 00:00:00-04:00,8.84,8.84,8.423,8.84,97600,0.0,0.0
2023-05-04 00:00:00-04:00,8.71,8.99,8.43,8.8,15100,0.0,0.0
2023-05-05 00:00:00-04:00,8.8,8.98,8.79,8.98,13900,0.0,0.0
2023-05-08 00:00:00-04:00,8.85,9.415,8.8,9.39,36500,0.0,0.0
2023-05-09 00:00:00-04:00,9.3,9.38,9.07,9.3,39800,0.0,0.0
2023-05-10 00:00:00-04:00,9.26,9.26,9.005,9.2,43600,0.0,0.0
2023-05-11 00:00:00-04:00,9.2,9.2,8.808,9.1,30200,0.0,0.0
2023-05-12 00:00:00-04:00,9.13,9.13,8.7,9.0,24000,0.0,0.0
2023-05-15 00:00:00-04:00,8.88,8.98,8.8,8.81,26000,0.0,0.0
2023-05-16 00:00:00-04:00,8.8,8.8,8.342,8.65,48400,0.0,0.0
2023-05-17 00:00:00-04:00,8.75,8.75,7.77,7.94,45300,0.0,0.0
2023-05-18 00:00:00-04:00,7.94,8.9,7.44,8.9,127400,0.0,0.0
2023-05-19 00:00:00-04:00,8.45,8.95,8.15,8.85,19400,0.0,0.0
2023-05-22 00:00:00-04:00,8.95,8.95,7.6,7.6,43000,0.0,0.0
2023-05-23 00:00:00-04:00,7.645,7.94,7.33,7.45,117400,0.0,0.0
2023-05-24 00:00:00-04:00,7.45,7.9,7.42,7.42,9900,0.0,0.0
2023-05-25 00:00:00-04:00,7.61,7.97,7.43,7.43,15100,0.0,0.0
2023-05-26 00:00:00-04:00,8.01,8.01,7.35,7.43,22400,0.0,0.0
2023-05-30 00:00:00-04:00,7.57,7.77,7.38,7.38,14700,0.0,0.0
2023-05-31 00:00:00-04:00,7.414,7.97,7.392,7.49,12600,0.0,0.0
2023-06-01 00:00:00-04:00,7.78,8.7,7.76,8.37,35200,0.0,0.0
2023-06-02 00:00:00-04:00,8.69,8.88,8.38,8.39,41900,0.0,0.0
2023-06-05 00:00:00-04:00,8.38,8.4,7.5,7.52,48200,0.0,0.0
2023-06-06 00:00:00-04:00,8.05,8.3,7.72,8.25,15400,0.0,0.0
2023-06-07 00:00:00-04:00,8.29,8.3,7.85,7.86,16400,0.0,0.0
2023-06-08 00:00:00-04:00,7.91,8.2,7.6,7.6,17700,0.0,0.0
2023-06-09 00:00:00-04:00,7.67,8.34,7.65,7.7,21100,0.0,0.0
2023-06-12 00:00:00-04:00,7.77,8.25,7.7,7.7,40300,0.0,0.0
2023-06-13 00:00:00-04:00,7.75,7.89,7.41,7.47,104200,0.0,0.0
2023-06-14 00:00:00-04:00,7.5,7.9,7.36,7.36,34300,0.0,0.0
2023-06-15 00:00:00-04:00,7.8,7.8,7.36,7.44,18800,0.0,0.0
2023-06-16 00:00:00-04:00,7.43,7.8,7.33,7.43,17500,0.0,0.0
2023-06-20 00:00:00-04:00,7.79,7.79,7.44,7.79,24700,0.0,0.0
2023-06-21 00:00:00-04:00,7.57,8.01,7.45,7.68,23600,0.0,0.0
2023-06-22 00:00:00-04:00,7.56,7.86,7.45,7.51,38800,0.0,0.0
2023-06-23 00:00:00-04:00,7.61,7.72,7.0,7.0,288200,0.0,0.0
2023-06-26 00:00:00-04:00,7.22,7.903,7.2,7.78,67200,0.0,0.0
2023-06-27 00:00:00-04:00,8.45,10.35,8.4,9.02,549000,0.0,0.0
2023-06-28 00:00:00-04:00,9.2,9.998,8.81,9.13,198500,0.0,0.0
2023-06-29 00:00:00-04:00,9.1,10.51,8.81,9.9,163000,0.0,0.0
2023-06-30 00:00:00-04:00,9.59,10.43,8.9,9.12,192000,0.0,0.0
2023-07-03 00:00:00-04:00,9.12,10.31,9.12,9.99,106100,0.0,0.0
2023-07-05 00:00:00-04:00,9.99,10.26,9.61,9.85,75100,0.0,0.0
2023-07-06 00:00:00-04:00,9.82,11.42,9.82,10.01,363200,0.0,0.0
2023-07-07 00:00:00-04:00,10.2,10.8,9.55,9.72,84900,0.0,0.0
2023-07-10 00:00:00-04:00,9.66,10.2,9.56,9.88,106900,0.0,0.0
2023-07-11 00:00:00-04:00,9.85,9.995,9.21,9.46,83300,0.0,0.0
