Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-09-12 00:00:00-04:00,27.0,31.41,26.96,30.5,9811600,0.0,0.0
2025-09-15 00:00:00-04:00,29.31,34.398,28.51,30.55,2441500,0.0,0.0
2025-09-16 00:00:00-04:00,30.48,32.38,30.3,31.08,1283800,0.0,0.0
2025-09-17 00:00:00-04:00,31.13,31.715,29.95,30.33,1111300,0.0,0.0
2025-09-18 00:00:00-04:00,30.02,31.03,28.31,29.72,3766200,0.0,0.0
2025-09-19 00:00:00-04:00,29.67,32.327,29.3,31.33,1011200,0.0,0.0
2025-09-22 00:00:00-04:00,31.16,32.81,30.76,32.74,443800,0.0,0.0
2025-09-23 00:00:00-04:00,33.0,33.6,32.037,33.4,391300,0.0,0.0
2025-09-24 00:00:00-04:00,33.4,34.3,33.09,33.88,530400,0.0,0.0
2025-09-25 00:00:00-04:00,33.26,33.42,31.17,32.08,662200,0.0,0.0
2025-09-26 00:00:00-04:00,32.03,32.5,30.4,31.67,513400,0.0,0.0
2025-09-29 00:00:00-04:00,30.82,31.98,30.54,31.12,1497100,0.0,0.0
2025-09-30 00:00:00-04:00,31.3,31.545,29.0,30.81,1765600,0.0,0.0
2025-10-01 00:00:00-04:00,30.81,32.16,30.101,31.66,1868400,0.0,0.0
2025-10-02 00:00:00-04:00,31.52,32.21,29.51,29.97,941800,0.0,0.0
2025-10-03 00:00:00-04:00,29.97,32.48,29.32,31.67,1161600,0.0,0.0
2025-10-06 00:00:00-04:00,31.3,31.92,29.94,30.57,606100,0.0,0.0
2025-10-07 00:00:00-04:00,31.31,32.13,29.45,32.0,1186700,0.0,0.0
2025-10-08 00:00:00-04:00,32.48,32.48,31.05,31.09,427300,0.0,0.0
2025-10-09 00:00:00-04:00,30.86,31.955,30.33,31.07,1183300,0.0,0.0
2025-10-10 00:00:00-04:00,31.08,31.73,30.65,31.25,568200,0.0,0.0
2025-10-13 00:00:00-04:00,31.2,32.48,30.69,32.03,486900,0.0,0.0
2025-10-14 00:00:00-04:00,32.01,32.17,30.75,31.61,485200,0.0,0.0
2025-10-15 00:00:00-04:00,31.62,33.74,31.33,33.5,779900,0.0,0.0
2025-10-16 00:00:00-04:00,33.43,33.9,32.16,33.64,404500,0.0,0.0
2025-10-17 00:00:00-04:00,33.9,34.57,33.151,33.82,498200,0.0,0.0
2025-10-20 00:00:00-04:00,34.33,36.555,33.502,35.62,506100,0.0,0.0
2025-10-21 00:00:00-04:00,35.71,35.89,33.77,35.13,703500,0.0,0.0
2025-10-22 00:00:00-04:00,35.23,35.46,32.33,32.87,549700,0.0,0.0
2025-10-23 00:00:00-04:00,32.28,33.265,31.26,32.6,782400,0.0,0.0
2025-10-24 00:00:00-04:00,34.27,37.9,34.27,36.12,1375000,0.0,0.0
2025-10-27 00:00:00-04:00,36.5,37.74,35.32,36.815,839100,0.0,0.0
2025-10-28 00:00:00-04:00,37.0,40.73,36.63,39.6,1872700,0.0,0.0
2025-10-29 00:00:00-04:00,39.68,43.0,39.04,41.54,1090100,0.0,0.0
2025-10-30 00:00:00-04:00,40.8,41.99,38.5,39.85,1601100,0.0,0.0
2025-10-31 00:00:00-04:00,40.0,42.49,39.658,41.37,998900,0.0,0.0
2025-11-03 00:00:00-05:00,41.69,43.82,40.8,41.43,601700,0.0,0.0
2025-11-04 00:00:00-05:00,40.9,41.97,38.11,38.31,895800,0.0,0.0
2025-11-05 00:00:00-05:00,38.5,40.24,38.5,39.0,477500,0.0,0.0
2025-11-06 00:00:00-05:00,39.515,39.605,36.48,36.54,548200,0.0,0.0
2025-11-07 00:00:00-05:00,35.99,36.569,34.4,35.49,993400,0.0,0.0
2025-11-10 00:00:00-05:00,35.97,36.71,35.0,36.58,714100,0.0,0.0
2025-11-11 00:00:00-05:00,36.42,37.28,35.41,36.24,707000,0.0,0.0
2025-11-12 00:00:00-05:00,36.26,36.93,35.21,36.7,589500,0.0,0.0
2025-11-13 00:00:00-05:00,36.65,36.7,33.01,33.32,641300,0.0,0.0
2025-11-14 00:00:00-05:00,35.0,42.04,35.0,40.27,2814200,0.0,0.0
2025-11-17 00:00:00-05:00,40.94,43.743,39.665,40.12,1105500,0.0,0.0
2025-11-18 00:00:00-05:00,40.95,45.63,39.93,44.93,1440600,0.0,0.0
2025-11-19 00:00:00-05:00,45.05,45.754,42.42,44.43,912100,0.0,0.0
2025-11-20 00:00:00-05:00,45.33,47.07,40.31,40.96,1000800,0.0,0.0
2025-11-21 00:00:00-05:00,41.42,42.7,40.296,40.77,692800,0.0,0.0
2025-11-24 00:00:00-05:00,41.73,44.745,41.73,43.79,893800,0.0,0.0
2025-11-25 00:00:00-05:00,43.66,45.499,43.285,44.99,607600,0.0,0.0
2025-11-26 00:00:00-05:00,45.61,47.0,44.56,45.76,653800,0.0,0.0
2025-11-28 00:00:00-05:00,45.94,46.93,45.35,45.98,299700,0.0,0.0
2025-12-01 00:00:00-05:00,45.88,46.02,43.89,44.82,483700,0.0,0.0
2025-12-02 00:00:00-05:00,44.72,46.37,43.96,44.19,387500,0.0,0.0
2025-12-03 00:00:00-05:00,44.22,47.3,42.83,45.96,440400,0.0,0.0
2025-12-04 00:00:00-05:00,46.08,50.2,46.08,48.24,733600,0.0,0.0
2025-12-05 00:00:00-05:00,47.89,48.18,46.0,46.79,529300,0.0,0.0
2025-12-08 00:00:00-05:00,47.98,49.74,46.06,47.5,885100,0.0,0.0
2025-12-09 00:00:00-05:00,47.74,49.42,47.38,48.48,455600,0.0,0.0
2025-12-10 00:00:00-05:00,45.65,48.25,44.42,45.3,757600,0.0,0.0
2025-12-11 00:00:00-05:00,45.32,46.5,43.57,45.8,748500,0.0,0.0
2025-12-12 00:00:00-05:00,45.68,45.68,41.5,41.74,5205100,0.0,0.0
2025-12-15 00:00:00-05:00,42.54,42.95,40.41,40.84,1603200,0.0,0.0
2025-12-16 00:00:00-05:00,40.17,42.02,40.05,41.92,1607900,0.0,0.0
2025-12-17 00:00:00-05:00,41.98,43.0,40.91,41.35,2043200,0.0,0.0
2025-12-18 00:00:00-05:00,41.91,43.98,41.91,43.5,1319700,0.0,0.0
2025-12-19 00:00:00-05:00,43.16,44.67,43.16,44.15,8275400,0.0,0.0
2025-12-22 00:00:00-05:00,44.43,45.0,43.74,44.12,743800,0.0,0.0
2025-12-23 00:00:00-05:00,43.81,44.87,43.66,44.72,409400,0.0,0.0
2025-12-24 00:00:00-05:00,44.48,45.04,44.23,44.29,365400,0.0,0.0
2025-12-26 00:00:00-05:00,44.07,44.98,43.536,44.6,517000,0.0,0.0
2025-12-29 00:00:00-05:00,44.09,44.87,43.713,43.86,1037600,0.0,0.0
2025-12-30 00:00:00-05:00,44.0,44.03,42.94,43.5,919000,0.0,0.0
2025-12-31 00:00:00-05:00,43.62,43.83,42.97,43.04,1206500,0.0,0.0
2026-01-02 00:00:00-05:00,42.95,45.23,42.82,44.68,1617100,0.0,0.0
2026-01-05 00:00:00-05:00,44.5,45.48,44.49,44.53,2333200,0.0,0.0
2026-01-06 00:00:00-05:00,44.89,46.8,44.01,46.0,2624500,0.0,0.0
2026-01-07 00:00:00-05:00,45.87,48.74,45.86,48.32,1954000,0.0,0.0
2026-01-08 00:00:00-05:00,47.97,48.77,43.465,43.53,957300,0.0,0.0
2026-01-09 00:00:00-05:00,44.01,45.11,43.38,44.5,741100,0.0,0.0
2026-01-12 00:00:00-05:00,44.5,46.51,43.65,45.25,623600,0.0,0.0
2026-01-13 00:00:00-05:00,45.47,46.86,45.4,45.75,1040900,0.0,0.0
2026-01-14 00:00:00-05:00,46.21,46.21,43.205,44.59,932700,0.0,0.0
2026-01-15 00:00:00-05:00,45.03,47.79,45.03,46.31,1313500,0.0,0.0
2026-01-16 00:00:00-05:00,47.1,49.61,46.46,49.59,1430800,0.0,0.0
2026-01-20 00:00:00-05:00,48.44,49.41,47.13,47.48,730300,0.0,0.0
2026-01-21 00:00:00-05:00,48.02,48.863,46.86,48.0,729400,0.0,0.0
2026-01-22 00:00:00-05:00,48.99,49.52,47.33,48.66,489600,0.0,0.0
2026-01-23 00:00:00-05:00,49.57,50.169,47.25,49.77,1468100,0.0,0.0
2026-01-26 00:00:00-05:00,51.18,52.475,49.84,51.17,1498000,0.0,0.0
2026-01-27 00:00:00-05:00,51.62,52.735,49.93,49.94,1074200,0.0,0.0
2026-01-28 00:00:00-05:00,50.45,51.75,49.2,51.22,828700,0.0,0.0
2026-01-29 00:00:00-05:00,51.66,52.22,50.29,51.57,815100,0.0,0.0
2026-01-30 00:00:00-05:00,51.1,52.64,46.14,46.91,2679400,0.0,0.0
2026-02-02 00:00:00-05:00,46.45,49.426,46.0,47.58,905500,0.0,0.0
2026-02-03 00:00:00-05:00,47.66,49.98,47.599,49.66,1054200,0.0,0.0
2026-02-04 00:00:00-05:00,49.59,50.06,44.453,45.19,921000,0.0,0.0
2026-02-05 00:00:00-05:00,44.1,46.45,43.89,44.43,780800,0.0,0.0
2026-02-06 00:00:00-05:00,44.71,48.95,44.71,48.87,1052900,0.0,0.0
2026-02-09 00:00:00-05:00,48.83,52.63,48.29,52.01,877200,0.0,0.0
2026-02-10 00:00:00-05:00,52.47,54.22,51.33,53.46,915800,0.0,0.0
