Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-01-31 00:00:00-05:00,17.3,18.01,16.705,17.75,5159600,0.0,0.0
2014-02-03 00:00:00-05:00,17.64,18.2,17.25,18.1,240100,0.0,0.0
2014-02-04 00:00:00-05:00,18.07,18.167,17.4,17.64,175300,0.0,0.0
2014-02-05 00:00:00-05:00,17.5,17.75,17.25,17.25,165600,0.0,0.0
2014-02-06 00:00:00-05:00,16.94,17.53,16.67,17.15,237700,0.0,0.0
2014-02-07 00:00:00-05:00,17.25,17.7,17.11,17.54,117300,0.0,0.0
2014-02-10 00:00:00-05:00,17.59,17.79,17.4,17.53,28200,0.0,0.0
2014-02-11 00:00:00-05:00,17.5,17.78,17.4,17.43,82800,0.0,0.0
2014-02-12 00:00:00-05:00,17.3,17.63,17.13,17.63,65800,0.0,0.0
2014-02-13 00:00:00-05:00,17.6,17.75,16.98,17.07,66100,0.0,0.0
2014-02-14 00:00:00-05:00,17.07,17.91,17.05,17.89,37900,0.0,0.0
2014-02-18 00:00:00-05:00,17.9,17.9,17.52,17.75,104900,0.0,0.0
2014-02-19 00:00:00-05:00,17.96,17.96,17.7,17.71,62100,0.0,0.0
2014-02-20 00:00:00-05:00,17.75,19.29,17.74,18.29,310100,0.0,0.0
2014-02-21 00:00:00-05:00,18.29,18.501,17.95,18.35,112400,0.0,0.0
2014-02-24 00:00:00-05:00,18.3,18.73,18.0,18.2,81300,0.0,0.0
2014-02-25 00:00:00-05:00,18.17,18.39,17.73,18.15,182500,0.0,0.0
2014-02-26 00:00:00-05:00,18.21,18.21,17.9,17.98,56800,0.0,0.0
2014-02-27 00:00:00-05:00,17.9,18.25,17.85,18.18,88200,0.0,0.0
2014-02-28 00:00:00-05:00,18.23,18.738,18.03,18.43,83900,0.0,0.0
2014-03-03 00:00:00-05:00,18.33,18.73,18.32,18.65,34200,0.0,0.0
2014-03-04 00:00:00-05:00,18.76,20.27,18.755,19.88,342700,0.0,0.0
2014-03-05 00:00:00-05:00,20.08,21.28,19.542,20.85,165000,0.0,0.0
2014-03-06 00:00:00-05:00,20.25,22.99,20.0,21.76,340900,0.0,0.0
2014-03-07 00:00:00-05:00,21.89,23.02,21.0,22.99,604500,0.0,0.0
2014-03-10 00:00:00-04:00,23.5,24.9,23.09,23.9,201200,0.0,0.0
2014-03-11 00:00:00-04:00,23.81,24.46,21.56,22.24,218000,0.0,0.0
2014-03-12 00:00:00-04:00,22.15,22.89,21.89,22.42,56200,0.0,0.0
