Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-10-19 00:00:00-04:00,33.0,34.0,29.1,32.07,11508500,0.0,0.0
2017-10-20 00:00:00-04:00,33.37,33.37,30.1,30.68,2358700,0.0,0.0
2017-10-23 00:00:00-04:00,30.51,31.33,30.19,30.5,749400,0.0,0.0
2017-10-24 00:00:00-04:00,30.46,30.92,30.439,30.57,420700,0.0,0.0
2017-10-25 00:00:00-04:00,30.5,31.1,29.88,31.0,1219400,0.0,0.0
2017-10-26 00:00:00-04:00,31.68,31.73,30.729,31.1,605200,0.0,0.0
2017-10-27 00:00:00-04:00,31.01,31.29,30.0,30.89,549500,0.0,0.0
2017-10-30 00:00:00-04:00,30.69,30.69,29.59,29.85,727800,0.0,0.0
2017-10-31 00:00:00-04:00,29.8,30.68,29.8,30.48,318100,0.0,0.0
2017-11-01 00:00:00-04:00,30.37,30.57,29.702,29.8,432000,0.0,0.0
2017-11-02 00:00:00-04:00,29.72,30.46,29.661,29.95,313400,0.0,0.0
2017-11-03 00:00:00-04:00,29.89,30.17,29.35,29.63,229200,0.0,0.0
2017-11-06 00:00:00-05:00,29.63,30.72,29.36,30.61,304800,0.0,0.0
2017-11-07 00:00:00-05:00,30.61,30.89,29.71,29.81,279000,0.0,0.0
2017-11-08 00:00:00-05:00,29.69,29.99,29.41,29.88,241300,0.0,0.0
2017-11-09 00:00:00-05:00,29.7,29.9,29.01,29.22,204700,0.0,0.0
2017-11-10 00:00:00-05:00,29.16,30.26,29.16,30.2,137500,0.0,0.0
2017-11-13 00:00:00-05:00,29.65,31.11,29.297,30.68,296200,0.0,0.0
2017-11-14 00:00:00-05:00,30.68,30.7,29.695,29.88,124400,0.0,0.0
2017-11-15 00:00:00-05:00,29.76,30.106,29.57,29.63,176000,0.0,0.0
2017-11-16 00:00:00-05:00,29.69,30.32,29.69,29.87,140700,0.0,0.0
2017-11-17 00:00:00-05:00,29.98,30.13,29.59,29.83,89800,0.0,0.0
2017-11-20 00:00:00-05:00,29.87,29.931,29.075,29.26,292400,0.0,0.0
2017-11-21 00:00:00-05:00,29.25,29.49,29.01,29.21,242200,0.0,0.0
2017-11-22 00:00:00-05:00,29.39,29.56,29.2,29.28,225400,0.0,0.0
2017-11-24 00:00:00-05:00,29.31,29.99,29.25,29.92,81200,0.0,0.0
2017-11-27 00:00:00-05:00,29.95,29.95,29.07,29.69,171400,0.0,0.0
2017-11-28 00:00:00-05:00,29.81,30.0,29.51,29.55,153300,0.0,0.0
2017-11-29 00:00:00-05:00,29.39,29.57,28.5,28.71,679700,0.0,0.0
2017-11-30 00:00:00-05:00,28.8,29.03,28.41,28.53,198100,0.0,0.0
2017-12-01 00:00:00-05:00,28.53,28.6,27.52,27.8,229200,0.0,0.0
2017-12-04 00:00:00-05:00,28.12,28.252,27.26,27.36,170600,0.0,0.0
2017-12-05 00:00:00-05:00,27.31,27.31,25.86,26.15,392800,0.0,0.0
2017-12-06 00:00:00-05:00,26.0,27.1,25.69,26.87,400100,0.0,0.0
2017-12-07 00:00:00-05:00,26.89,27.49,26.53,26.62,244100,0.0,0.0
2017-12-08 00:00:00-05:00,26.77,26.905,25.62,25.76,295800,0.0,0.0
2017-12-11 00:00:00-05:00,25.77,27.0,24.62,26.86,706900,0.0,0.0
2017-12-12 00:00:00-05:00,27.15,29.1,26.57,29.0,1164700,0.0,0.0
