Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1995-12-05 00:00:00-05:00,67.5,85.0,67.5,80.0,3595,0.0,0.0
1995-12-06 00:00:00-05:00,82.5,87.5,82.5,85.0,340,0.0,0.0
1995-12-07 00:00:00-05:00,87.5,90.0,77.5,90.0,750,0.0,0.0
1995-12-08 00:00:00-05:00,92.5,92.5,82.5,82.5,295,0.0,0.0
1995-12-11 00:00:00-05:00,85.0,87.5,85.0,87.5,75,0.0,0.0
1995-12-12 00:00:00-05:00,90.0,100.0,90.0,95.0,325,0.0,0.0
1995-12-13 00:00:00-05:00,92.5,92.5,75.0,77.5,3475,0.0,0.0
1995-12-14 00:00:00-05:00,76.25,78.75,71.25,75.0,1195,0.0,0.0
1995-12-15 00:00:00-05:00,77.5,77.5,62.5,67.5,1180,0.0,0.0
1995-12-18 00:00:00-05:00,67.5,68.75,60.0,67.5,1250,0.0,0.0
1995-12-19 00:00:00-05:00,70.0,70.0,65.0,66.25,2395,0.0,0.0
1995-12-20 00:00:00-05:00,65.0,80.0,65.0,72.5,4030,0.0,0.0
1995-12-21 00:00:00-05:00,70.0,85.0,70.0,82.5,4205,0.0,0.0
1995-12-22 00:00:00-05:00,80.0,80.0,72.5,73.75,1720,0.0,0.0
1995-12-26 00:00:00-05:00,72.5,75.0,67.5,70.0,2840,0.0,0.0
1995-12-27 00:00:00-05:00,72.5,73.75,68.75,70.0,2040,0.0,0.0
1995-12-28 00:00:00-05:00,70.0,72.5,67.5,72.5,1480,0.0,0.0
1995-12-29 00:00:00-05:00,70.0,75.0,67.5,75.0,6020,0.0,0.0
1996-01-02 00:00:00-05:00,72.5,80.0,72.5,80.0,3825,0.0,0.0
1996-01-03 00:00:00-05:00,80.0,81.25,78.75,80.0,4085,0.0,0.0
1996-01-04 00:00:00-05:00,80.0,81.25,77.5,77.5,3220,0.0,0.0
1996-01-05 00:00:00-05:00,77.5,77.5,75.0,77.5,565,0.0,0.0
1996-01-08 00:00:00-05:00,75.0,75.0,75.0,75.0,155,0.0,0.0
1996-01-09 00:00:00-05:00,75.0,80.0,73.75,77.5,1105,0.0,0.0
1996-01-10 00:00:00-05:00,72.5,75.0,70.0,70.0,1150,0.0,0.0
1996-01-11 00:00:00-05:00,72.5,72.5,68.75,70.0,1590,0.0,0.0
1996-01-12 00:00:00-05:00,70.0,70.0,67.5,68.75,630,0.0,0.0
1996-01-15 00:00:00-05:00,71.25,72.5,68.75,71.25,1840,0.0,0.0
1996-01-16 00:00:00-05:00,71.25,71.25,67.5,70.0,910,0.0,0.0
1996-01-17 00:00:00-05:00,68.75,70.0,65.0,70.0,1870,0.0,0.0
1996-01-18 00:00:00-05:00,70.0,72.5,68.75,71.25,3140,0.0,0.0
