Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-05-21 00:00:00-04:00,4.0,9.79,3.75,4.68,7904700,0.0,0.0
2025-05-22 00:00:00-04:00,4.68,5.75,4.45,4.794,1231500,0.0,0.0
2025-05-23 00:00:00-04:00,4.7,5.2,4.6,4.79,320000,0.0,0.0
2025-05-27 00:00:00-04:00,4.8,7.39,4.7,5.1,4784200,0.0,0.0
2025-05-28 00:00:00-04:00,5.21,5.488,4.9,5.15,1566100,0.0,0.0
2025-05-29 00:00:00-04:00,5.25,5.3,4.9,5.2,684000,0.0,0.0
2025-05-30 00:00:00-04:00,5.2,5.2,4.33,4.82,1476700,0.0,0.0
2025-06-02 00:00:00-04:00,5.0,5.3,4.752,5.26,1202300,0.0,0.0
2025-06-03 00:00:00-04:00,5.37,5.8,4.8,5.06,4512300,0.0,0.0
2025-06-04 00:00:00-04:00,5.2,5.45,4.44,4.47,2354600,0.0,0.0
2025-06-05 00:00:00-04:00,4.25,4.699,2.37,2.77,1241500,0.0,0.0
2025-06-06 00:00:00-04:00,2.8,2.99,2.38,2.38,4231200,0.0,0.0
2025-06-09 00:00:00-04:00,2.201,2.31,1.8,1.99,1025600,0.0,0.0
2025-06-10 00:00:00-04:00,1.79,2.21,1.79,2.14,660700,0.0,0.0
2025-06-11 00:00:00-04:00,2.02,2.22,2.02,2.19,255900,0.0,0.0
2025-06-12 00:00:00-04:00,2.14,2.2,1.81,1.97,316000,0.0,0.0
2025-06-13 00:00:00-04:00,1.92,1.97,1.52,1.55,312700,0.0,0.0
2025-06-16 00:00:00-04:00,1.56,1.63,1.09,1.24,1091700,0.0,0.0
2025-06-17 00:00:00-04:00,1.2,1.44,1.15,1.37,501000,0.0,0.0
2025-06-18 00:00:00-04:00,1.37,1.51,1.355,1.38,326600,0.0,0.0
2025-06-20 00:00:00-04:00,1.43,1.75,1.4,1.75,1203200,0.0,0.0
2025-06-23 00:00:00-04:00,1.67,1.734,1.55,1.6,240800,0.0,0.0
2025-06-24 00:00:00-04:00,1.6,1.665,1.53,1.57,220600,0.0,0.0
2025-06-25 00:00:00-04:00,1.53,1.949,1.53,1.82,480200,0.0,0.0
2025-06-26 00:00:00-04:00,1.72,1.905,1.72,1.76,196000,0.0,0.0
2025-06-27 00:00:00-04:00,1.8,1.869,1.65,1.8,483600,0.0,0.0
2025-06-30 00:00:00-04:00,1.88,1.88,1.69,1.76,122200,0.0,0.0
2025-07-01 00:00:00-04:00,1.72,1.75,1.65,1.675,117300,0.0,0.0
2025-07-02 00:00:00-04:00,1.69,2.06,1.69,2.05,475800,0.0,0.0
2025-07-03 00:00:00-04:00,2.05,2.12,2.02,2.06,149400,0.0,0.0
2025-07-07 00:00:00-04:00,2.09,2.513,1.97,1.97,516800,0.0,0.0
2025-07-08 00:00:00-04:00,2.02,2.094,1.76,2.0,330200,0.0,0.0
2025-07-09 00:00:00-04:00,2.0,2.1,1.86,2.09,427000,0.0,0.0
2025-07-10 00:00:00-04:00,1.97,2.09,1.9,2.03,171400,0.0,0.0
2025-07-11 00:00:00-04:00,2.12,2.76,2.075,2.735,665700,0.0,0.0
2025-07-14 00:00:00-04:00,2.63,3.37,2.63,3.32,721900,0.0,0.0
2025-07-15 00:00:00-04:00,2.72,3.147,1.9,2.21,1871100,0.0,0.0
2025-07-16 00:00:00-04:00,2.27,2.55,1.98,1.99,451900,0.0,0.0
2025-07-17 00:00:00-04:00,1.96,1.98,1.71,1.96,717500,0.0,0.0
2025-07-18 00:00:00-04:00,2.0,2.0,1.88,1.92,129500,0.0,0.0
2025-07-21 00:00:00-04:00,1.93,1.988,1.6,1.7,334700,0.0,0.0
2025-07-22 00:00:00-04:00,1.7,1.8,1.7,1.73,5583000,0.0,0.0
2025-07-23 00:00:00-04:00,2.24,2.42,2.02,2.24,27540900,0.0,0.0
2025-07-24 00:00:00-04:00,2.05,2.09,1.83,1.86,987300,0.0,0.0
2025-07-25 00:00:00-04:00,1.85,1.991,1.85,1.92,184800,0.0,0.0
2025-07-28 00:00:00-04:00,1.9,1.93,1.71,1.74,364600,0.0,0.0
2025-07-29 00:00:00-04:00,1.713,1.75,1.61,1.65,170100,0.0,0.0
2025-07-30 00:00:00-04:00,1.67,1.73,1.61,1.67,138900,0.0,0.0
2025-07-31 00:00:00-04:00,1.63,1.678,1.5,1.62,234700,0.0,0.0
