Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-26 00:00:00-04:00,48.3,51.9,40.86,51.0,3669850,0.0,0.0
2021-03-29 00:00:00-04:00,49.62,51.0,46.29,47.52,1661217,0.0,0.0
2021-03-30 00:00:00-04:00,47.4,48.54,44.52,45.0,1048667,0.0,0.0
2021-03-31 00:00:00-04:00,45.96,50.46,45.72,48.66,761483,0.0,0.0
2021-04-01 00:00:00-04:00,50.88,55.56,50.7,53.94,1017283,0.0,0.0
2021-04-05 00:00:00-04:00,54.36,56.04,52.74,54.06,263450,0.0,0.0
2021-04-06 00:00:00-04:00,54.3,56.88,52.86,56.34,236317,0.0,0.0
2021-04-07 00:00:00-04:00,56.22,56.94,53.1,53.7,488567,0.0,0.0
2021-04-08 00:00:00-04:00,54.6,55.38,52.2,53.76,276183,0.0,0.0
2021-04-09 00:00:00-04:00,53.4,53.94,50.16,51.36,450850,0.0,0.0
2021-04-12 00:00:00-04:00,50.4,50.94,46.32,46.74,409867,0.0,0.0
2021-04-13 00:00:00-04:00,47.1,50.76,47.1,50.46,407067,0.0,0.0
2021-04-14 00:00:00-04:00,50.52,52.5,49.38,52.2,288267,0.0,0.0
2021-04-15 00:00:00-04:00,52.74,54.3,51.54,54.12,330250,0.0,0.0
2021-04-16 00:00:00-04:00,54.6,57.24,54.3,57.0,685983,0.0,0.0
2021-04-19 00:00:00-04:00,57.0,58.98,55.44,56.58,504150,0.0,0.0
2021-04-20 00:00:00-04:00,58.14,58.14,54.06,54.9,460583,0.0,0.0
2021-04-21 00:00:00-04:00,54.9,58.74,54.9,57.6,320350,0.0,0.0
2021-04-22 00:00:00-04:00,58.56,58.56,56.46,57.0,295333,0.0,0.0
2021-04-23 00:00:00-04:00,59.34,66.0,58.2,66.0,739267,0.0,0.0
2021-04-26 00:00:00-04:00,65.28,65.4,61.08,62.1,348933,0.0,0.0
2021-04-27 00:00:00-04:00,64.02,64.38,60.18,63.42,279167,0.0,0.0
2021-04-28 00:00:00-04:00,64.02,64.14,62.1,62.82,86383,0.0,0.0
2021-04-29 00:00:00-04:00,62.82,63.12,57.48,59.4,208333,0.0,0.0
2021-04-30 00:00:00-04:00,57.84,58.89,55.56,57.36,102050,0.0,0.0
2021-05-03 00:00:00-04:00,56.94,57.06,53.4,55.02,163633,0.0,0.0
2021-05-04 00:00:00-04:00,55.2,55.5,50.28,52.26,199933,0.0,0.0
2021-05-05 00:00:00-04:00,53.16,53.58,50.52,51.12,131167,0.0,0.0
2021-05-06 00:00:00-04:00,50.46,51.3,46.98,48.18,530600,0.0,0.0
2021-05-07 00:00:00-04:00,48.42,51.234,47.46,48.9,290700,0.0,0.0
2021-05-10 00:00:00-04:00,48.84,48.9,44.58,46.62,305850,0.0,0.0
2021-05-11 00:00:00-04:00,46.26,49.8,45.0,47.82,241150,0.0,0.0
2021-05-12 00:00:00-04:00,48.0,49.5,46.68,46.74,173633,0.0,0.0
2021-05-13 00:00:00-04:00,47.04,48.48,46.2,46.86,139117,0.0,0.0
2021-05-14 00:00:00-04:00,47.88,48.48,46.2,47.94,223133,0.0,0.0
2021-05-17 00:00:00-04:00,49.74,51.6,46.8,47.46,217217,0.0,0.0
2021-05-18 00:00:00-04:00,48.3,48.48,46.2,46.32,196883,0.0,0.0
2021-05-19 00:00:00-04:00,46.2,48.3,45.24,46.92,152800,0.0,0.0
2021-05-20 00:00:00-04:00,47.28,47.82,46.38,46.92,132467,0.0,0.0
2021-05-21 00:00:00-04:00,47.76,48.06,46.68,46.92,168500,0.0,0.0
2021-05-24 00:00:00-04:00,47.34,48.9,46.8,46.8,97217,0.0,0.0
2021-05-25 00:00:00-04:00,47.34,52.2,47.106,50.7,307433,0.0,0.0
2021-05-26 00:00:00-04:00,51.0,54.24,50.922,53.88,256000,0.0,0.0
2021-05-27 00:00:00-04:00,54.54,55.68,52.68,55.44,230783,0.0,0.0
2021-05-28 00:00:00-04:00,54.84,56.16,53.4,55.86,208867,0.0,0.0
2021-06-01 00:00:00-04:00,56.76,58.8,54.72,57.96,301067,0.0,0.0
2021-06-02 00:00:00-04:00,57.06,58.74,56.34,58.26,201350,0.0,0.0
2021-06-03 00:00:00-04:00,57.42,57.42,54.36,55.38,220250,0.0,0.0
2021-06-04 00:00:00-04:00,54.66,59.28,54.12,58.68,205183,0.0,0.0
2021-06-07 00:00:00-04:00,57.96,61.08,57.96,60.96,261683,0.0,0.0
2021-06-08 00:00:00-04:00,60.96,62.82,59.88,61.86,213833,0.0,0.0
2021-06-09 00:00:00-04:00,60.66,63.9,60.42,63.42,240000,0.0,0.0
2021-06-10 00:00:00-04:00,64.2,66.42,60.12,60.6,325750,0.0,0.0
2021-06-11 00:00:00-04:00,60.42,70.5,59.28,69.3,1430367,0.0,0.0
2021-06-14 00:00:00-04:00,68.04,70.86,67.38,69.9,370183,0.0,0.0
2021-06-15 00:00:00-04:00,71.04,71.88,68.64,69.96,358617,0.0,0.0
2021-06-16 00:00:00-04:00,68.82,74.88,61.92,64.44,624867,0.0,0.0
2021-06-17 00:00:00-04:00,64.62,68.22,61.5,67.98,457167,0.0,0.0
2021-06-18 00:00:00-04:00,68.7,68.94,65.7,66.42,462350,0.0,0.0
2021-06-21 00:00:00-04:00,67.26,67.26,60.726,63.12,266367,0.0,0.0
2021-06-22 00:00:00-04:00,62.22,62.874,60.0,61.74,241500,0.0,0.0
2021-06-23 00:00:00-04:00,63.0,65.538,61.62,62.94,350367,0.0,0.0
2021-06-24 00:00:00-04:00,63.0,65.82,62.82,64.5,191050,0.0,0.0
2021-06-25 00:00:00-04:00,64.08,67.2,62.46,66.84,406150,0.0,0.0
2021-06-28 00:00:00-04:00,67.8,71.22,66.9,70.62,336817,0.0,0.0
2021-06-29 00:00:00-04:00,70.38,80.94,69.828,78.48,573900,0.0,0.0
2021-06-30 00:00:00-04:00,79.02,83.094,77.76,81.36,473283,0.0,0.0
2021-07-01 00:00:00-04:00,81.12,82.14,72.78,75.42,273333,0.0,0.0
2021-07-02 00:00:00-04:00,75.0,77.04,73.5,75.06,129567,0.0,0.0
2021-07-06 00:00:00-04:00,70.02,70.02,63.12,63.6,567367,0.0,0.0
2021-07-07 00:00:00-04:00,65.46,65.46,55.26,55.5,684850,0.0,0.0
2021-07-08 00:00:00-04:00,54.0,60.24,52.8,56.7,391100,0.0,0.0
2021-07-09 00:00:00-04:00,57.48,64.5,57.48,63.12,515500,0.0,0.0
2021-07-12 00:00:00-04:00,64.08,64.92,58.68,60.06,322833,0.0,0.0
2021-07-13 00:00:00-04:00,60.0,68.22,59.46,63.72,686883,0.0,0.0
2021-07-14 00:00:00-04:00,64.2,67.794,64.2,65.28,313250,0.0,0.0
2021-07-15 00:00:00-04:00,66.42,68.34,63.72,66.54,289867,0.0,0.0
2021-07-16 00:00:00-04:00,67.62,68.7,65.64,66.42,270217,0.0,0.0
2021-07-19 00:00:00-04:00,63.0,69.48,62.904,67.62,325633,0.0,0.0
2021-07-20 00:00:00-04:00,68.94,76.08,65.82,75.54,300367,0.0,0.0
2021-07-21 00:00:00-04:00,73.5,75.84,70.38,71.46,262533,0.0,0.0
2021-07-22 00:00:00-04:00,72.0,73.08,69.78,71.4,162867,0.0,0.0
2021-07-23 00:00:00-04:00,67.14,67.98,60.6,61.62,413717,0.0,0.0
2021-07-26 00:00:00-04:00,55.56,61.5,55.14,55.98,448400,0.0,0.0
2021-07-27 00:00:00-04:00,54.72,57.0,49.38,54.48,466217,0.0,0.0
2021-07-28 00:00:00-04:00,58.2,63.0,55.8,62.4,350450,0.0,0.0
2021-07-29 00:00:00-04:00,65.28,65.28,57.69,59.34,240067,0.0,0.0
2021-07-30 00:00:00-04:00,60.3,60.72,54.6,55.38,126983,0.0,0.0
2021-08-02 00:00:00-04:00,57.54,59.7,55.32,58.68,126367,0.0,0.0
2021-08-03 00:00:00-04:00,57.06,58.56,55.38,57.12,122150,0.0,0.0
2021-08-04 00:00:00-04:00,57.54,60.9,57.36,60.12,160800,0.0,0.0
2021-08-05 00:00:00-04:00,59.94,62.04,57.18,60.06,169583,0.0,0.0
2021-08-06 00:00:00-04:00,61.02,61.62,57.36,59.16,189100,0.0,0.0
2021-08-09 00:00:00-04:00,59.52,63.3,59.52,62.46,211983,0.0,0.0
2021-08-10 00:00:00-04:00,64.2,66.24,60.12,62.64,253867,0.0,0.0
2021-08-11 00:00:00-04:00,62.16,64.32,61.14,61.14,256767,0.0,0.0
2021-08-12 00:00:00-04:00,61.08,61.74,58.74,59.22,234650,0.0,0.0
2021-08-13 00:00:00-04:00,58.2,60.78,55.8,55.8,272917,0.0,0.0
2021-08-16 00:00:00-04:00,55.2,59.4,55.2,58.68,356100,0.0,0.0
2021-08-17 00:00:00-04:00,55.92,57.36,53.52,54.0,497367,0.0,0.0
2021-08-18 00:00:00-04:00,55.14,56.256,53.28,54.78,313517,0.0,0.0
2021-08-19 00:00:00-04:00,53.64,55.14,51.6,53.46,315983,0.0,0.0
2021-08-20 00:00:00-04:00,54.0,63.48,54.0,61.5,794700,0.0,0.0
2021-08-23 00:00:00-04:00,61.98,62.25,54.792,56.52,681133,0.0,0.0
2021-08-24 00:00:00-04:00,59.22,64.38,59.1,63.84,441600,0.0,0.0
2021-08-25 00:00:00-04:00,61.02,62.28,58.326,60.96,430300,0.0,0.0
2021-08-26 00:00:00-04:00,60.24,61.08,57.42,58.5,222617,0.0,0.0
2021-08-27 00:00:00-04:00,58.5,60.36,58.2,58.56,109567,0.0,0.0
2021-08-30 00:00:00-04:00,57.48,59.16,56.7,57.6,237900,0.0,0.0
2021-08-31 00:00:00-04:00,59.94,60.3,57.24,57.48,262450,0.0,0.0
2021-09-01 00:00:00-04:00,58.92,64.8,58.17,63.72,654867,0.0,0.0
2021-09-02 00:00:00-04:00,63.0,68.34,63.0,65.82,432583,0.0,0.0
2021-09-03 00:00:00-04:00,65.76,67.08,64.194,66.24,258433,0.0,0.0
2021-09-07 00:00:00-04:00,67.32,71.94,67.26,71.88,366967,0.0,0.0
2021-09-08 00:00:00-04:00,71.88,72.48,65.97,66.48,392000,0.0,0.0
2021-09-09 00:00:00-04:00,64.2,67.08,63.96,64.02,201067,0.0,0.0
2021-09-10 00:00:00-04:00,64.56,68.28,64.56,64.74,212050,0.0,0.0
2021-09-13 00:00:00-04:00,64.68,65.64,60.3,60.72,358850,0.0,0.0
2021-09-14 00:00:00-04:00,59.28,60.78,58.08,58.38,348100,0.0,0.0
2021-09-15 00:00:00-04:00,58.14,58.56,56.046,57.9,400933,0.0,0.0
2021-09-16 00:00:00-04:00,58.08,59.88,57.63,57.9,286683,0.0,0.0
2021-09-17 00:00:00-04:00,59.34,59.58,55.38,56.1,1100867,0.0,0.0
2021-09-20 00:00:00-04:00,54.0,54.0,45.72,47.22,1387067,0.0,0.0
2021-09-21 00:00:00-04:00,48.78,49.56,44.52,45.06,1348233,0.0,0.0
2021-09-22 00:00:00-04:00,46.44,50.22,46.44,46.86,1414083,0.0,0.0
2021-09-23 00:00:00-04:00,48.6,51.366,48.12,50.4,1244567,0.0,0.0
2021-09-24 00:00:00-04:00,49.86,51.66,49.44,49.74,640783,0.0,0.0
2021-09-27 00:00:00-04:00,50.16,53.7,49.32,52.86,427300,0.0,0.0
2021-09-28 00:00:00-04:00,51.9,53.94,49.8,52.2,280417,0.0,0.0
2021-09-29 00:00:00-04:00,52.74,52.74,50.76,52.74,421933,0.0,0.0
2021-09-30 00:00:00-04:00,52.26,55.44,51.78,55.38,286250,0.0,0.0
2021-10-01 00:00:00-04:00,54.9,55.74,52.92,54.9,195817,0.0,0.0
2021-10-04 00:00:00-04:00,53.1,53.28,50.46,50.7,279600,0.0,0.0
2021-10-05 00:00:00-04:00,51.0,53.22,50.76,52.5,188833,0.0,0.0
2021-10-06 00:00:00-04:00,51.12,54.84,50.7,54.48,194967,0.0,0.0
2021-10-07 00:00:00-04:00,56.04,61.08,55.98,60.36,436100,0.0,0.0
2021-10-08 00:00:00-04:00,59.34,62.7,58.62,62.4,403950,0.0,0.0
2021-10-11 00:00:00-04:00,63.72,63.96,57.06,58.5,670950,0.0,0.0
2021-10-12 00:00:00-04:00,59.52,59.88,56.46,59.58,334083,0.0,0.0
2021-10-13 00:00:00-04:00,59.7,64.26,59.58,63.12,628267,0.0,0.0
2021-10-14 00:00:00-04:00,61.32,62.46,60.84,61.26,160550,0.0,0.0
2021-10-15 00:00:00-04:00,61.2,61.26,58.02,59.94,330850,0.0,0.0
2021-10-18 00:00:00-04:00,58.2,60.3,58.02,59.58,309383,0.0,0.0
2021-10-19 00:00:00-04:00,60.84,64.14,59.52,60.78,621900,0.0,0.0
2021-10-20 00:00:00-04:00,62.64,62.88,58.98,60.66,517317,0.0,0.0
2021-10-21 00:00:00-04:00,60.96,63.54,59.94,61.5,483083,0.0,0.0
2021-10-22 00:00:00-04:00,61.14,61.2,58.26,58.32,288883,0.0,0.0
2021-10-25 00:00:00-04:00,58.74,59.28,55.86,56.64,290967,0.0,0.0
2021-10-26 00:00:00-04:00,56.94,57.36,51.84,52.32,365933,0.0,0.0
2021-10-27 00:00:00-04:00,52.86,54.18,51.78,52.2,250800,0.0,0.0
2021-10-28 00:00:00-04:00,52.14,53.1,49.92,52.2,183200,0.0,0.0
2021-10-29 00:00:00-04:00,52.2,53.22,48.99,49.56,329233,0.0,0.0
2021-11-01 00:00:00-04:00,49.62,53.07,49.08,52.68,272517,0.0,0.0
2021-11-02 00:00:00-04:00,51.6,53.28,50.46,52.08,238867,0.0,0.0
2021-11-03 00:00:00-04:00,52.92,53.1,51.54,52.92,202533,0.0,0.0
2021-11-04 00:00:00-04:00,54.69,54.84,50.16,50.82,241183,0.0,0.0
2021-11-05 00:00:00-04:00,51.06,51.75,48.6,50.22,188650,0.0,0.0
2021-11-08 00:00:00-05:00,51.18,53.52,51.0,52.92,146533,0.0,0.0
2021-11-09 00:00:00-05:00,52.44,52.92,50.22,51.48,108467,0.0,0.0
2021-11-10 00:00:00-05:00,52.02,55.44,51.18,51.6,337000,0.0,0.0
2021-11-11 00:00:00-05:00,53.1,58.2,52.92,56.22,393817,0.0,0.0
2021-11-12 00:00:00-05:00,55.26,56.58,53.46,55.86,346650,0.0,0.0
2021-11-15 00:00:00-05:00,56.52,58.02,55.8,56.4,221283,0.0,0.0
2021-11-16 00:00:00-05:00,57.24,57.24,52.74,53.88,203683,0.0,0.0
2021-11-17 00:00:00-05:00,53.7,53.88,51.72,52.14,153967,0.0,0.0
2021-11-18 00:00:00-05:00,50.4,50.76,47.7,47.88,423200,0.0,0.0
2021-11-19 00:00:00-05:00,48.72,49.74,47.1,47.46,330433,0.0,0.0
2021-11-22 00:00:00-05:00,49.86,51.6,47.94,49.32,393867,0.0,0.0
2021-11-23 00:00:00-05:00,49.8,50.1,45.63,46.14,425400,0.0,0.0
2021-11-24 00:00:00-05:00,46.14,49.44,45.6,49.26,210750,0.0,0.0
2021-11-26 00:00:00-05:00,46.86,47.58,45.06,47.1,326883,0.0,0.0
2021-11-29 00:00:00-05:00,48.42,48.48,43.77,43.92,454400,0.0,0.0
2021-11-30 00:00:00-05:00,43.92,45.0,41.88,43.86,404950,0.0,0.0
2021-12-01 00:00:00-05:00,44.58,46.35,42.48,42.96,425633,0.0,0.0
2021-12-02 00:00:00-05:00,43.08,43.2,40.26,41.76,480950,0.0,0.0
2021-12-03 00:00:00-05:00,39.9,40.32,37.2,38.1,715950,0.0,0.0
2021-12-06 00:00:00-05:00,37.8,40.26,34.86,38.1,614883,0.0,0.0
2021-12-07 00:00:00-05:00,39.9,40.92,39.3,40.74,369117,0.0,0.0
2021-12-08 00:00:00-05:00,40.2,41.82,38.64,40.86,382933,0.0,0.0
2021-12-09 00:00:00-05:00,40.32,40.854,38.76,38.94,321367,0.0,0.0
2021-12-10 00:00:00-05:00,39.18,40.26,38.1,38.28,832917,0.0,0.0
2021-12-13 00:00:00-05:00,38.04,38.28,36.24,36.66,345533,0.0,0.0
2021-12-14 00:00:00-05:00,35.94,37.29,35.28,35.76,462500,0.0,0.0
2021-12-15 00:00:00-05:00,35.4,36.18,33.96,35.52,413517,0.0,0.0
2021-12-16 00:00:00-05:00,36.24,37.14,34.62,35.04,324767,0.0,0.0
2021-12-17 00:00:00-05:00,33.48,34.8,32.01,34.32,386067,0.0,0.0
2021-12-20 00:00:00-05:00,31.62,32.46,28.8,31.02,1068133,0.0,0.0
2021-12-21 00:00:00-05:00,30.36,32.76,30.06,32.1,348567,0.0,0.0
2021-12-22 00:00:00-05:00,31.56,33.3,31.5,32.64,378333,0.0,0.0
2021-12-23 00:00:00-05:00,31.5,31.74,30.18,31.68,449717,0.0,0.0
2021-12-27 00:00:00-05:00,31.8,34.02,31.8,32.52,279067,0.0,0.0
2021-12-28 00:00:00-05:00,32.7,33.24,30.69,31.5,268550,0.0,0.0
2021-12-29 00:00:00-05:00,31.44,31.44,29.43,30.66,368900,0.0,0.0
2021-12-30 00:00:00-05:00,31.44,34.77,30.42,34.08,595583,0.0,0.0
2021-12-31 00:00:00-05:00,33.24,33.9,32.52,33.24,313667,0.0,0.0
2022-01-03 00:00:00-05:00,33.12,33.36,31.2,31.92,224300,0.0,0.0
2022-01-04 00:00:00-05:00,31.44,31.5,29.01,29.7,328983,0.0,0.0
2022-01-05 00:00:00-05:00,28.8,30.06,28.05,28.14,566683,0.0,0.0
2022-01-06 00:00:00-05:00,28.68,30.24,27.9,29.28,336383,0.0,0.0
2022-01-07 00:00:00-05:00,29.46,31.02,29.34,29.82,265650,0.0,0.0
2022-01-10 00:00:00-05:00,29.94,30.18,28.86,29.7,361067,0.0,0.0
2022-01-11 00:00:00-05:00,30.12,31.56,28.92,31.5,387450,0.0,0.0
2022-01-12 00:00:00-05:00,33.3,33.36,31.08,31.98,434817,0.0,0.0
2022-01-13 00:00:00-05:00,30.9,30.96,28.2,28.38,360567,0.0,0.0
2022-01-14 00:00:00-05:00,29.04,29.1,27.12,27.66,259683,0.0,0.0
2022-01-18 00:00:00-05:00,26.52,27.54,26.04,26.52,307133,0.0,0.0
2022-01-19 00:00:00-05:00,26.76,26.82,25.74,25.74,351933,0.0,0.0
2022-01-20 00:00:00-05:00,27.6,28.74,26.64,26.64,355267,0.0,0.0
2022-01-21 00:00:00-05:00,26.28,26.88,24.9,25.26,267783,0.0,0.0
2022-01-24 00:00:00-05:00,24.66,25.02,22.32,24.9,515150,0.0,0.0
2022-01-25 00:00:00-05:00,24.3,24.78,23.4,24.36,350250,0.0,0.0
2022-01-26 00:00:00-05:00,24.9,24.96,23.16,23.46,292117,0.0,0.0
2022-01-27 00:00:00-05:00,23.4,23.79,21.42,21.6,245833,0.0,0.0
2022-01-28 00:00:00-05:00,21.66,22.08,20.46,21.96,259100,0.0,0.0
2022-01-31 00:00:00-05:00,22.74,25.71,22.632,25.62,360817,0.0,0.0
2022-02-01 00:00:00-05:00,25.32,26.46,24.84,26.28,187583,0.0,0.0
2022-02-02 00:00:00-05:00,26.34,26.46,23.4,24.06,166800,0.0,0.0
2022-02-03 00:00:00-05:00,23.52,23.64,22.5,22.68,326883,0.0,0.0
2022-02-04 00:00:00-05:00,22.68,23.34,22.41,22.8,333133,0.0,0.0
2022-02-07 00:00:00-05:00,22.62,22.92,22.05,22.32,307917,0.0,0.0
2022-02-08 00:00:00-05:00,22.26,22.8,21.78,22.62,459150,0.0,0.0
2022-02-09 00:00:00-05:00,23.04,24.3,22.62,24.24,713667,0.0,0.0
2022-02-10 00:00:00-05:00,23.34,25.74,23.1,24.72,322833,0.0,0.0
2022-02-11 00:00:00-05:00,24.3,24.84,22.92,24.0,650617,0.0,0.0
2022-02-14 00:00:00-05:00,23.46,24.48,22.68,22.98,215700,0.0,0.0
2022-02-15 00:00:00-05:00,23.4,25.26,23.22,25.2,200600,0.0,0.0
2022-02-16 00:00:00-05:00,24.9,25.92,24.36,25.74,240617,0.0,0.0
2022-02-17 00:00:00-05:00,25.38,25.92,24.33,24.54,259500,0.0,0.0
2022-02-18 00:00:00-05:00,23.52,23.7,21.36,21.54,537600,0.0,0.0
2022-02-22 00:00:00-05:00,21.12,21.27,20.34,20.52,266833,0.0,0.0
2022-02-23 00:00:00-05:00,21.0,21.36,20.1,20.34,263550,0.0,0.0
2022-02-24 00:00:00-05:00,18.78,20.7,18.24,20.7,478767,0.0,0.0
2022-02-25 00:00:00-05:00,20.4,21.12,19.8,21.06,254383,0.0,0.0
2022-02-28 00:00:00-05:00,20.64,20.88,19.56,20.04,310750,0.0,0.0
2022-03-01 00:00:00-05:00,19.62,20.01,18.96,19.5,566917,0.0,0.0
2022-03-02 00:00:00-05:00,19.44,19.44,18.15,18.36,258900,0.0,0.0
2022-03-03 00:00:00-05:00,18.66,18.66,15.66,15.66,754550,0.0,0.0
2022-03-04 00:00:00-05:00,15.54,16.08,14.4,15.3,399450,0.0,0.0
2022-03-07 00:00:00-05:00,15.0,15.45,14.28,14.46,275667,0.0,0.0
2022-03-08 00:00:00-05:00,14.46,15.48,14.04,14.7,269200,0.0,0.0
2022-03-09 00:00:00-05:00,15.48,15.78,14.76,15.66,229333,0.0,0.0
2022-03-10 00:00:00-05:00,14.28,14.82,14.07,14.52,345383,0.0,0.0
2022-03-11 00:00:00-05:00,14.82,15.0,12.6,12.66,384400,0.0,0.0
2022-03-14 00:00:00-04:00,11.1,11.1,8.64,9.18,1700800,0.0,0.0
2022-03-15 00:00:00-04:00,8.94,10.44,8.34,8.64,2023867,0.0,0.0
2022-03-16 00:00:00-04:00,11.46,16.44,10.92,15.48,6135933,0.0,0.0
2022-03-17 00:00:00-04:00,14.82,14.97,12.0,12.24,2151500,0.0,0.0
2022-03-18 00:00:00-04:00,13.44,20.58,13.08,18.96,5829067,0.0,0.0
2022-03-21 00:00:00-04:00,18.0,19.44,15.48,15.6,2450583,0.0,0.0
2022-03-22 00:00:00-04:00,18.06,19.14,16.92,16.98,2587717,0.0,0.0
2022-03-23 00:00:00-04:00,16.56,19.98,15.72,17.34,1945167,0.0,0.0
2022-03-24 00:00:00-04:00,17.22,17.4,15.966,16.98,1163550,0.0,0.0
2022-03-25 00:00:00-04:00,15.9,16.26,15.0,15.18,1813500,0.0,0.0
2022-03-28 00:00:00-04:00,16.08,16.86,14.7,15.42,802617,0.0,0.0
2022-03-29 00:00:00-04:00,16.2,17.34,15.6,17.34,1633433,0.0,0.0
2022-03-30 00:00:00-04:00,16.62,17.4,15.6,15.84,735733,0.0,0.0
2022-03-31 00:00:00-04:00,15.84,15.84,14.52,14.52,585217,0.0,0.0
2022-04-01 00:00:00-04:00,16.47,16.83,14.94,15.24,1026183,0.0,0.0
2022-04-04 00:00:00-04:00,16.2,17.76,15.78,17.7,1115517,0.0,0.0
2022-04-05 00:00:00-04:00,17.1,17.16,16.08,16.44,555400,0.0,0.0
2022-04-06 00:00:00-04:00,15.96,17.1,15.18,17.1,975217,0.0,0.0
2022-04-07 00:00:00-04:00,16.2,16.38,15.18,15.78,558033,0.0,0.0
2022-04-08 00:00:00-04:00,16.62,16.62,15.18,15.36,762033,0.0,0.0
2022-04-11 00:00:00-04:00,13.92,14.28,12.96,13.38,1375483,0.0,0.0
2022-04-12 00:00:00-04:00,13.86,13.98,12.78,13.26,1296950,0.0,0.0
2022-04-13 00:00:00-04:00,13.08,13.44,12.48,12.9,2502050,0.0,0.0
2022-04-14 00:00:00-04:00,12.78,12.9,11.58,11.82,1121717,0.0,0.0
2022-04-18 00:00:00-04:00,11.58,11.82,10.83,11.04,737483,0.0,0.0
2022-04-19 00:00:00-04:00,10.86,11.04,10.32,10.98,981917,0.0,0.0
2022-04-20 00:00:00-04:00,10.98,10.98,9.84,9.9,1048133,0.0,0.0
2022-04-21 00:00:00-04:00,9.78,10.14,9.42,9.96,846900,0.0,0.0
2022-04-22 00:00:00-04:00,9.6,9.72,9.18,9.36,1060300,0.0,0.0
2022-04-25 00:00:00-04:00,8.76,9.3,8.64,9.12,1053667,0.0,0.0
2022-04-26 00:00:00-04:00,9.3,9.36,8.88,9.18,849450,0.0,0.0
2022-04-27 00:00:00-04:00,9.66,10.2,9.21,9.36,957600,0.0,0.0
